Query,NR,PM,TM
2_1_1_0,0,0,160279968
2_1_1_1,0,0,-126224616
2_1_1_2,0,0,38857432
2_1_1_3,0,0,-53808416
2_1_1_4,0,1681608,38636624
2_1_1_5,0,0,-40368736
2_1_1_6,0,0,38686960
2_1_1_7,0,0,-40366768
2_1_1_8,0,0,38685728
2_1_1_9,1680344,0,-40368920
2_1_3_0,0,0,38702616
2_1_3_1,0,1680488,-40375344
2_1_3_2,0,0,38692904
2_1_3_3,0,1680480,-40374608
2_1_3_4,0,0,38693848
2_1_3_5,0,1680424,-40371104
2_1_3_6,0,0,38688672
2_1_3_7,1680376,0,-40373480
2_1_3_8,0,0,38686432
2_1_3_9,0,0,-40363640
2_1_5_0,0,0,38695856
2_1_5_1,0,0,-40372040
2_1_5_2,0,1677664,38695040
2_1_5_3,0,0,-40371384
2_1_5_4,0,0,40365176
2_1_5_5,0,0,-40366544
2_1_5_6,0,0,40369856
2_1_5_7,0,0,-40368592
2_1_5_8,0,0,40367080
2_1_5_9,0,0,-40370088
2_2_1_0,0,0,40367624
2_2_1_1,0,0,-40367592
2_2_1_2,0,0,38684512
2_2_1_3,1680352,0,-40364864
2_2_1_4,0,0,38690592
2_2_1_5,0,0,-40371176
2_2_1_6,0,0,40368656
2_2_1_7,0,0,-40368584
2_2_1_8,0,0,40367056
2_2_1_9,0,0,-40366904
2_2_3_0,0,0,40380880
2_2_3_1,0,0,-40373784
2_2_3_2,0,1677640,38695312
2_2_3_3,0,0,-40370144
2_2_3_4,0,1677648,38697488
2_2_3_5,0,0,-40379184
2_2_3_6,0,1678112,37020544
2_2_3_7,0,0,-40377624
2_2_3_8,0,1677632,38694928
2_2_3_9,0,0,-40373368
2_2_5_0,0,1677672,38713560
2_2_5_1,0,0,-38696464
2_2_5_2,0,0,38692512
2_2_5_3,0,0,-38694024
2_2_5_4,0,0,38691072
2_2_5_5,0,0,-40370376
2_2_5_6,0,0,38697344
2_2_5_7,0,0,-38699040
2_2_5_8,0,0,38701744
2_2_5_9,0,0,-40379872
2_3_1_0,0,0,38681184
2_3_1_1,0,0,-40368080
2_3_1_2,0,1677712,38697040
2_3_1_3,0,0,-40374744
2_3_1_4,0,1677632,38694832
2_3_1_5,0,0,-40373304
2_3_1_6,0,1677632,38695960
2_3_1_7,0,0,-40377944
2_3_1_8,0,1677680,37014728
2_3_1_9,0,0,-40368288
2_3_3_0,0,1677616,38713240
2_3_3_1,0,0,-38701216
2_3_3_2,0,0,38700728
2_3_3_3,0,0,-38703712
2_3_3_4,0,0,38704376
2_3_3_5,0,0,-38698568
2_3_3_6,0,0,38697544
2_3_3_7,0,0,-38699128
2_3_3_8,0,0,38698536
2_3_3_9,0,0,-38699232
2_3_5_0,0,0,38717440
2_3_5_1,0,0,-38697840
2_3_5_2,0,1677400,37017520
2_3_5_3,0,0,-38701192
2_3_5_4,0,0,38700768
2_3_5_5,0,0,-38695880
2_3_5_6,0,1677664,37024848
2_3_5_7,0,0,-38701760
2_3_5_8,0,1678512,37015240
2_3_5_9,0,0,-38691760
3_1_1_0,0,0,36964048
3_1_1_1,0,0,-40367640
3_1_1_2,0,0,38693480
3_1_1_3,0,1680472,-40372664
3_1_1_4,0,0,38692584
3_1_1_5,0,1680456,-40374176
3_1_1_6,0,0,38687360
3_1_1_7,0,1680376,-40368848
3_1_1_8,0,0,38692024
3_1_1_9,0,1680480,-40370144
3_1_3_0,0,0,38697328
3_1_3_1,0,0,-40373768
3_1_3_2,0,0,38692408
3_1_3_3,0,0,-40370136
3_1_3_4,0,1677672,38693888
3_1_3_5,0,0,-40371408
3_1_3_6,0,1677648,37009824
3_1_3_7,0,0,-40372424
3_1_3_8,0,0,40370512
3_1_3_9,0,0,-40367232
3_1_5_0,0,1677656,38707952
3_1_5_1,0,0,-40376816
3_1_5_2,0,1677640,38693952
3_1_5_3,0,0,-40375112
3_1_5_4,0,1677648,38697680
3_1_5_5,0,0,-40371592
3_1_5_6,0,1677720,37017384
3_1_5_7,0,0,-40377000
3_1_5_8,0,1677640,38696584
3_1_5_9,0,0,-40373328
3_2_1_0,0,1677680,37014096
3_2_1_1,0,0,-40375312
3_2_1_2,0,1677616,38695312
3_2_1_3,0,0,-40372856
3_2_1_4,0,1677648,38689312
3_2_1_5,0,0,-40366680
3_2_1_6,0,1677648,38692792
3_2_1_7,0,0,-40369848
3_2_1_8,0,1677680,37017392
3_2_1_9,0,0,-40379056
3_2_3_0,0,1677680,38717184
3_2_3_1,0,0,-38703160
3_2_3_2,0,0,38702024
3_2_3_3,0,0,-38699144
3_2_3_4,0,0,38696312
3_2_3_5,0,0,-38697000
3_2_3_6,0,0,38700528
3_2_3_7,0,0,-38704552
3_2_3_8,0,0,38699520
3_2_3_9,0,0,-38693344
3_2_5_0,0,0,38711144
3_2_5_1,0,0,-38694128
