Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,11,786177,25745900,175300,10176618000,1
2_1_1_1,11,884100,39050400,188200,8850805700,3616
2_1_1_2,11,788174,39345400,156600,8760277700,177
2_1_1_3,11,786689,37123400,170600,8733409500,157
2_1_1_4,11,784319,39182700,196200,10658269400,0
2_1_1_5,11,786196,37528700,166500,9399445400,5
2_1_1_6,7,977311,38885300,140300,9585441900,0
2_1_1_7,11,830846,38883400,187300,9149285600,1588
2_1_1_8,11,852706,38640800,173500,10421279600,272
2_1_1_9,9,963398,39047400,162500,9105924100,10174
2_1_3_0,19,789961,38564500,229700,11726531500,0
2_1_3_1,17,1037200,38829100,210600,12286169500,0
2_1_3_2,17,799954,38791500,209200,12358477100,0
2_1_3_3,15,799572,38723200,194400,13035549800,0
2_1_3_4,17,2362574,38894700,224000,11165971600,413
2_1_3_5,19,969061,39048100,206700,16381263800,0
2_1_3_6,19,1704756,38629400,236000,9406051400,0
2_1_3_7,15,821191,38952400,180500,13156337600,0
2_1_3_8,15,823699,51710500,253000,9252032500,7
2_1_3_9,17,1046730,38680600,216000,8807291200,0
2_1_5_0,25,879280,39022200,295600,9114519500,0
2_1_5_1,25,2178408,39192800,285800,10607695400,2363
2_1_5_2,27,1129177,38523400,333300,8764136200,0
2_1_5_3,27,1052275,39141900,340600,12181022900,0
2_1_5_4,23,806114,38665200,258100,9459688200,0
2_1_5_5,25,802115,39248800,360600,10202379300,0
2_1_5_6,27,867807,39158200,292400,9242836100,0
2_1_5_7,27,804270,38582400,327100,13476732400,0
2_1_5_8,25,831681,38515000,329800,11277844900,0
2_1_5_9,23,1792536,51562200,265800,16374509800,27
2_2_1_0,29,2470443,38793900,267400,11822677000,17
2_2_1_1,29,2353753,39117400,283000,16243129800,70
2_2_1_2,21,2434957,46826800,200000,14245047400,30826
2_2_1_3,29,3147889,42646600,273300,16304274700,2813
2_2_1_4,29,2358730,38574800,269400,9881539800,800
2_2_1_5,29,4569571,38478800,283100,12831004600,632521
2_2_1_6,29,3229079,38440300,257000,10599231000,0
2_2_1_7,29,3140142,38499700,273600,10258150800,0
2_2_1_8,29,3178579,38186900,293700,10501945400,511
2_2_1_9,29,2387967,38432100,297700,15759592500,0
2_2_3_0,41,3212412,38210200,365800,10550753500,0
2_2_3_1,39,3260954,39174800,344300,13793002800,0
2_2_3_2,39,3874879,38564200,338800,10657484800,528
2_2_3_3,43,3415740,39545600,395500,10474000400,178
2_2_3_4,43,3320355,38858300,421900,10552523800,1033
2_2_3_5,37,3220984,40454600,380100,10400518800,0
2_2_3_6,61,4619806,39030300,500600,14530164800,795743
2_2_3_7,39,3237807,37789900,384400,10107244700,0
2_2_3_8,39,3178646,38586500,371100,10489520500,40
2_2_3_9,39,3273243,38762400,415400,10158359800,3
2_2_5_0,61,3539208,39495000,603300,17183302400,527
2_2_5_1,57,3951123,39002700,541600,19107996900,0
2_2_5_2,57,4252659,38978000,532500,17916243300,0
2_2_5_3,59,3168533,44294700,679600,17452085200,0
2_2_5_4,57,3742097,37601300,583000,15304885500,0
2_2_5_5,57,3663178,38714700,539000,12387670200,0
2_2_5_6,59,3297300,38875200,568500,10382294200,0
2_2_5_7,55,3594464,39271500,549100,12988157100,150
2_2_5_8,57,3658671,44790000,556000,10520681500,0
2_2_5_9,55,3241623,39127400,509200,16790653000,0
2_3_1_0,39,4146393,39064000,345300,18626925100,10218
2_3_1_1,39,3140865,38703400,355400,11870137100,28
2_3_1_2,39,4011945,39014200,364900,15405812100,0
2_3_1_3,39,4043247,38767500,497200,10929137900,471
2_3_1_4,39,3979307,38318400,364600,11935268000,167
2_3_1_5,39,3254927,38619300,324500,9846807100,0
2_3_1_6,39,3941875,38947900,331900,10301467100,0
2_3_1_7,33,3141972,38470500,303400,10320376800,2111
2_3_1_8,33,4020576,38336000,314500,10461426100,436
2_3_1_9,39,3136538,38832900,326800,9559857600,0
2_3_3_0,61,4405341,39607500,599000,11895308400,551
2_3_3_1,55,4105593,39707800,529000,10877197500,269
2_3_3_2,57,4049695,38611900,559300,10990121600,0
2_3_3_3,51,4349586,38881800,429500,11787010600,2024
2_3_3_4,57,5072195,38897500,493400,13194913000,85
2_3_3_5,59,4034632,39269200,510400,10815107900,12
2_3_3_6,61,4503114,39407500,553800,10864953700,12798
2_3_3_7,57,4139717,38803900,498300,10975909600,0
2_3_3_8,55,4151192,39104800,486400,10204386100,0
2_3_3_9,57,4727042,39158400,486300,11005826800,0
2_3_5_0,83,4339559,39002100,830300,12304522000,0
2_3_5_1,85,4414241,38872900,840000,11127798400,0
2_3_5_2,83,4223642,38908000,902400,11302940700,0
2_3_5_3,75,4709120,38911400,726400,10864512700,0
2_3_5_4,79,4186460,37720700,759300,11601741800,0
2_3_5_5,81,4186807,38756300,765900,10866988700,0
2_3_5_6,83,4232362,38729700,811700,11052195900,0
2_3_5_7,83,4253231,39186400,953000,10589067700,0
2_3_5_8,77,4084507,39189400,775300,16736726400,0
2_3_5_9,83,4122284,36457700,813600,11312343800,0
3_1_1_0,14,945140,39171800,210700,12474929500,663
3_1_1_1,12,799507,38892900,203200,8858869300,0
3_1_1_2,14,785508,38674000,160800,8867138400,0
3_1_1_3,14,1309088,38647400,183700,9244708000,0
3_1_1_4,14,2371229,39589800,248100,9263726300,1181
3_1_1_5,12,870705,40390200,184700,9170530700,0
3_1_1_6,10,1272781,38859500,192600,11214291700,3014396
3_1_1_7,12,880889,38614300,242200,9271829200,0
3_1_1_8,10,785142,39368900,180000,8804849700,2
3_1_1_9,14,2417534,38878900,235000,13960856200,0
3_1_3_0,24,1644999,38851600,300500,15857431400,0
3_1_3_1,22,992963,41765200,259700,9416258800,0
3_1_3_2,24,1052477,38983000,290600,16180982100,0
3_1_3_3,26,896311,38835500,291000,10188966900,0
3_1_3_4,26,789262,38604800,296600,9722721600,0
3_1_3_5,26,931130,36674900,277700,10173846300,0
3_1_3_6,22,787751,39117800,220500,13226580800,0
3_1_3_7,20,912550,38631700,269100,9422136000,2
3_1_3_8,24,853108,39208500,244800,9561132200,0
3_1_3_9,24,877005,38562300,269900,9296264700,0
3_1_5_0,38,1180546,38761800,431900,13214502000,2
3_1_5_1,36,907211,38787300,360200,9264370600,0
3_1_5_2,34,1073139,42167800,380100,10199493200,0
3_1_5_3,32,992546,39047100,327000,9021235500,0
3_1_5_4,36,2140167,38818700,376000,9299052000,0
3_1_5_5,36,860469,51109600,374700,9021454800,0
3_1_5_6,36,980463,51138100,384500,9168998700,0
3_1_5_7,34,827751,46476900,365500,8835621000,0
3_1_5_8,36,902210,38727600,372300,13236888500,0
3_1_5_9,36,991439,39248900,374900,15280865700,0
3_2_1_0,37,2352596,41334500,429000,13051104600,0
3_2_1_1,37,4598089,37805200,324700,12889694300,18168
3_2_1_2,37,2580078,38978200,353100,10469365300,0
3_2_1_3,37,3146487,39157900,305300,10492330000,65
