Query,DS,FQA,PT,TT,RT,NR
0,51,947761,82673400,481600,41102702700,0
1,37,280930,88618500,293800,40666729400,0
2,64,579912,74806800,476600,40489757600,0
3,33,209600,86350300,323600,39358404000,0
4,57,3410934,83140100,832800,41678885100,624
5,38,1389327,86439600,445000,41834917500,0
6,52,2214774,90354700,710800,41284715700,0
7,37,2202844,89248400,409300,42539787100,2655
8,42,830149,53797000,338400,41779014000,0
9,72,695188,84946700,537900,40331760200,0
10,55,1319236,89096900,490000,41693800400,0
11,34,5337100,85039600,381000,42692897100,0
12,32,2254533,83185400,333400,41378149700,0
13,32,1866221,84515900,403600,41784760800,0
14,51,3230734,82696300,403800,40261802900,0
15,35,2430239,86811800,427000,41496576700,0
16,37,11033495,85496100,398100,43082160500,88495
17,103,2501928,119829200,959800,41419216600,0
18,38,877384,85595700,288200,40893004300,0
19,59,3650292,90122500,553700,41738449300,0
20,40,2060270,88661700,414800,41976844700,0
21,45,368324,86617900,524500,40922547600,0
22,39,157874,85701300,352600,41119408000,0
23,57,21566767,86359100,538900,46993394500,21292
24,45,933221,53298600,295600,40535552600,0
25,52,254791,81956700,548400,40044544000,0
26,57,2608814,84967100,541600,41133437100,398
27,40,873110,89712900,358400,40702896600,0
28,37,255448,84436000,369800,41073416100,0
29,30,10229007,83621600,401600,42518350900,11669
30,27,164342,90726400,199900,40604617200,0
31,41,2846248,90422100,408600,43217512700,0
32,28,4122773,85158900,545300,41145088600,58928
33,53,98947,86437700,414700,40209359500,0
34,27,252320,88374500,330300,41417113500,0
35,41,462969,89396900,313000,40258584700,12016
36,49,1564775,84025600,474400,40899317400,0
37,45,2151346,84929100,723200,41821695300,136
38,22,1341635,84132300,417100,41229421400,1
39,32,1400660,80094000,310300,41206196600,0
40,72,3988813,55712900,545900,42893821400,0
41,74,14736763,83651400,635000,43513772500,0
42,29,2021347,86525800,242000,41229371900,0
43,45,1193717,85670900,434900,41794627100,0
44,49,274522,83497000,348200,40636004300,0
45,52,207168,84228200,331200,40389448700,0
46,46,255511,82463100,429000,41181349600,0
47,34,1732315,88810000,535600,40615075300,0
48,66,799207,86087500,624900,40321335800,0
49,50,5414688,89657800,886900,49525840500,87429
