Query,NR,PM,TM
2_1_1_0,0,0,217156216
2_1_1_1,0,0,-176566104
2_1_1_2,0,0,318350888
2_1_1_3,0,0,-415678976
2_1_1_4,0,0,134773672
2_1_1_5,0,0,-4896952
2_1_1_6,0,0,-160009704
2_1_1_7,0,0,52090184
2_1_1_8,0,0,-37899560
2_1_1_9,0,0,38199344
2_1_3_0,0,3544112,67207936
2_1_3_1,0,0,-102681224
2_1_3_2,0,0,82522304
2_1_3_3,0,0,34444256
2_1_3_4,0,0,-96020152
2_1_3_5,0,0,49980920
2_1_3_6,0,0,78879304
2_1_3_7,0,0,-121416872
2_1_3_8,0,0,53420080
2_1_3_9,0,0,-3829328
2_1_5_0,0,0,-108704136
2_1_5_1,0,0,37822264
2_1_5_2,0,3544088,34301768
2_1_5_3,0,0,33048408
2_1_5_4,0,0,-90810232
2_1_5_5,0,0,90808528
2_1_5_6,0,0,-100860344
2_1_5_7,0,0,47697600
2_1_5_8,0,0,65274632
2_1_5_9,0,0,33954312
2_2_1_0,0,0,-122873528
2_2_1_1,0,0,51978576
2_2_1_2,0,0,87528256
2_2_1_3,0,0,-137135880
2_2_1_4,0,0,73664304
2_2_1_5,0,0,61036216
2_2_1_6,0,0,-91099648
2_2_1_7,0,0,52095912
2_2_1_8,0,0,-98043816
2_2_1_9,0,0,48453176
2_2_3_0,0,0,76887296
2_2_3_1,0,0,-119413952
2_2_3_2,0,0,43203512
2_2_3_3,0,0,20606256
2_2_3_4,0,0,-101851152
2_2_3_5,0,0,48680648
2_2_3_6,0,0,63984080
2_2_3_7,0,0,35226640
2_2_3_8,0,0,-119875672
2_2_3_9,0,0,56098176
2_2_5_0,0,0,-80723504
2_2_5_1,0,3806656,69861360
2_2_5_2,0,0,60402920
2_2_5_3,0,0,-67233600
2_2_5_4,0,0,-10927656
2_2_5_5,0,0,95694560
2_2_5_6,0,0,-118479552
2_2_5_7,0,0,47635752
2_2_5_8,0,3544088,84158424
2_2_5_9,0,0,-137325360
2_3_1_0,0,0,38198104
2_3_1_1,0,0,29088768
2_3_1_2,0,0,-90933456
2_3_1_3,0,0,90850832
2_3_1_4,0,0,-101475760
2_3_1_5,0,0,51852312
2_3_1_6,0,0,64566224
2_3_1_7,0,0,38210024
2_3_1_8,0,0,-122524872
2_3_1_9,0,0,51612808
2_3_3_0,0,0,87792048
2_3_3_1,0,0,-133819920
2_3_3_2,0,0,70867240
2_3_3_3,0,0,-110356576
2_3_3_4,0,0,84517664
2_3_3_5,0,0,36033040
2_3_3_6,0,3544336,-101831936
2_3_3_7,0,4047792,44614072
2_3_3_8,0,0,61365344
2_3_3_9,0,4183712,-139985408
2_3_5_0,0,0,46509520
2_3_5_1,0,0,35057144
2_3_5_2,0,3544104,87728120
2_3_5_3,0,0,-137404760
2_3_5_4,0,3544048,69025672
2_3_5_5,0,0,47988408
2_3_5_6,0,0,-91711672
2_3_5_7,0,3743336,52526000
2_3_5_8,0,3544632,-102352768
2_3_5_9,0,4047360,45109280
3_1_1_0,0,0,77112376
3_1_1_1,0,0,-126819312
3_1_1_2,0,0,18814424
3_1_1_3,0,0,23760704
3_1_1_4,0,0,86507944
3_1_1_5,0,0,-136130136
3_1_1_6,0,0,71794352
3_1_1_7,0,0,45159136
3_1_1_8,0,0,-89211224
3_1_1_9,0,0,67915824
3_1_3_0,0,0,-100373880
3_1_3_1,0,0,50793904
3_1_3_2,0,0,75360144
3_1_3_3,0,3953400,-100573120
3_1_3_4,3544024,0,54395992
3_1_3_5,0,0,9378520
3_1_3_6,0,3544072,-104414936
3_1_3_7,4026376,0,47212032
3_1_3_8,0,0,61781264
3_1_3_9,0,0,33956392
3_1_5_0,0,3544056,-122512776
3_1_5_1,0,0,51641704
3_1_5_2,0,0,87725128
3_1_5_3,0,0,-137393360
3_1_5_4,0,0,38489064
3_1_5_5,0,0,25348008
3_1_5_6,0,0,-87437696
3_1_5_7,0,0,87410968
3_1_5_8,0,0,-97798088
3_1_5_9,0,0,48170032
3_2_1_0,0,0,59558736
3_2_1_1,0,0,26180680
3_2_1_2,0,0,-92808080
3_2_1_3,0,0,34231424
3_2_1_4,4162672,0,-2981592
3_2_1_5,0,0,79131320
3_2_1_6,0,0,-163946600
3_2_1_7,0,0,70677328
3_2_1_8,0,0,62906144
3_2_1_9,0,4162944,35705824
3_2_3_0,0,0,-121248888
3_2_3_1,0,0,43268864
3_2_3_2,0,3544016,84429352
3_2_3_3,0,0,-134045688
3_2_3_4,0,0,63421360
3_2_3_5,0,0,35821072
3_2_3_6,0,0,-124182776
3_2_3_7,0,0,56838032
3_2_3_8,0,0,80902552
3_2_3_9,0,0,-151748256
3_2_5_0,0,0,71037488
3_2_5_1,0,0,45957344
3_2_5_2,0,0,-89857112
3_2_5_3,0,3753784,71876984
3_2_5_4,0,0,-100728000
3_2_5_5,0,0,44027304
3_2_5_6,0,0,70531384
3_2_5_7,0,0,-113066240
3_2_5_8,0,0,87059376
3_2_5_9,0,0,36823056
3_3_1_0,0,3544120,-103981176
3_3_1_1,0,4036880,46756568
3_3_1_2,0,0,74764456
3_3_1_3,0,4047328,-128438912
3_3_1_4,0,0,39166104
3_3_1_5,0,0,-7266392
3_3_1_6,0,0,57181832
3_3_1_7,0,0,6623016
3_3_1_8,0,0,-112021528
3_3_1_9,0,0,34045888
3_3_3_0,0,0,77612056
3_3_3_1,0,4026504,-120630568
3_3_3_2,0,3544048,41340040
3_3_3_3,0,4068368,21977640
3_3_3_4,0,0,-98587696
3_3_3_5,0,0,45421128
3_3_3_6,0,3544080,63979840
3_3_3_7,0,0,31702728
3_3_3_8,0,0,-95012216
3_3_3_9,0,3848304,55704480
3_3_5_0,0,3544072,-112540792
3_3_5_1,0,0,34608328
3_3_5_2,0,0,37714960
3_3_5_3,0,4257432,21885976
3_3_5_4,0,0,-94793672
3_3_5_5,0,0,84131024
3_3_5_6,0,0,53675160
3_3_5_7,0,4037496,-18662032
3_3_5_8,0,3743264,35175256
3_3_5_9,0,3536944,-101921088
