Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_3_1_4,1388314624,707368592,1388314624,706846352,1388314624,706846352,1388314624,749108368,1560281088
2_3_1_5,1388314624,749108368,1388314624,748059792,1388314624,748059792,1388314624,828583280,1560281088
2_3_1_6,1388314624,828050784,1388314624,827534704,1388314624,827534704,1388314624,752037344,1560281088
2_3_1_7,1388314624,752037344,1388314624,751511008,1388314624,751511008,1388314624,744016864,1560281088
2_3_1_8,1388314624,744016864,1388314624,742968288,1388314624,742968288,1388314624,788208128,1560281088
2_3_1_9,1388314624,788208128,1388314624,787159552,1388314624,787159552,1388314624,652121616,1560281088
2_3_3_0,1388314624,652121616,1388314624,651073040,1388314624,651073040,1388314624,672014440,1560281088
2_3_3_1,1388314624,671488104,1388314624,670439528,1388314624,670439528,1388314624,857402416,1560281088
2_3_3_2,1388314624,857402416,1388314624,855831600,1388314624,855831600,1388314624,631449816,1560281088
2_3_3_3,1388314624,630927576,1388314624,629879000,1388314624,629879000,1388314624,798176752,1560281088
2_3_3_4,1388314624,798176752,1388314624,796601840,1388314624,796601840,1388314624,591609152,1560281088
2_3_3_5,1388314624,591082816,1388314624,590034240,1388314624,590034240,1388314624,813903344,1560281088
2_3_3_6,1388314624,813381104,1388314624,812332528,1388314624,812332528,1388314624,517682672,1560281088
2_3_3_7,1388314624,517682672,1388314624,516107760,1388314624,516107760,1388314624,794500560,1560281088
2_3_3_8,1388314624,794500560,1388314624,793451984,1388314624,793451984,1388314624,538125792,1560281088
2_3_3_9,1388314624,537603552,1388314624,536554976,1388314624,536554976,1388314624,816522704,1560281088
2_3_5_0,1388314624,816522704,1388314624,814425552,1388314624,814425552,1388314624,551237104,1560281088
2_3_5_1,1388314624,550710768,1388314624,549139952,1388314624,549139952,1388314624,862139888,1560281088
2_3_5_2,1388314624,861613552,1388314624,859516400,1388314624,859516400,1388314624,684926432,1560281088
2_3_5_3,1388314624,684404192,1388314624,874682728,1388314624,874682728,1388314624,522923504,1560281088
2_3_5_4,1388314624,522923504,1388314624,520826352,1388314624,520826352,1388314624,847455712,1560281088
2_3_5_5,1388314624,846933472,1388314624,845358560,1388314624,845358560,1388314624,583214560,1560281088
2_3_5_6,1388314624,582692320,1388314624,581117408,1388314624,581117408,1388314624,818621736,1560281088
2_3_5_7,1388314624,818099496,1388314624,816002344,1388314624,816002344,1388314624,828806112,1560281088
2_3_5_8,1388314624,828273616,1388314624,826708960,1388314624,826708960,1388314624,704327888,1560281088
2_3_5_9,1388314624,703801552,1388314624,702230736,1388314624,702230736,1388314624,835399136,1560281088
3_1_1_0,1388314624,834873320,1388314624,834350560,1388314624,834350560,1388314624,823336400,1560281088
3_1_1_1,1388314624,823336400,1388314624,822814160,1388314624,822814160,1422917632,822298592,1560281088
3_1_1_2,1422917632,822298592,1422917632,821776352,1422917632,821776352,1422917632,641936880,1560281088
3_1_1_3,1422917632,641414640,1422917632,641414640,1422917632,641414640,1422917632,898315760,1560281088
3_1_1_4,1422917632,898315760,1422917632,897789424,1422917632,897789424,1422917632,586364400,1560281088
3_1_1_5,1422917632,586364400,1422917632,585838064,1422917632,585838064,1422917632,902508000,1560281088
