Query,NR,PM,TM
2_1_1_0,0,0,39613312
2_1_1_1,0,0,76586048
2_1_1_2,0,0,-119329576
2_1_1_3,0,0,-67508672
2_1_1_4,0,0,137943424
2_1_1_5,0,0,-62119664
2_1_1_6,0,0,15693336
2_1_1_7,0,0,53168424
2_1_1_8,0,0,-120516328
2_1_1_9,0,0,6731064
2_1_3_0,0,0,407144
2_1_3_1,0,3544104,76226016
2_1_3_2,0,0,-90406728
2_1_3_3,0,0,38000008
2_1_3_4,0,0,8100960
2_1_3_5,0,0,68501824
2_1_3_6,0,0,-153629360
2_1_3_7,0,0,50087080
2_1_3_8,0,0,27180760
2_1_3_9,0,0,78870496
2_1_5_0,0,0,-114313440
2_1_5_1,0,0,41679032
2_1_5_2,0,0,11492808
2_1_5_3,0,0,69124832
2_1_5_4,0,0,-156770976
2_1_5_5,0,0,55707336
2_1_5_6,0,0,54766696
2_1_5_7,0,0,40975088
2_1_5_8,0,0,-110101440
2_1_5_9,0,3753736,46088880
2_2_1_0,0,0,64245232
2_2_1_1,0,0,3052056
2_2_1_2,0,0,-128238296
2_2_1_3,0,0,25488632
2_2_1_4,0,0,76577256
2_2_1_5,0,0,-90778664
2_2_1_6,0,0,39127768
2_2_1_7,0,0,3435520
2_2_1_8,0,0,68901536
2_2_1_9,0,0,-150543904
2_2_3_0,0,0,54462520
2_2_3_1,0,0,34163880
2_2_3_2,0,0,77627656
2_2_3_3,0,0,-116648520
2_2_3_4,0,0,34379136
2_2_3_5,0,0,-13090120
2_2_3_6,0,0,38313296
2_2_3_7,0,0,-13501944
2_2_3_8,0,0,49595432
2_2_3_9,0,0,-120481448
2_2_5_0,0,0,9535320
2_2_5_1,0,0,4654920
2_2_5_2,0,0,50165576
2_2_5_3,0,0,24241904
2_2_5_4,0,0,-108487024
2_2_5_5,0,0,59936120
2_2_5_6,0,0,34399728
2_2_5_7,0,0,61821552
2_2_5_8,0,0,-178784904
2_2_5_9,0,0,49617720
2_3_1_0,0,0,24776080
2_3_1_1,0,0,76828056
2_3_1_2,0,3869120,-123206184
2_3_1_3,0,0,30332528
2_3_1_4,0,0,8621656
2_3_1_5,0,3544048,67614696
2_3_1_6,0,0,28125152
2_3_1_7,0,0,-117606360
2_3_1_8,0,0,28958360
2_3_1_9,0,0,57143880
