Query,DS,FQA,PT,TT,RT,NR
3_2_3_7,77,11135136,26552100,526700,6661022000,0
3_2_3_8,79,12552749,26641700,519600,6892378600,0
3_2_3_9,81,11853747,26589700,4477700,7202122100,0
3_2_5_0,101,13630294,26500100,662500,7084806700,0
3_2_5_1,107,11134704,26450800,695400,6573626100,0
3_2_5_2,105,11254138,26832600,748800,6466014300,0
3_2_5_3,101,11134992,26595200,667200,6641978300,0
3_2_5_4,101,11266885,26476000,692700,6669680800,0
3_2_5_5,107,11243301,26705200,699500,6643334600,0
3_2_5_6,101,11490534,26814800,711500,6887298800,0
3_2_5_7,99,11155508,26780500,653800,6404660900,0
3_2_5_8,101,11268654,26477200,663200,6778711500,0
3_2_5_9,97,11135228,26479100,634500,6616760000,0
3_3_1_0,82,17159589,26448900,502700,7152147300,19473
3_3_1_1,82,14989154,26374700,522300,6297215400,0
3_3_1_2,101,24073101,26523400,534400,6982276300,0
3_3_1_3,82,14866783,27370700,504300,6363150700,0
3_3_1_4,82,14929007,26488700,493400,6675684000,0
3_3_1_5,82,14321055,26491400,495800,6302254000,0
3_3_1_6,78,14857893,26668100,488800,6383952100,878
3_3_1_7,82,19844554,26318300,511400,7872195200,1
3_3_1_8,82,14849384,28093900,556700,6850837900,6
3_3_1_9,82,14889344,26338300,504900,6698753600,28
3_3_3_0,106,14846340,26388600,707100,6638312600,0
3_3_3_1,112,14846268,26470000,710000,6340940800,0
3_3_3_2,108,14877362,26434300,820200,6661222100,0
3_3_3_3,112,14847060,26251500,708200,6732321600,0
3_3_3_4,110,14848494,26395100,679800,6715594600,0
3_3_3_5,110,15031636,26621500,688100,6743824600,0
3_3_3_6,112,15461610,27732900,697400,6917493100,8
3_3_3_7,106,15412684,25393500,778300,7641970800,1745
3_3_3_8,110,15007222,26347300,701600,6778697700,0
3_3_3_9,114,15016358,26441000,692500,6719633300,0
3_3_5_0,146,14895726,27814600,961400,6659324200,0
3_3_5_1,144,14868958,26454500,1039400,6733780600,0
3_3_5_2,146,14967506,26720200,1024600,6334029600,0
3_3_5_3,144,15308377,26653300,932500,6780041300,0
3_3_5_4,140,15138520,26566400,887800,6818693600,0
3_3_5_5,146,15521374,26458600,920500,6861814000,0
3_3_5_6,148,14846272,26859800,936600,6422520500,0
3_3_5_7,150,15064894,26635200,952200,7001791200,0
3_3_5_8,142,16194264,26850700,914900,7430790800,0
3_3_5_9,142,14944658,26268600,912600,6834501700,0
