Query,NR,PM,TM
2_1_1_0,6290944,2044808,76479296
2_1_1_1,0,486680,45343568
2_1_1_2,0,0,10572784
2_1_1_3,0,316344,74309352
2_1_1_4,0,3543776,-102974016
2_1_1_5,0,0,56765504
2_1_1_6,0,0,-120572448
2_1_1_7,0,0,74435576
2_1_1_8,0,3544096,66417408
2_1_1_9,0,0,4858432
2_1_3_0,0,91264,-5006168
2_1_3_1,0,0,-24706056
2_1_3_2,0,0,-18446344
2_1_3_3,0,38680,7136016
2_1_3_4,0,0,33424672
2_1_3_5,0,0,199594184
2_1_3_6,0,0,-344399032
2_1_3_7,0,0,163453720
2_1_3_8,0,27904,7530672
2_1_3_9,0,0,126835856
2_1_5_0,0,3848576,-288361304
2_1_5_1,0,0,349374536
2_1_5_2,0,18552,-175234736
2_1_5_3,0,0,163722136
2_1_5_4,0,0,-176007224
2_1_5_5,0,0,116617744
2_1_5_6,0,0,-111807304
2_1_5_7,0,0,180467824
2_1_5_8,0,0,-178171376
2_1_5_9,0,0,169005712
2_2_1_0,0,0,-162970576
2_2_1_1,0,0,160643968
2_2_1_2,0,0,-182402312
2_2_1_3,0,0,127906696
2_2_1_4,0,0,-95560056
2_2_1_5,0,0,-2649016
2_2_1_6,0,0,-171522200
2_2_1_7,0,0,191261560
2_2_1_8,0,3544024,-102854808
2_2_1_9,0,0,222808152
2_2_3_0,0,4393392,-232659272
2_2_3_1,0,0,204476792
2_2_3_2,0,0,-163971840
2_2_3_3,0,0,182608152
2_2_3_4,0,0,-191466392
2_2_3_5,0,0,174284768
2_2_3_6,0,0,-200910416
2_2_3_7,0,0,159925696
2_2_3_8,0,0,154012784
2_2_3_9,0,0,-364520208
2_2_5_0,0,0,217108184
2_2_5_1,0,0,107059632
2_2_5_2,0,0,-257338760
2_2_5_3,0,0,146706944
2_2_5_4,0,4613656,124835792
2_2_5_5,0,0,-340223400
2_2_5_6,0,0,182696288
2_2_5_7,0,0,104308360
2_2_5_8,0,0,-213575816
2_2_5_9,0,4456328,211697048
2_3_1_0,0,0,6849424
2_3_1_1,0,0,-191785512
2_3_1_2,0,0,58073952
2_3_1_3,0,0,204127488
2_3_1_4,0,0,-335644656
2_3_1_5,0,0,139624056
2_3_1_6,0,0,184151840
2_3_1_7,0,0,-385169320
2_3_1_8,0,0,263232896
2_3_1_9,0,0,188630440
2_3_3_0,0,0,-310324656
2_3_3_1,0,0,162516272
2_3_3_2,0,4116648,-34267120
2_3_3_3,0,0,-322671600
2_3_3_4,0,0,163558416
2_3_3_5,0,0,155092536
2_3_3_6,0,4257080,360790088
2_3_3_7,0,4288496,-511361944
2_3_3_8,0,0,124791416
2_3_3_9,0,0,220206520
2_3_5_0,0,0,-3086480
2_3_5_1,0,0,-333313024
2_3_5_2,0,4487320,91289136
2_3_5_3,0,0,213224136
2_3_5_4,0,0,182123344
2_3_5_5,0,0,-489410688
2_3_5_6,0,-203815744,167563664
2_3_5_7,0,0,163557080
2_3_5_8,0,0,159371592
2_3_5_9,0,0,-288960816
3_1_1_0,0,0,147030456
3_1_1_1,0,0,129134248
3_1_1_2,0,0,223671112
3_1_1_3,0,0,-656290624
3_1_1_4,0,0,325194056
3_1_1_5,0,0,73281504
3_1_1_6,0,0,197011288
3_1_1_7,0,0,-496622096
3_1_1_8,0,0,165261840
3_1_1_9,0,0,116329736
3_1_3_0,0,0,156119016
3_1_3_1,0,0,-481673408
3_1_3_2,0,0,119410144
3_1_3_3,0,0,253419456
3_1_3_4,0,0,166725744
3_1_3_5,0,0,-527565976
3_1_3_6,0,0,153419128
3_1_3_7,0,0,165541176
3_1_3_8,0,0,124661384
3_1_3_9,0,0,-416224880
3_1_5_0,0,0,135286040
3_1_5_1,0,0,143965000
3_1_5_2,0,0,145241216
3_1_5_3,0,0,-453445552
3_1_5_4,0,4991056,104986080
3_1_5_5,0,0,267510408
3_1_5_6,0,0,192327768
3_1_5_7,0,0,-672115944
3_1_5_8,0,0,175519168
3_1_5_9,0,0,164102576
3_2_1_0,2088,0,155295800
3_2_1_1,0,0,-503129712
3_2_1_2,0,0,361691416
3_2_1_3,0,0,142644824
3_2_1_4,2088,0,111157040
3_2_1_5,0,0,-444049184
3_2_1_6,0,0,178288664
3_2_1_7,0,0,160108784
3_2_1_8,0,0,169499584
3_2_1_9,0,0,-492569608
3_2_3_0,0,0,157692200
3_2_3_1,0,0,127495768
3_2_3_2,0,4393416,19317112
3_2_3_3,0,0,-434682408
3_2_3_4,0,4079272,282451496
3_2_3_5,0,0,51542544
3_2_3_6,0,0,219936264
3_2_3_7,0,4288576,-500760824
3_2_3_8,4697504,0,140758240
3_2_3_9,0,0,168021096
3_2_5_0,0,0,120303784
3_2_5_1,0,0,-416814240
3_2_5_2,0,0,139726536
3_2_5_3,0,0,134524288
3_2_5_4,0,0,150358792
3_2_5_5,0,0,-461790952
3_2_5_6,0,5054000,94542376
3_2_5_7,0,0,294401648
3_2_5_8,0,0,13997216
3_2_5_9,0,0,-418504648
3_3_1_0,0,0,223571616
3_3_1_1,0,0,209657608
3_3_1_2,0,0,-14710824
3_3_1_3,0,0,-490005088
3_3_1_4,0,0,147133912
3_3_1_5,0,0,362771368
3_3_1_6,0,0,142199552
3_3_1_7,0,0,-531213560
3_3_1_8,0,0,228796712
3_3_1_9,0,0,-2690968
3_3_3_0,0,0,319932272
3_3_3_1,0,0,-601007800
3_3_3_2,0,0,201146928
3_3_3_3,0,0,157833800
3_3_3_4,0,0,140688152
3_3_3_5,0,0,-480689904
3_3_3_6,0,0,115011112
3_3_3_7,0,0,248873488
3_3_3_8,0,0,162022264
3_3_3_9,0,0,-532643080
3_3_5_0,0,4666072,153091384
3_3_5_1,0,4613616,166102080
3_3_5_2,0,4938664,119934040
3_3_5_3,0,0,-416553608
3_3_5_4,0,0,139382112
3_3_5_5,0,0,134655248
3_3_5_6,0,0,150547328
3_3_5_7,0,0,-462036480
3_3_5_8,0,0,99247448
3_3_5_9,0,0,286990312
