Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,746586112,461425664,746586112,461425664,746586112,461425664,972029952,441446368,1560281088
2_1_1_1,972029952,440920032,972029952,440920032,972029952,440920032,1131413504,653768576,1560281088
2_1_1_2,1131413504,653768576,1131413504,653768576,1131413504,653768576,1131413504,575137760,1560281088
2_1_1_3,1131413504,575137760,1131413504,575137760,1131413504,575137760,1131413504,541106672,1560281088
2_1_1_4,1131413504,541106672,1131413504,541106672,1131413504,541106672,1131413504,558360544,1560281088
2_1_1_5,1131413504,558360544,1131413504,558360544,1131413504,558360544,1131413504,551592560,1560281088
2_1_1_6,1131413504,551592560,1131413504,551592560,1131413504,551592560,1131413504,642749312,1560281088
2_1_1_7,1131413504,642222976,1131413504,642222976,1131413504,642222976,1131413504,454385104,1560281088
2_1_1_8,1131413504,454385104,1131413504,454385104,1131413504,454385104,1132462080,454498376,1560281088
2_1_1_9,1132462080,454498376,1132462080,454498376,1132462080,454498376,1132462080,596278112,1560281088
2_1_3_0,1132462080,595753824,1132462080,595753824,1132462080,595753824,1207959552,485701168,1560281088
2_1_3_1,1207959552,485701168,1207959552,485178928,1207959552,485178928,1207959552,600183408,1560281088
2_1_3_2,1207959552,600183408,1207959552,599661168,1207959552,599661168,1207959552,716682816,1560281088
2_1_3_3,1207959552,716682816,1207959552,716682816,1207959552,716682816,1207959552,644057176,1560281088
2_1_3_4,1207959552,644057176,1207959552,644057176,1207959552,644057176,1207959552,638858192,1560281088
2_1_3_5,1207959552,638858192,1207959552,638335952,1207959552,638335952,1207959552,688383968,1560281088
2_1_3_6,1207959552,688383968,1207959552,687861728,1207959552,687861728,1207959552,715450336,1560281088
2_1_3_7,1207959552,715450336,1207959552,715450336,1207959552,715450336,1207959552,681005056,1560281088
2_1_3_8,1207959552,681005056,1207959552,681005056,1207959552,681005056,1207959552,708306912,1560281088
2_1_3_9,1207959552,708306912,1207959552,708306912,1207959552,708306912,1207959552,627019184,1560281088
2_1_5_0,1207959552,627019184,1207959552,626496944,1207959552,626496944,1207959552,632997360,1560281088
2_1_5_1,1207959552,632997360,1207959552,632475120,1207959552,632475120,1207959552,685659104,1560281088
2_1_5_2,1207959552,685659104,1207959552,685136864,1207959552,685136864,1207959552,708647760,1560281088
2_1_5_3,1207959552,708647760,1207959552,708125520,1207959552,708125520,1222639616,627442480,1560281088
2_1_5_4,1222639616,627442480,1222639616,626920240,1222639616,626920240,1222639616,573699872,1560281088
2_1_5_5,1222639616,573699872,1222639616,573177632,1222639616,573177632,1222639616,629016880,1560281088
2_1_5_6,1222639616,629016880,1222639616,628494640,1222639616,628494640,1222639616,663157800,1560281088
2_1_5_7,1222639616,663157800,1222639616,662635560,1222639616,662635560,1222639616,680679920,1560281088
2_1_5_8,1222639616,680679920,1222639616,680157680,1222639616,680157680,1222639616,621803504,1560281088
2_1_5_9,1222639616,621803504,1222639616,621277168,1222639616,621277168,1222639616,669453792,1560281088
2_2_1_0,1222639616,669453792,1222639616,668927456,1222639616,668927456,1222639616,702015456,1560281088
2_2_1_1,1222639616,702015456,1222639616,701493216,1222639616,701493216,1222639616,687859680,1560281088
2_2_1_2,1222639616,687337440,1222639616,687337440,1222639616,687337440,1222639616,623369888,1560281088
2_2_1_3,1222639616,623369888,1222639616,622847648,1222639616,622847648,1222639616,690826760,1560281088
2_2_1_4,1222639616,690826760,1222639616,690304520,1222639616,690304520,1222639616,716738432,1560281088
2_2_1_5,1222639616,716738432,1222639616,716216192,1222639616,716216192,1222639616,704506272,1560281088
2_2_1_6,1222639616,704506272,1222639616,703984032,1222639616,703984032,1222639616,696710800,1560281088
