Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,13,798859,146064,172253,2101215535,0
2_1_1_1,13,813111,134311,163376,1949740495,10
2_1_1_2,13,800167,144591,164299,1995979762,2
2_1_1_3,13,798115,145332,163076,1974266313,52
2_1_1_4,13,795887,147847,164248,1889451624,0
2_1_1_5,13,799227,148779,171551,1876699231,0
2_1_1_6,9,890011,136446,125706,1950693794,0
2_1_1_7,13,830969,147827,164388,1970968595,0
2_1_1_8,13,818731,150563,164479,1894726293,40
2_1_1_9,11,871661,127189,154720,1956106218,492
2_1_3_0,21,800785,162826,239309,1986736680,0
2_1_3_1,19,853315,139912,217468,1992563683,0
2_1_3_2,19,797493,150482,221035,1971659460,0
2_1_3_3,17,796055,145603,200756,1988906513,0
2_1_3_4,19,1560213,138220,219171,2071229066,0
2_1_3_5,21,834405,142307,266460,1991769200,0
2_1_3_6,21,1105095,187571,238868,1939633711,0
2_1_3_7,17,798927,151134,204583,1894571147,0
2_1_3_8,17,795955,155923,202299,1989682027,0
2_1_3_9,19,882631,131888,217749,1978012254,0
2_1_5_0,27,796081,158286,317646,1971105363,0
2_1_5_1,27,1007205,145573,315862,2059434865,0
2_1_5_2,29,795889,166773,378981,1985028555,0
2_1_5_3,29,855449,202440,346250,2013303271,0
2_1_5_4,25,809831,158687,322986,2021291207,0
2_1_5_5,27,795901,178244,469060,1970657874,0
2_1_5_6,29,819179,157376,336331,1960962303,0
2_1_5_7,29,796629,173064,342653,1989302402,0
2_1_5_8,27,796747,179246,317656,1860489006,0
2_1_5_9,25,822299,166021,300995,2006506997,0
2_2_1_0,27,1875328,149941,296305,1976778062,2
2_2_1_1,27,1858958,139362,300244,2003581267,9
2_2_1_2,19,1896174,130985,204303,1906760647,5587
2_2_1_3,27,1870235,132769,295344,2016101338,1
2_2_1_4,27,1864731,131747,299241,1986772002,197
2_2_1_5,27,3346393,144391,301766,2208796013,2068
2_2_1_6,27,1860532,151213,290906,1898213230,0
2_2_1_7,27,1860765,155652,302237,1977098360,0
2_2_1_8,27,1861293,148048,298359,1992887929,0
2_2_1_9,27,1857189,146675,304421,1975766510,0
2_2_3_0,39,1864902,163056,425508,2011640028,0
2_2_3_1,37,1903726,144952,405481,1987100936,0
2_2_3_2,37,2283297,146154,398297,2056499795,19
2_2_3_3,41,1883891,171372,455865,1959951892,0
2_2_3_4,41,1913798,157025,445085,1994481540,1
2_2_3_5,35,1938607,140804,450886,1985265468,0
2_2_3_6,39,2039276,160361,470322,2084966002,3771
2_2_3_7,37,1857073,147657,401283,1984443884,0
2_2_3_8,37,1898408,149601,405100,1982435852,0
2_2_3_9,37,1891787,161613,404669,1995336141,0
2_2_5_0,59,1991513,216866,642425,2027858234,105
2_2_5_1,55,2191713,172523,594134,2083804943,0
2_2_5_2,55,1857989,199855,625663,2094018373,0
2_2_5_3,57,1867941,210825,678162,2002068863,0
2_2_5_4,55,1864119,230312,616927,2044168691,0
2_2_5_5,55,1867024,179527,757471,2013205238,0
2_2_5_6,57,1857081,205245,612819,1999859211,0
2_2_5_7,53,1985625,208471,586229,2004771917,0
2_2_5_8,55,2017195,187041,588634,2033968033,0
2_2_5_9,53,1923716,168687,564649,2012313600,0
2_3_1_0,41,3050327,152385,428133,2021665905,1547
2_3_1_1,41,2921312,161142,424957,1890068740,0
2_3_1_2,41,2924134,142147,424446,1896367908,0
2_3_1_3,41,2985026,139342,419377,2000561652,50
2_3_1_4,41,2938828,144731,425117,1915040658,5
2_3_1_5,41,3021781,152907,421881,2008184095,0
2_3_1_6,41,2942881,153338,432240,2008575172,0
2_3_1_7,35,2926653,136275,362310,1984967967,0
2_3_1_8,35,2927763,153699,369533,1997655538,307
2_3_1_9,41,2918257,155242,428113,1903070813,0
2_3_3_0,63,2989187,198963,768592,2052723984,0
2_3_3_1,57,2955925,158908,647805,2015782317,20
2_3_3_2,59,2931543,161623,619001,1956916077,0
2_3_3_3,53,3019194,153428,543239,2051685666,143
2_3_3_4,59,3507594,155572,632036,2210184961,0
2_3_3_5,61,2931361,168476,647985,2053303538,0
2_3_3_6,63,3266190,163256,668244,2210490412,956
2_3_3_7,59,2918283,179817,619792,2042427686,0
2_3_3_8,57,2918291,222367,615584,2056895826,0
2_3_3_9,59,3764473,177573,637225,2188791934,0
2_3_5_0,85,2945669,252403,931107,2022678963,0
2_3_5_1,87,3042303,277200,946666,2084463625,0
2_3_5_2,85,2936089,254497,921668,2059504734,0
2_3_5_3,77,3059926,203041,855184,2097653622,0
2_3_5_4,81,2986197,291417,944852,2020652366,0
2_3_5_5,83,2937253,208120,898114,2038446976,0
2_3_5_6,85,2918269,275247,948800,2023576116,0
2_3_5_7,85,2918273,379341,1431895,2009924734,0
2_3_5_8,79,2923609,277089,873719,2035179086,0
2_3_5_9,85,2925085,298580,1057242,2033637477,0
3_1_1_0,18,1114130,148529,236203,2005873444,1
3_1_1_1,16,1072686,130255,188613,1902512835,0
3_1_1_2,18,1063272,139301,203081,1913230510,0
3_1_1_3,18,1415020,132167,199544,1995844202,0
3_1_1_4,18,1806102,151854,201938,2063890027,19
3_1_1_5,16,1084202,153879,188454,1984955453,0
3_1_1_6,14,1532460,188784,172263,1980318068,0
3_1_1_7,16,1095406,162645,190237,2003254342,0
3_1_1_8,14,1063018,125646,167604,1895183888,0
3_1_1_9,18,2149098,135044,225884,2126720203,0
3_1_3_0,28,1899274,144141,322585,2053117851,0
3_1_3_1,26,1154272,143620,298871,2015188469,0
3_1_3_2,28,1152164,135474,315762,2009171256,0
3_1_3_3,30,1066474,145693,371727,2046695623,0
3_1_3_4,30,1063592,176862,342372,2010701171,0
3_1_3_5,30,1088816,149250,342302,1989567825,0
3_1_3_6,26,1063634,138951,302648,2004998060,0
3_1_3_7,24,1088820,175679,288862,2007168454,0
3_1_3_8,28,1080432,142097,321884,2019652473,0
3_1_3_9,28,1081856,142547,323857,2009594029,0
3_1_5_0,42,1138352,181971,463539,2059018117,0
3_1_5_1,40,1138190,199805,447760,2034593347,0
3_1_5_2,38,1123242,174087,523602,2001426738,0
3_1_5_3,36,1080854,171341,449033,2012688775,0
3_1_5_4,40,1219054,150953,440356,2082766745,0
3_1_5_5,40,1065638,166052,446737,1977990878,0
3_1_5_6,40,1061180,174978,442791,1868462755,0
3_1_5_7,38,1100218,164628,431269,1924255279,0
3_1_5_8,40,1079718,193273,466545,2015918868,0
3_1_5_9,40,1061180,193994,458850,1872561971,0
3_2_1_0,39,2652969,136676,405732,1909805914,0
3_2_1_1,39,4174014,143389,427492,2215834113,6
3_2_1_2,39,2804086,157255,404248,1928442085,0
3_2_1_3,39,2674508,148258,406813,1911618501,6
3_2_1_4,33,2695107,149560,349686,2015019797,13
3_2_1_5,39,2821191,147657,418995,1950656842,0
3_2_1_6,39,3465162,172384,410320,2178886424,1
3_2_1_7,39,2658860,146124,437441,2008611826,52
3_2_1_8,39,2679515,139452,412273,2037340536,0
3_2_1_9,35,3053559,132950,361849,2093928823,130
3_2_3_0,59,2870254,161293,615164,2085254125,0
