Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,1861367,28329400,221663800,4351574600,1
2_1_1_1,22,1876403,14789800,238054300,3256092200,1330
2_1_1_2,22,1863731,17987700,335081900,3361099700,218
2_1_1_3,22,1861407,14491800,205713900,3306433900,95
2_1_1_4,22,1857627,11867900,188776400,3333248300,0
2_1_1_5,22,1860807,25008900,211001500,3231578500,6
2_1_1_6,18,2020903,13816200,62594500,3355215900,0
2_1_1_7,22,1892717,18776600,84237500,3375218100,922
2_1_1_8,22,1880631,12439400,73608400,3297061000,80
2_1_1_9,20,2026999,27542100,113828300,3428186200,3362
2_1_3_0,30,1862525,20883100,166975700,3340004200,0
2_1_3_1,28,1915211,13071900,66124400,3492431100,0
2_1_3_2,28,1859233,13836000,40854600,3413453300,0
2_1_3_3,26,1857795,10323100,33215000,3275276400,0
2_1_3_4,28,2925684,12660500,51662400,3801588900,206
2_1_3_5,30,1896369,13918500,61429200,3406961900,0
2_1_3_6,30,2166835,13058500,37058500,3256500600,0
2_1_3_7,26,1860667,8071500,21211500,3193641600,0
2_1_3_8,26,1857695,11748800,21976100,3051358400,3
2_1_3_9,28,1944379,9516100,21730200,3408999000,0
2_1_5_0,36,1857821,187416100,37568900,3076816500,0
2_1_5_1,36,2068945,6757200,31072000,3470746700,1163
2_1_5_2,38,1857629,14970700,83113000,3112198600,0
2_1_5_3,38,1917189,12179400,35116000,3262105000,0
2_1_5_4,34,1871571,11047700,27992500,3178129100,0
2_1_5_5,36,1857641,145351300,62174500,3283399700,0
2_1_5_6,38,1880919,13049000,34211100,3001458800,0
2_1_5_7,38,1858369,10932900,33831600,3240297600,0
2_1_5_8,36,1858487,7534600,39987700,2943198100,0
2_1_5_9,34,1884309,9497100,30897000,3406452400,15
2_2_1_0,41,3998906,191372300,149426400,3202803600,23
2_2_1_1,41,3982824,10765600,28167600,3447488400,88
2_2_1_2,33,4075604,10019700,27145600,2925461300,10373
2_2_1_3,41,3994488,9723200,42043800,3561297100,2658
2_2_1_4,41,3990046,9446500,41021400,3063486900,607
2_2_1_5,41,5472956,111968600,41616100,3750975100,212889
2_2_1_6,41,3984515,14039000,67178500,3041871300,0
2_2_1_7,41,3986935,8298900,35371800,3291595800,0
