Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,17,3136323,78592300,208800,41107411400,0
2_1_1_1,17,3180347,52603000,197200,41922701700,0
2_1_1_2,17,3136901,51525700,179000,41466988700,0
2_1_1_3,17,3135141,52099000,212300,41972154500,0
2_1_1_4,17,3133773,266930700,197900,41291017300,0
2_1_1_5,17,3136687,251847800,233900,41531246600,0
2_1_1_6,13,3512329,50863800,182700,40874924200,0
2_1_1_7,17,3209819,51597200,162200,41672186700,0
2_1_1_8,17,3225159,52332000,196500,41191825300,0
2_1_1_9,15,3435885,52479400,187100,41428999600,1779
2_1_3_0,25,3138641,135084600,258500,40872551700,0
2_1_3_1,23,3318695,50870800,203800,41463271100,0
2_1_3_2,23,3135033,52094600,221300,41210157700,0
2_1_3_3,21,3133973,51294400,209000,41293338400,0
2_1_3_4,23,4361387,141530200,247200,41311550500,0
2_1_3_5,25,3228487,148226000,249900,41298687100,0
2_1_3_6,25,4361029,52464400,229200,41130349300,0
2_1_3_7,21,3136269,52644500,219200,41422458400,0
2_1_3_8,21,3133853,52538500,233000,41078399100,0
2_1_3_9,23,3375881,50763500,240600,41625583100,0
2_1_5_0,31,3133973,85582000,223300,40976311700,0
2_1_5_1,31,3578801,51379700,301000,41651660300,0
2_1_5_2,33,3133773,50740100,277600,41332664700,0
2_1_5_3,33,3373289,50688800,280900,41653604800,0
2_1_5_4,29,3179897,137076800,265600,40838585400,0
2_1_5_5,31,3133789,160294400,271700,41566508100,0
2_1_5_6,33,3179909,53944700,371900,41414430700,0
2_1_5_7,33,3134329,52859400,333400,41471041700,0
2_1_5_8,31,3134403,52335000,245300,41461290400,0
2_1_5_9,29,3228487,69270200,260500,41885890000,0
2_2_1_0,31,7384325,226414400,252200,41188613800,0
2_2_1_1,31,7313677,52263500,336500,41418664800,0
2_2_1_2,23,7465150,52996200,230100,41149300800,21859
2_2_1_3,31,7317365,51364400,242500,41664484600,0
2_2_1_4,31,7317983,113840200,286200,40969957300,0
2_2_1_5,31,9870093,235184300,254400,42163018200,0
2_2_1_6,31,7315445,66460800,279000,41062358900,0
2_2_1_7,31,7314537,150766300,261100,41356768900,0
2_2_1_8,31,7326557,51646100,282800,41169224500,0
2_2_1_9,31,7312297,53100500,264900,41915977000,0
2_2_3_0,43,7315687,65148900,511200,40997207800,0
2_2_3_1,41,7491305,53787400,340900,41456876100,0
2_2_3_2,41,8784409,51278900,329200,41375438200,0
