Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,5493156,25822700,298600,9849542400,1
2_1_1_1,22,5535098,38966400,253500,8822266000,3616
2_1_1_2,22,5494956,39075000,248700,14652038100,177
2_1_1_3,22,5493134,38660300,254400,9674795900,157
2_1_1_4,22,5488940,39581000,290400,8436030000,0
2_1_1_5,22,5492135,41278400,255500,9033583200,5
2_1_1_6,18,5978774,39043300,201900,13842498600,0
2_1_1_7,22,5552074,37811000,224600,9385211900,1588
2_1_1_8,22,5558190,39437000,213300,10841389700,272
2_1_1_9,20,6003661,38852400,216200,12024038900,10174
2_1_3_0,30,5493790,40122800,271100,12431629800,0
2_1_3_1,28,5662932,38637200,318700,9567353000,0
2_1_3_2,28,5490334,39587700,245300,15668119100,0
2_1_3_3,26,5489156,51140300,251800,13874651000,0
2_1_3_4,28,7977154,38804700,264600,17805711100,413
2_1_3_5,30,5606046,39045900,292700,10412344400,0
2_1_3_6,30,6408492,39129200,404600,16462726200,0
2_1_3_7,26,5491898,42452600,237300,10677051400,0
2_1_3_8,26,5489096,39013000,352800,14386012900,7
2_1_3_9,28,5744596,38971400,373200,11913190900,0
2_1_5_0,36,5489198,39753000,301300,12425217100,0
2_1_5_1,36,6100248,50171200,393700,9972554300,2365
2_1_5_2,38,5488938,38912300,333500,11288280100,0
2_1_5_3,38,5668342,39149600,348700,9489637700,0
2_1_5_4,34,5524450,39053600,330700,9838421100,0
2_1_5_5,36,5488962,38627100,349900,10928069600,0
2_1_5_6,38,5554182,36842300,359100,11375109500,0
2_1_5_7,38,5489610,38904400,347000,9591217700,0
2_1_5_8,36,5489770,38623800,395100,11050374800,0
2_1_5_9,34,5568188,39254700,333900,9560591400,27
2_2_1_0,41,11816365,39577100,333400,17020506100,17
2_2_1_1,41,11764099,40010600,328400,9880063300,70
2_2_1_2,33,12042697,39258500,275500,11127971400,30826
2_2_1_3,41,11776173,38776400,302300,10329790400,2813
2_2_1_4,41,11773052,39037000,388400,16829248800,800
2_2_1_5,41,16204179,38548300,317000,12690939900,632521
2_2_1_6,41,11765546,38487500,352100,16781326500,0
2_2_1_7,41,11768263,38490000,350800,11081304200,0
2_2_1_8,41,11775414,38527500,330100,14075889100,511
2_2_1_9,41,11762316,39895400,318800,10188413300,0
2_2_3_0,53,11769864,39346600,591000,12050286700,0
2_2_3_1,51,11898850,40791000,386500,9680171900,0
2_2_3_2,51,13028022,39060200,395300,12215795800,528
2_2_3_3,55,11841196,38516400,408000,10419332200,178
2_2_3_4,55,11935487,38898000,445700,9284765500,1033
2_2_3_5,49,12002596,37874800,450200,14274906200,0
2_2_3_6,73,22777265,39521200,464200,16128039100,795743
2_2_3_7,51,11762010,38488700,561000,10952989400,0
2_2_3_8,51,11883990,40198800,401900,9421647700,40
2_2_3_9,51,11823499,38802500,411900,9111599900,3
2_2_5_0,73,12177226,39501100,564600,9887813500,527
2_2_5_1,69,12749650,38666400,506500,9902520200,0
2_2_5_2,69,11763558,37933400,523300,9572347500,0
2_2_5_3,71,11772550,52350700,567900,12460848500,0
2_2_5_4,69,11768360,39335200,500500,16625113300,0
2_2_5_5,69,11772308,39363800,490800,11346897300,0
2_2_5_6,71,11762026,39569100,529900,9220783400,0
2_2_5_7,67,12150270,51052700,473800,11409763500,150
2_2_5_8,69,12241605,39026700,493700,13149062500,0
2_2_5_9,67,11955488,48974400,690500,11595662500,0
2_3_1_0,55,16124263,39237700,431800,15205544400,10218
2_3_1_1,55,15685903,38897300,403800,15158206100,28
2_3_1_2,55,15688506,42282700,435200,13657673700,0
2_3_1_3,55,15916067,38979800,381800,12142723900,471
2_3_1_4,55,15741341,39097600,418700,10984946000,167
2_3_1_5,55,15997350,38803500,389500,9064201600,0
2_3_1_6,55,15728349,38756400,584900,17194511500,0
2_3_1_7,49,15691205,40599400,483100,9794154700,2111
2_3_1_8,49,15699269,39178700,355400,11360530600,436
2_3_1_9,55,15682680,39236600,409500,15270560800,0
2_3_3_0,77,15896398,38875500,572400,10201987800,551
2_3_3_1,71,15778040,39038900,510300,11437010200,269
2_3_3_2,73,15717872,39132300,560100,12583793400,0
2_3_3_3,67,15997873,39280400,463800,10155630900,2024
2_3_3_4,73,17443073,40617700,514800,10818958000,85
2_3_3_5,75,15694680,38993900,526200,9860182200,12
2_3_3_6,77,16898276,39214400,528100,11670384800,12798
2_3_3_7,73,15682740,39312800,467200,9606511200,0
2_3_3_8,71,15682730,39444700,494500,12967402000,0
2_3_3_9,73,18181377,39538200,531000,12621797800,0
2_3_5_0,99,15708910,39385000,690200,9466471100,0
2_3_5_1,101,16046618,39737500,707900,9568694600,0
