Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,5493156,25934200,295100,8852800300,1
2_1_1_1,22,5535098,39128500,238900,8657581100,3616
2_1_1_2,22,5494956,38859600,250600,10283409100,177
2_1_1_3,22,5493134,39150300,237200,9365773400,157
2_1_1_4,22,5488940,38864200,231600,16407721600,0
2_1_1_5,22,5492135,38906500,221500,9061379000,5
2_1_1_6,18,5978774,38126000,199400,11082008000,0
2_1_1_7,22,5552074,38904000,207500,9422365800,1588
2_1_1_8,22,5558190,39296200,217300,13286489500,272
2_1_1_9,20,6003661,39294400,187300,9825714300,10174
2_1_3_0,30,5493790,39047500,275100,9801164500,0
2_1_3_1,28,5662932,39597600,266400,9444659400,0
2_1_3_2,28,5490334,38554500,317800,12396043200,0
2_1_3_3,26,5489156,38673200,257000,9650361900,0
2_1_3_4,28,7977154,38815600,268100,10187709100,413
2_1_3_5,30,5606046,39094000,279900,10272718300,0
2_1_3_6,30,6408492,46990600,320600,13094843000,0
2_1_3_7,26,5491898,39102500,256200,9075320300,0
2_1_3_8,26,5489096,38926000,263400,10372528800,7
2_1_3_9,28,5744596,38632700,340400,9536660800,0
2_1_5_0,36,5489198,41237300,592800,11433138800,0
2_1_5_1,36,6100248,38961900,337900,11758747300,2365
2_1_5_2,38,5488938,38924700,330800,15009661300,0
2_1_5_3,38,5668342,39022800,317000,9685877200,0
2_1_5_4,34,5524450,38639500,287800,11128639600,0
2_1_5_5,36,5488962,39171800,336700,9508318700,0
2_1_5_6,38,5554182,39004600,350000,8956309600,0
2_1_5_7,38,5489610,38927600,361500,9492366000,0
2_1_5_8,36,5489770,38965400,307800,8659014800,0
2_1_5_9,34,5568188,38732800,291400,9725572200,27
2_2_1_0,41,11816365,38814100,320700,13225421700,17
2_2_1_1,41,11764099,38603200,299800,9658642900,70
2_2_1_2,33,12042697,36939000,239700,8860668900,30826
2_2_1_3,41,11776173,38746600,320100,9846460900,2813
2_2_1_4,41,11773052,38568600,436900,9167394600,800
2_2_1_5,41,16204179,39060400,360700,11078542500,632521
2_2_1_6,41,11765546,39097400,330000,12454453800,0
2_2_1_7,41,11768263,40729400,325500,9690910500,0
2_2_1_8,41,11775414,39662100,323400,16255272700,511
2_2_1_9,41,11762316,38958400,644000,11663324900,0
2_2_3_0,53,11769864,51626200,443800,12059574400,0
2_2_3_1,51,11898850,40061200,382000,9897846300,0
2_2_3_2,51,13028022,47253700,426700,11877814300,528
2_2_3_3,55,11841196,38918800,503200,9852961200,178
2_2_3_4,55,11935487,38868100,484900,10741714500,1033
2_2_3_5,49,12002596,39667300,442000,9828447500,0
2_2_3_6,73,22777265,41818800,421000,14152362200,795743
2_2_3_7,51,11762010,38693400,391400,9073527700,0
2_2_3_8,51,11883990,50790700,415400,9951340500,40
2_2_3_9,51,11823499,38950800,412200,9465748000,3
2_2_5_0,73,12177226,39291400,490100,13077954900,527
2_2_5_1,69,12749650,38646600,477200,10213662000,0
2_2_5_2,69,11763558,38899100,482100,9575637100,0
2_2_5_3,71,11772550,39109100,492900,10445832700,0
2_2_5_4,69,11768360,37480000,524700,13566221600,0
2_2_5_5,69,11772308,38834100,663400,9855056500,0
2_2_5_6,71,11762026,39699400,489300,9878900500,0
2_2_5_7,67,12150270,38563700,496600,9648491800,150
2_2_5_8,69,12241605,38784100,506200,12748863800,0
2_2_5_9,67,11955488,38950700,544900,9909689400,0
2_3_1_0,55,16124263,38803600,422500,9602101600,10218
2_3_1_1,55,15685903,39165200,395200,10083827900,28
2_3_1_2,55,15688506,40745500,403500,11158645300,0
2_3_1_3,55,15916067,39277000,355100,9874789100,471
2_3_1_4,55,15741341,37303300,389200,9490758300,167
2_3_1_5,55,15997350,39998900,382600,8882596200,0
2_3_1_6,55,15728349,38675000,375400,9542002500,0
2_3_1_7,49,15691205,38636100,382100,12585689300,2111
2_3_1_8,49,15699269,38563600,340800,13709258000,436
2_3_1_9,55,15682680,39212300,392900,10994396200,0
2_3_3_0,77,15896398,38626600,513900,9423082300,551
2_3_3_1,71,15778040,38436300,479100,9755492300,269
2_3_3_2,73,15717872,38707700,469500,9296140700,0
2_3_3_3,67,15997873,38659700,460800,9987797500,2024
2_3_3_4,73,17443073,38630800,515300,10033106200,85
2_3_3_5,75,15694680,39031800,497800,11298501300,12
2_3_3_6,77,16898276,39911600,527100,13234421200,12798
2_3_3_7,73,15682740,39059800,502400,9744660900,0
2_3_3_8,71,15682730,39253800,470500,9166948400,0
2_3_3_9,73,18181377,39399300,488600,11822366400,0
2_3_5_0,99,15708910,39133500,650200,14071903600,0
2_3_5_1,101,16046618,171195300,714100,9938484500,0
2_3_5_2,99,15700146,38994300,756300,10791587200,0
2_3_5_3,91,16084323,61947900,637000,10238658400,20
2_3_5_4,95,15881846,39186900,634400,10034579800,2
2_3_5_5,97,15723586,39037800,657700,10718402400,0
2_3_5_6,99,15682704,39774500,650400,11494975100,0
2_3_5_7,99,15682724,40097700,728200,9688051800,0
2_3_5_8,93,15687244,38958000,733300,11629824500,0
2_3_5_9,99,15689032,40117000,690600,10538652700,0
3_1_1_0,30,6427984,38832800,251200,14345895200,663
3_1_1_1,28,6304374,38929300,257200,9703233700,0
3_1_1_2,30,6275632,39207100,271300,9421490500,0
3_1_1_3,30,7293076,37881800,246800,10185849500,0
3_1_1_4,30,8491856,39049300,259100,13548712100,1181
3_1_1_5,28,6340898,38442500,256300,9690669600,0
3_1_1_6,26,7683516,39211800,251400,10380341100,3014396
3_1_1_7,28,6361077,39079300,267300,10612253000,0
3_1_1_8,26,6275306,39136300,218000,11109443200,2
3_1_1_9,30,9515950,38935200,262600,10491291700,0
3_1_3_0,40,8752063,40278300,305000,12176171000,0
3_1_3_1,38,6551084,39447800,278400,12712185700,0
3_1_3_2,40,6501962,40611200,640200,16944336400,0
3_1_3_3,42,6281850,38524500,324200,9763249000,0
3_1_3_4,42,6275044,39466800,349300,11604121000,0
3_1_3_5,42,6354050,39443200,299000,9759779600,0
3_1_3_6,38,6275104,39735100,311600,9230520800,0
3_1_3_7,36,6355144,39085500,332400,9709178800,2
3_1_3_8,40,6327230,39484400,279200,9196559400,0
3_1_3_9,40,6323532,40967100,325400,15539826300,0
3_1_5_0,54,6503954,38881600,445200,16851376000,2
3_1_5_1,52,6502606,38816600,387200,16100540800,0
3_1_5_2,50,6438102,38914000,364800,17130737800,0
