Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,528482304,355308544,528482304,354782208,528482304,354782208,735051776,342723584,1560281088
2_1_1_1,735051776,342723584,735051776,342201344,735051776,342201344,735051776,306551232,1560281088
2_1_1_2,735051776,306028992,735051776,306028992,735051776,306028992,807403520,507999872,1560281088
2_1_1_3,807403520,507477632,807403520,507477632,807403520,507477632,807403520,499116000,1560281088
2_1_1_4,807403520,498593760,807403520,498593760,807403520,498593760,807403520,221920256,1560281088
2_1_1_5,807403520,221398016,807403520,221398016,807403520,221398016,807403520,385873920,1560281088
2_1_1_6,807403520,385351680,807403520,385351680,807403520,385351680,807403520,417696752,1560281088
2_1_1_7,807403520,417174512,807403520,417174512,807403520,417174512,807403520,386922496,1560281088
2_1_1_8,807403520,386400256,807403520,386400256,807403520,386400256,807403520,441448448,1560281088
2_1_1_9,807403520,440926208,807403520,440926208,807403520,440926208,807403520,479197184,1560281088
2_1_3_0,807403520,478674944,807403520,478674944,807403520,478674944,807403520,500692992,1560281088
2_1_3_1,807403520,500170752,807403520,500170752,807403520,500170752,807403520,514324480,1560281088
2_1_3_2,807403520,513802240,807403520,513802240,807403520,513802240,807403520,522188800,1560281088
2_1_3_3,807403520,521666560,807403520,521666560,807403520,521666560,807403520,527955968,1560281088
2_1_3_4,807403520,527433728,807403520,527433728,807403520,527433728,807403520,529528832,1560281088
2_1_3_5,807403520,529006592,807403520,529006592,807403520,529006592,807403520,533723136,1560281088
2_1_3_6,807403520,533200896,807403520,533200896,807403520,533200896,807403520,536344576,1560281088
2_1_3_7,807403520,535822336,807403520,535822336,807403520,535822336,807403520,537917440,1560281088
2_1_3_8,807403520,537395200,807403520,537395200,807403520,537395200,807403520,540014592,1560281088
2_1_3_9,807403520,539492352,807403520,539492352,807403520,539492352,807403520,537393152,1560281088
2_1_5_0,807403520,536870912,807403520,536344576,807403520,536344576,807403520,536346624,1560281088
2_1_5_1,807403520,536346624,807403520,535820288,807403520,535820288,807403520,537395200,1560281088
2_1_5_2,807403520,537395200,807403520,536868864,807403520,536868864,807403520,538443776,1560281088
2_1_5_3,807403520,538443776,807403520,537917440,807403520,537917440,807403520,540540928,1560281088
2_1_5_4,807403520,540540928,807403520,540014592,807403520,540014592,807403520,540540928,1560281088
