Query,NR,PM,TM
2_1_1_0,0,0,43296952
2_1_1_1,0,0,-350906552
2_1_1_2,0,0,174192456
2_1_1_3,0,0,-190172168
2_1_1_4,0,0,214856984
2_1_1_5,0,0,-158106968
2_1_1_6,0,0,-46897928
2_1_1_7,0,0,50849856
2_1_1_8,0,0,76892304
2_1_1_9,0,0,-115889472
2_1_3_0,0,0,59527496
2_1_3_1,0,0,21999768
2_1_3_2,0,0,-97334944
2_1_3_3,0,0,47713336
2_1_3_4,0,0,69397040
2_1_3_5,0,0,-108372264
2_1_3_6,0,0,84970848
2_1_3_7,0,0,35498760
2_1_3_8,0,3544040,-100385624
2_1_3_9,0,0,47212504
2_1_5_0,0,0,81032240
2_1_5_1,0,0,-120006592
2_1_5_2,0,0,42701248
2_1_5_3,0,0,-10767680
2_1_5_4,0,0,81523496
2_1_5_5,0,0,-109140752
2_1_5_6,0,0,41280720
2_1_5_7,0,0,-91139040
2_1_5_8,0,0,87558424
2_1_5_9,0,0,-98609224
2_2_1_0,0,0,49009704
2_2_1_1,0,0,32585376
2_2_1_2,0,0,20598544
2_2_1_3,0,3544000,76299024
2_2_1_4,0,0,-122421304
2_2_1_5,0,0,34120184
2_2_1_6,0,0,-19916496
2_2_1_7,0,0,53839528
2_2_1_8,0,3994920,-8208696
2_2_1_9,0,0,-106327600
2_2_3_0,0,0,38345456
2_2_3_1,0,0,21764352
2_2_3_2,0,3544360,95819752
2_2_3_3,0,0,-102906736
2_2_3_4,0,3543992,52401496
2_2_3_5,0,0,-9797520
2_2_3_6,0,0,22364960
2_2_3_7,0,0,-11763920
2_2_3_8,0,0,20310520
2_2_3_9,0,0,-13224056
2_2_5_0,0,0,31856632
2_2_5_1,0,4037688,-11091440
2_2_5_2,0,0,-136371680
2_2_5_3,0,0,26745160
2_2_5_4,0,0,69728896
2_2_5_5,0,0,-95689024
2_2_5_6,0,0,60214800
2_2_5_7,0,3544032,77040520
2_2_5_8,0,0,-164180728
2_2_5_9,0,3837664,65586600
2_3_1_0,0,0,61099080
2_3_1_1,0,0,22491640
2_3_1_2,0,0,-90672944
2_3_1_3,0,0,74425336
2_3_1_4,0,0,-114532480
2_3_1_5,0,4141752,35930800
2_3_1_6,0,0,77900984
2_3_1_7,0,0,-102715976
2_3_1_8,0,0,58848680
2_3_1_9,0,0,-2101656
2_3_3_0,0,3543992,31660024
2_3_3_1,0,0,-3289520
2_3_3_2,3552232,0,38404376
2_3_3_3,0,0,-176681056
2_3_3_4,0,3543952,28761600
2_3_3_5,0,0,20167216
2_3_3_6,0,3544800,72250472
2_3_3_7,0,0,-133051528
2_3_3_8,0,0,6960680
2_3_3_9,0,0,39076304
2_3_5_0,0,0,61717624
2_3_5_1,0,0,9240512
2_3_5_2,0,3544256,-108399696
2_3_5_3,0,0,76763968
2_3_5_4,0,0,70623376
2_3_5_5,0,3538792,-125178384
2_3_5_6,0,4005272,39625824
2_3_5_7,0,0,79878456
2_3_5_8,0,3900624,-167940520
2_3_5_9,0,3837824,66155024
3_1_1_0,0,0,59578392
3_1_1_1,0,0,23553824
3_1_1_2,0,0,-93825776
3_1_1_3,0,0,81487112
3_1_1_4,0,0,-111260936
3_1_1_5,0,0,40445072
3_1_1_6,0,0,76702048
3_1_1_7,0,0,-122852160
3_1_1_8,0,0,56719288
3_1_1_9,0,0,14144960
3_1_3_0,0,3544104,-101776200
3_1_3_1,0,0,48685712
3_1_3_2,0,0,63986368
3_1_3_3,0,0,35226672
3_1_3_4,0,0,-123821248
3_1_3_5,0,0,56510448
3_1_3_6,0,0,-81018752
3_1_3_7,0,0,66795520
