Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,898629632,476576080,898629632,476576080,898629632,476576080,1246756864,448982496,1560281088
2_1_1_1,1246756864,448982496,1246756864,448982496,1246756864,448982496,1560281088,589284256,1560281088
2_1_1_2,1560281088,589284256,1560281088,589284256,1560281088,589284256,1560281088,822801904,1560281088
2_1_1_3,1560281088,822801904,1560281088,822801904,1560281088,822801904,1560281088,719515120,1560281088
2_1_1_4,1560281088,719515120,1560281088,719515120,1560281088,719515120,1560281088,799208944,1560281088
2_1_1_5,1560281088,799208944,1560281088,799208944,1560281088,799208944,1560281088,730525168,1560281088
2_1_1_6,1560281088,730525168,1560281088,730525168,1560281088,730525168,1560281088,753067472,1560281088
2_1_1_7,1560281088,753067472,1560281088,753067472,1560281088,753067472,1560281088,802876912,1560281088
2_1_1_8,1560281088,802876912,1560281088,802876912,1560281088,802354672,1560281088,720041456,1560281088
2_1_1_9,1560281088,720041456,1560281088,719515120,1560281088,719515120,1560281088,687531488,1560281088
2_1_3_0,1560281088,687531488,1560281088,687009248,1560281088,687009248,1560281088,719515104,1560281088
2_1_3_1,1560281088,718988768,1560281088,718988768,1560281088,718988768,1560281088,822277616,1560281088
2_1_3_2,1560281088,822277616,1560281088,821751280,1560281088,821751280,1560281088,767749616,1560281088
2_1_3_3,1560281088,767227376,1560281088,767227376,1560281088,767227376,1560281088,744154592,1560281088
2_1_3_4,1560281088,744154592,1560281088,743632352,1560281088,743632352,1560281088,820702688,1560281088
2_1_3_5,1560281088,820702688,1560281088,820176352,1560281088,820176352,1560281088,714274288,1560281088
2_1_3_6,1560281088,714274288,1560281088,713747952,1560281088,713747952,1560281088,816506336,1560281088
2_1_3_7,1560281088,816506336,1560281088,815984096,1560281088,815984096,1560281088,700114400,1560281088
2_1_3_8,1560281088,700114400,1560281088,700114400,1560281088,700114400,1560281088,651884016,1560281088
2_1_3_9,1560281088,651884016,1560281088,824356208,1560281088,824356208,1560281088,813360608,1560281088
2_1_5_0,1560281088,812838368,1560281088,812312032,1560281088,812312032,1560281088,726853088,1560281088
2_1_5_1,1560281088,726853088,1560281088,726330848,1560281088,726330848,1560281088,700116272,1560281088
2_1_5_2,1560281088,700116272,1560281088,699594032,1560281088,699594032,1560281088,723183072,1560281088
2_1_5_3,1560281088,723183072,1560281088,722660832,1560281088,722660832,1560281088,660268512,1560281088
