Query,DS,FQA,PT,TT,RT,NR
0,51,189563,1599200,488700,2498230700,0
1,37,56196,4601300,337700,2266298900,0
2,64,119707,4224100,714000,2490640400,0
3,33,43712,9248100,379800,2120858200,0
4,57,689679,8321700,1146400,2512975900,164
5,38,285203,8665900,425300,2539582700,0
6,52,446404,9679400,441100,2371830700,0
7,37,445768,4430700,389600,2490117700,756
8,42,172378,4197500,435100,2416932700,0
9,72,140849,7547900,481800,2105062600,0
10,55,268508,7421300,501400,2361705600,0
11,34,1074895,6592600,535800,2774690100,0
12,32,459722,10198200,400100,2301635600,0
13,32,372675,3525500,331400,2214304000,0
14,51,661680,4057400,464200,2624089100,0
15,35,493234,12706200,270500,2276105000,0
16,37,2209171,4773700,419400,2565896800,17573
17,103,500687,3318600,927900,2493352300,0
18,38,175552,3897600,346200,2129733100,0
19,59,746602,10571100,498700,2342038800,0
20,40,417340,9178600,322700,2624444700,0
21,45,77359,5361600,316300,2111843500,0
22,39,40521,6620100,552300,2187907100,0
23,57,4337766,5349600,572300,3436471100,4285
24,45,186053,7829200,440600,2510738900,0
25,52,54184,10297200,860700,2281880100,0
26,57,529287,8624100,562300,2449813600,68
27,40,174801,9400100,369100,2232291200,0
28,37,52546,8776100,292200,2427273500,0
29,30,2047945,14277000,316000,2617270700,2307
30,27,32835,14176500,292500,2118216800,0
31,41,575781,4605500,305700,2467662500,0
32,28,826366,4632700,378800,2527755600,12047
33,53,23999,7846400,489300,2078281900,0
34,27,52404,9774500,356400,2198742100,0
35,41,93907,3969200,446700,2154686800,2559
36,49,316742,7824800,452300,2453148900,0
37,45,442640,3741500,437200,2318243600,180
38,22,272783,7443900,384200,2342664800,0
39,32,285459,2607000,239400,2170933500,0
40,72,808675,3607000,636000,2571651000,0
41,74,2971727,4518900,705200,2971641200,0
42,29,407721,6107900,374100,2255555100,0
43,45,250263,6734700,587200,2420354100,0
44,49,58634,3876600,446500,2202110500,0
45,52,45610,12150300,456000,2073014700,0
46,46,52917,7009800,436400,2379821100,0
47,34,346019,3724200,349900,2308218500,0
48,66,159597,5464300,546000,2098516400,0
49,50,1095964,4009800,517500,2612217700,18049
