Query,NR,PM,TM
2_1_1_0,0,0,402813192
2_1_1_1,0,0,38725256
2_1_1_2,0,0,-40444352
2_1_1_3,0,0,-33463696
2_1_1_4,0,0,38667320
2_1_1_5,0,0,-25281120
2_1_1_6,0,0,38746488
2_1_1_7,0,0,-38684272
2_1_1_8,0,0,38688608
2_1_1_9,0,1680400,-40371880
2_1_3_0,0,0,40379736
2_1_3_1,0,0,-40369088
2_1_3_2,0,0,38688448
2_1_3_3,1680384,0,-40372400
2_1_3_4,0,0,38695656
2_1_3_5,0,1680480,-40370672
2_1_3_6,0,0,38689072
2_1_3_7,0,0,-40375344
2_1_3_8,0,0,38690696
2_1_3_9,0,1680440,-40368560
2_1_5_0,0,0,40380840
2_1_5_1,0,0,-40371352
2_1_5_2,0,1677984,38693088
2_1_5_3,0,0,-40368752
2_1_5_4,0,1677664,38688032
2_1_5_5,0,0,-40366336
2_1_5_6,0,0,40376440
2_1_5_7,0,0,-40375904
2_1_5_8,0,1677712,38688032
2_1_5_9,0,0,-40370648
2_2_1_0,0,0,40361256
2_2_1_1,0,0,-40365248
2_2_1_2,0,0,38685400
2_2_1_3,0,1680472,-40366016
2_2_1_4,0,0,38689368
2_2_1_5,0,0,-40369448
2_2_1_6,0,0,38692824
2_2_1_7,1680416,0,-40374120
2_2_1_8,0,0,40369736
2_2_1_9,0,0,-40368432
2_2_3_0,0,0,40381384
2_2_3_1,0,0,-40371240
2_2_3_2,0,1677672,38696264
2_2_3_3,0,0,-40368960
2_2_3_4,0,1677672,38695032
2_2_3_5,0,0,-40379192
2_2_3_6,0,1677680,37022328
2_2_3_7,0,0,-40378968
2_2_3_8,0,1677648,38697528
2_2_3_9,0,0,-40375312
2_2_5_0,0,1677832,38723960
2_2_5_1,0,0,-38700176
2_2_5_2,0,0,38693320
2_2_5_3,0,0,-38691168
2_2_5_4,0,0,38692568
2_2_5_5,0,0,-38693720
2_2_5_6,0,0,38695608
2_2_5_7,0,0,-38697328
2_2_5_8,0,0,38696176
2_2_5_9,0,0,-38696464
2_3_1_0,0,0,38665232
2_3_1_1,0,0,-40367880
2_3_1_2,0,1677984,38693248
2_3_1_3,0,0,-40370848
2_3_1_4,0,1677688,37016152
2_3_1_5,0,0,-40376144
2_3_1_6,0,0,40372912
2_3_1_7,0,0,-40377792
2_3_1_8,0,0,38693344
2_3_1_9,1680416,0,-40365872
2_3_3_0,0,1677832,38722472
2_3_3_1,0,0,-38703848
2_3_3_2,0,0,38696128
2_3_3_3,0,0,-40381088
2_3_3_4,1677624,0,38705472
2_3_3_5,0,0,-38694128
2_3_3_6,0,0,38697672
2_3_3_7,0,0,-40378016
2_3_3_8,0,0,38688440
2_3_3_9,0,0,-38686624
2_3_5_0,0,1678120,37054144
2_3_5_1,0,1680416,-45378128
2_3_5_2,0,1680424,42016264
2_3_5_3,0,1680400,-37060328
2_3_5_4,0,1675952,46943672
2_3_5_5,0,1675976,-41918664
2_3_5_6,1675368,0,-23491720
2_3_5_7,0,1671752,46982352
2_3_5_8,0,1676008,-40215392
2_3_5_9,0,1677488,40329184
3_1_1_0,0,0,-43745608
3_1_1_1,0,0,37007208
3_1_1_2,0,1680480,-40370032
3_1_1_3,0,0,38688768
3_1_1_4,1680480,0,-40369888
3_1_1_5,0,0,38687248
3_1_1_6,0,1680400,-40370560
3_1_1_7,0,0,38686928
3_1_1_8,1680344,0,-40368840
3_1_1_9,0,0,40370824
3_1_3_0,0,0,-40354816
3_1_3_1,0,0,40367528
3_1_3_2,0,0,-40369520
3_1_3_3,0,0,40369208
