Query,DS,FQA,PT,TT,RT,NR
3_2_5_8,91,3820971,26160600,1343700,3353401500,0
3_2_5_9,87,3715832,9747900,615200,2947414400,0
3_3_1_0,72,6507854,8965100,467900,3358901800,10345
3_3_1_1,72,5377628,13203700,485300,3050375500,0
3_3_1_2,71,6209534,51295400,508800,3298225700,0
3_3_1_3,72,5325232,10731200,465800,3076780300,3
3_3_1_4,72,5351618,6762100,456400,3079413500,0
3_3_1_5,72,5312739,10333600,505300,2829369400,0
3_3_1_6,68,5322106,8246300,521400,3383923700,1110
3_3_1_7,72,7801368,12956300,997200,3560955700,1
3_3_1_8,72,5310659,88134900,527500,3016052200,5
3_3_1_9,72,5348334,28218900,482000,3047843700,49
3_3_3_0,96,5307500,11466900,624600,2962500200,0
3_3_3_1,102,5307570,35872100,869400,2928350500,0
3_3_3_2,98,5338884,10371500,672900,3016958400,0
3_3_3_3,102,5308345,29816900,707900,3033241400,0
3_3_3_4,100,5310106,71508200,738100,3212339100,0
3_3_3_5,100,5412440,72788900,916300,3091211600,0
3_3_3_6,102,5592019,17576900,689000,3148797400,7
3_3_3_7,96,5584605,92462500,704700,3255657900,1002
3_3_3_8,100,5389844,47138200,745900,3374309700,0
3_3_3_9,104,5393331,20511200,778300,3060424300,0
3_3_5_0,136,5335286,45125300,1127400,3168791300,0
3_3_5_1,134,5330330,48332800,1693000,3119334100,0
3_3_5_2,136,5369388,452847200,1104900,3291016100,0
3_3_5_3,134,5539021,279968500,1062900,3164320500,0
3_3_5_4,130,5457771,195741700,1365800,3194726000,0
3_3_5_5,136,5644073,58717200,1064800,3210629400,0
3_3_5_6,138,5307574,101288400,1061300,3138954500,0
3_3_5_7,140,5426169,85791500,1133300,3159417200,0
3_3_5_8,132,5997408,25923200,852000,3312456200,0
3_3_5_9,132,5361818,115760200,875600,3089849000,0
