Query,DS,FQA,PT,TT,RT,NR
0,76,836324,79650400,241437500,1601142800,0
1,61,514120,5203800,107182000,722568900,0
2,97,933126,110150700,200289000,749341900,0
3,54,584406,4113600,32008000,668722500,0
4,86,1164450,97671300,246093600,748750900,20
5,61,764315,2651900,7748100,646785500,0
6,76,1029712,1020500,6665600,661592800,0
7,58,425094,1413500,6886700,712164000,169
8,65,742242,1296200,5709500,644374300,0
9,102,882786,1137400,9113900,658642600,0
10,87,1051834,4452200,10722300,705745900,0
11,57,952546,1221000,4485400,676039500,0
12,52,766074,1197900,3678200,636920100,0
13,54,571230,941800,3803000,683323100,0
14,77,1141616,1276000,5847600,596556700,0
15,57,887880,959100,4313300,666699900,0
16,58,2320208,1192300,4151900,917990700,4307
17,135,1017877,109189000,25270900,719866800,0
18,64,702722,1058500,4683500,732055700,0
19,94,1229759,1153000,6502300,722188800,0
20,63,754029,964400,4207900,625195300,0
21,66,580172,1025400,4804600,607958800,0
22,60,585275,1118300,4253400,692799400,0
23,85,2674573,1185000,5992200,1037951400,1116
24,66,598698,1158000,4723600,646063100,0
25,75,684974,822000,5590700,715160600,0
26,89,1126891,1014600,6016600,648094300,16
27,66,769554,1022800,4207100,665246000,0
28,61,516332,1164700,3949800,647865800,0
29,49,1669159,1018800,3221200,778673900,598
30,47,342830,1142700,3502100,589613700,0
31,69,918338,1115500,4343200,798117700,0
32,47,706357,1905300,4655400,638521800,3388
33,84,807916,1012400,5573000,600353200,0
34,47,401947,998700,3649500,650560500,0
35,62,628629,1204600,4348300,634001500,618
36,78,1015047,1277200,4968100,663657400,0
37,71,1095793,1217000,4865000,613655700,98
38,38,489092,1019700,2342600,618585000,0
39,52,701372,938100,3359300,577761100,0
40,106,1178921,1309300,7432700,680247000,0
41,112,2597877,1943400,15140500,911936200,0
42,47,606926,988000,2899800,652490400,0
43,70,587388,2138600,9318500,646933100,0
44,80,830436,1081400,5067900,694980900,0
45,75,685030,876000,5443100,617365200,0
46,72,757330,1088200,4908200,624150900,0
47,53,507679,1121900,3580300,629972400,0
48,96,900158,1150700,6609300,643020800,0
49,77,1114998,1023800,5147700,671407000,5033
