Query,DS,FQA,PT,TT,RT,NR
0,76,6953876,39296000,594200,6528682900,0
1,61,4254455,41289400,408300,5974434900,0
2,97,7728663,37787200,832900,6352819600,0
3,54,4848262,39000800,544000,5416011400,0
4,86,9654811,38887300,907400,6587151200,229
5,61,6311881,40001100,438500,5764451800,0
6,76,8609200,39671600,917000,6337057100,0
7,58,3584846,39596400,513500,5917867600,1158
8,65,6155307,41576200,527800,6239113100,0
9,102,7322989,23411100,657400,5829898700,0
10,87,8723878,43694300,1066600,6279735000,0
11,57,8048119,40731800,521800,6369963600,0
12,52,6360171,36295700,513500,5666928700,0
13,54,4770100,23075200,429700,5930282600,0
14,77,9453420,41086200,602200,5463472000,0
15,57,7375755,40910800,466700,5484821500,0
16,58,20641668,40715500,484300,8482996800,39655
17,135,8471578,23218400,828900,6056036600,0
18,64,5877507,33460300,560700,6084372400,0
19,94,10132852,41380400,741300,5966102800,0
20,63,6283580,40331500,668000,6202266900,0
21,66,4785119,38915100,537700,5491839700,0
22,60,4786265,41896300,827800,6084566200,0
23,85,23914784,39295300,810800,9735060000,9811
24,66,4977878,26642400,419600,5857440800,0
25,75,5672052,22935500,670200,5433220100,0
26,89,9391695,42938800,680700,6343524000,165
27,66,6481423,41892800,766700,5934506500,0
28,61,4256471,40631800,508600,6193999900,0
29,49,14809842,40829100,654100,7371184100,5152
30,47,2836372,23866500,416300,5646030800,0
31,69,7419920,41316300,672000,6960962300,0
32,47,6050006,40343700,318300,6382424900,28410
33,84,6626104,42598000,658700,5491296800,0
34,47,3329084,38433800,587500,5915362500,0
35,62,5241577,39445100,909300,6011406600,5666
36,78,8431997,22032500,460500,6076112600,0
37,71,9018311,36557200,744000,5777140100,98
38,38,4069548,38450600,281600,5896404800,1
39,52,5811396,42349100,396200,5899062800,0
40,106,9757429,40367200,1322900,5926171600,0
41,112,22495848,41776200,1235200,8131109900,0
42,47,5051224,25344900,587100,5586995100,0
43,70,4759687,44343300,977500,5939051200,0
44,80,6863293,42185700,966200,6005500600,0
45,75,5672108,41182200,540500,5673482200,0
46,72,6273425,45261500,835600,5841074200,0
47,53,4241408,41205500,696400,6298362900,0
48,96,7479015,41541000,955400,5959479300,0
49,77,9235491,21905000,513900,6665432400,38204
