Query,DS,FQA,PT,TT,RT,NR
0,76,836324,52184101,234010800,1139975700,0
1,61,514120,6276900,166687101,737984600,0
2,97,933126,125024399,1113593900,764905799,0
3,54,584406,34261100,14089800,695808900,0
4,86,1164450,321561001,294145500,764722800,20
5,61,764315,5496100,13371701,680424400,0
6,76,1029712,3300801,6583700,712209400,0
7,58,425094,1425700,6558300,709156300,169
8,65,742242,1306600,5829800,677525600,0
9,102,882786,1094300,9890299,692263300,0
10,87,1051834,1416701,7530400,728025401,0
11,57,952546,1137300,4369600,736188300,0
12,52,766074,4070200,6924499,623039900,0
13,54,571230,4009100,7235600,677292899,0
14,77,1141616,964800,5765000,615038900,0
15,57,887880,1011000,4590500,624476401,0
16,58,2320208,1159300,4521001,887132100,4307
17,135,1017877,72307301,16931800,849158700,0
18,64,702722,815100,4231700,699568600,0
19,94,1229759,1227101,6638600,664082200,0
20,63,754029,2819000,4259700,637096199,0
21,66,580172,997101,4768700,608464299,0
22,60,585275,1065600,4245200,629049500,0
23,85,2674573,1170699,5979500,965287300,1116
24,66,598698,1504600,8789499,674323201,0
25,75,684974,2605300,5618600,610563299,0
26,89,1126891,1094100,6037800,619749899,16
27,66,769554,1094800,4295399,619729301,0
28,61,516332,1184000,4017899,599792601,0
29,49,1669159,1013700,4325599,771308700,598
30,47,342830,1027400,2971700,642395599,0
31,69,918338,3737600,9244601,759488900,0
32,47,706357,1071200,2862100,682833401,3388
33,84,807916,1019699,5743800,656931399,0
34,47,401947,1008600,3737600,587041100,0
35,62,628629,31962999,4293499,678106000,618
36,78,1015047,1336900,5000301,669065899,0
37,71,1095793,1429900,4841100,599784401,98
38,38,489092,1050500,2286500,664888601,0
39,52,701372,978600,3302200,558554200,0
40,106,1178921,1392300,7636700,643462300,0
41,112,2597877,1149300,8018400,931124200,0
42,47,606926,1010900,2891499,575946300,0
43,70,587388,2918100,4537499,615699400,0
44,80,830436,1097201,5049699,643520601,0
45,75,685030,1059799,5365000,579461700,0
46,72,757330,2760501,4912301,637476801,0
47,53,507679,1081700,3508700,639064401,0
48,96,900158,1025900,6474900,605277000,0
49,77,1114998,1053299,5079000,664944401,5033
