Query,DS,FQA,PT,TT,RT,NR
0,76,4663268,13742200,640300,3940065500,0
1,61,2853725,15749800,414900,4528275500,0
2,97,5181387,16389600,861900,4024416500,0
3,54,3251384,19602800,414900,3621391500,0
4,86,6472113,19248100,639800,4318298800,123
5,61,4232963,16718000,506700,3880441200,0
6,76,5768760,19860200,1383500,4158420300,0
7,58,2390555,17673700,1734600,4514501500,695
8,65,4125918,13101700,603700,3907892700,0
9,102,4911921,17303000,572700,3929470400,0
10,87,5849918,20756100,530000,4297231800,0
11,57,5389809,14977700,390800,4245272200,0
12,52,4264375,15299300,392100,3662517500,0
13,54,3194447,13047900,365100,4129458700,0
14,77,6340660,12594100,476400,3590435900,0
15,57,4945917,18576000,516900,3727439500,0
16,58,13742264,16665300,392800,5836527900,26190
17,135,5679275,27081000,843200,4181563700,0
18,64,3938639,16535100,523300,3954426800,0
19,94,6796007,21596700,688300,4400386800,0
20,63,4208040,13623900,529600,3921930400,0
21,66,3212191,20937200,520200,3862034700,0
22,60,3211924,15122600,387700,4124277600,0
23,85,15900595,21377300,511900,6385240000,6378
24,66,3341106,15171200,439200,3860719700,0
25,75,3804396,19612800,483900,3823589500,0
26,89,6295301,13425400,538200,3962060900,123
27,66,4340875,18967300,641500,3947034800,0
28,61,2856013,17141200,518000,4488258300,0
29,49,9874462,10951700,439600,4985368600,3492
30,47,1902560,14407700,315400,3656162700,0
31,69,4999497,14675100,421600,5104246100,0
32,47,4047045,15415400,307200,4080252200,18259
33,84,4447006,16160000,509400,3815031200,0
34,47,2232473,14909400,386900,4134194000,0
35,62,3507359,24171700,577700,4022612000,3441
36,78,5652182,14315800,622400,3883064600,0
37,71,6051362,12041100,570300,4291481300,74
38,38,2724080,14063500,299100,3910155600,0
39,52,3896996,20121300,446800,3600242700,0
40,106,6538956,17734100,930800,4554430300,0
41,112,15035661,15840100,1158500,5165319600,0
42,47,3386412,14652400,357100,3755749500,0
43,70,3196053,13988900,500200,4278123800,0
44,80,4600314,13269700,527500,3971345600,0
45,75,3804466,22990000,590400,3688089700,0
46,72,4206957,22109800,491600,4292251900,0
47,53,2841091,16615800,403100,3943205400,0
48,96,5012543,14391800,570500,3937314500,0
49,77,6194426,21674200,752900,4574375600,26681
