Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,11,786177,26414800,163700,9707898400,1
2_1_1_1,11,884100,38657500,182500,8792749300,3616
2_1_1_2,11,788174,44054500,165100,17300056600,177
2_1_1_3,11,786689,38819700,187800,9298680400,157
2_1_1_4,11,784319,39214500,161500,12114805800,0
2_1_1_5,11,786201,37168000,182500,11147404200,163
2_1_1_6,7,977311,37656200,146100,16448249400,0
2_1_1_7,11,830846,38333600,151500,9202592700,1588
2_1_1_8,11,852706,38921400,176700,13988030900,272
2_1_1_9,9,963398,38798800,193800,11530020500,10174
2_1_3_0,19,789961,38870600,224700,8798634900,0
2_1_3_1,17,1037200,39740400,204100,9033817300,0
2_1_3_2,17,799954,39419000,221700,16333994400,0
2_1_3_3,15,799572,38752600,177500,11709720000,0
2_1_3_4,17,2362574,39385600,177700,10382468600,413
2_1_3_5,19,969061,46320300,231400,15764634500,0
2_1_3_6,19,1704756,38622400,227200,16942497500,0
2_1_3_7,15,821191,50989700,188400,13277451800,0
2_1_3_8,15,823699,39084000,240500,9624636700,7
2_1_3_9,17,1046730,39109600,212800,15575679100,0
2_1_5_0,25,879280,38839900,278900,16943617800,0
2_1_5_1,25,2178408,38797900,276200,16639966400,2363
2_1_5_2,27,1129177,40015000,306500,15716052700,0
2_1_5_3,27,1052275,38928200,344300,15991159600,0
2_1_5_4,23,806114,38698000,299300,16456177600,0
2_1_5_5,25,802115,39325900,287700,16003552900,0
2_1_5_6,27,867807,39690700,270600,16131169800,0
2_1_5_7,27,804270,38509500,479500,12331492500,0
2_1_5_8,25,831681,39142800,289200,9010937800,0
2_1_5_9,23,1792536,38992600,262500,15754606400,27
2_2_1_0,21,902169,38724800,192100,17186104800,17
2_2_1_1,21,785453,38880500,199600,15786718000,70
2_2_1_2,17,833667,40036900,181900,17237630800,800645
2_2_1_3,21,795424,38781800,243300,17121387300,2813
2_2_1_4,21,790183,38854200,232100,15331517200,800
2_2_1_5,21,3000451,48671800,247600,12724584500,632521
2_2_1_6,21,876662,39488200,247600,9137457600,0
2_2_1_7,21,787474,39252700,259700,8890640000,0
2_2_1_8,21,826177,52578300,274600,13389195400,511
2_2_1_9,21,819697,38839300,273600,8930123400,0
2_2_3_0,33,860010,39102700,298300,12022365300,0
2_2_3_1,31,908552,38685600,356200,16274218000,0
2_2_3_2,31,1521490,43092500,283600,15427653000,528
2_2_3_3,35,1063338,39139500,344500,16411207700,178
2_2_3_4,35,967714,44477500,339300,12822794200,1033
2_2_3_5,29,868536,38649800,311200,16476047800,0
2_2_3_6,37,1461120,39042400,364300,9852400000,795743
2_2_3_7,31,885405,38769200,298600,12572463700,0
2_2_3_8,31,826210,39023900,308600,9168952100,40
2_2_3_9,31,920841,38453700,318400,16444188600,3
2_2_5_0,53,1185498,38363800,507700,9329080800,527
2_2_5_1,49,1598661,39377200,456000,12965735400,0
2_2_5_2,49,1900257,39150200,502300,11480655800,0
2_2_5_3,51,816131,39770700,524600,13538804100,0
2_2_5_4,49,1389695,49829600,500100,9567374000,0
2_2_5_5,49,1310776,52723400,491900,12313160900,0
2_2_5_6,51,944898,39610700,545100,9266183700,0
2_2_5_7,47,1242062,38965700,510400,16547267300,150
2_2_5_8,49,1306152,37855100,442700,9457724000,0
2_2_5_9,47,889162,39059800,462800,12730327000,0
2_3_1_0,31,1006034,39839800,327400,13052830600,10218
2_3_1_1,31,788463,38601000,297700,15461035500,28
2_3_1_2,31,875408,47643700,299400,9244960300,0
2_3_1_3,31,902380,39503200,268000,16608803200,471
2_3_1_4,31,842392,39498400,268400,10379485000,167
2_3_1_5,31,902525,38770000,270400,11759454300,0
2_3_1_6,31,804877,39044800,265700,11260782400,0
2_3_1_7,25,789570,46491900,262300,16337250700,2111
2_3_1_8,25,883461,38837500,284100,9293499400,436
2_3_1_9,35,784136,39206600,325900,12878262500,784134
2_3_3_0,53,1268805,38978700,503500,11181521500,551
2_3_3_1,47,968770,38801600,449900,9729958400,269
2_3_3_2,49,913159,38652000,459000,9057960300,0
2_3_3_3,43,1212353,39061500,372700,13349061900,2024
2_3_3_4,49,1935088,38836300,428000,10961624100,85
2_3_3_5,51,898096,38702200,441900,14313355000,12
2_3_3_6,53,1368374,38948900,483200,10799295100,12798
2_3_3_7,49,1003181,45777000,459400,15824523700,0
2_3_3_8,47,1014656,39022600,434800,16950309400,0
2_3_3_9,49,1590506,38641000,426100,16596246100,0
2_3_5_0,75,1203023,38786300,802100,16178225600,0
2_3_5_1,77,1277705,39418500,847400,14118275800,0
2_3_5_2,75,1087106,39019300,742800,10478038800,0
2_3_5_3,67,1572154,38768700,642000,9213123100,0
2_3_5_4,71,1049924,38917900,718100,8941603600,0
2_3_5_5,73,1050271,39361200,697500,11442650100,0
2_3_5_6,75,1095826,39232900,786000,9147842700,0
2_3_5_7,75,1116695,39254700,844800,12315678500,0
2_3_5_8,69,947971,38745700,662800,9773915200,0
2_3_5_9,75,985748,39691800,705800,10988105100,0
3_1_1_0,14,945140,44777400,187000,9228743300,663
3_1_1_1,12,799507,38862900,161500,8891273500,0
3_1_1_2,14,785508,50979100,193700,13105900000,0
3_1_1_3,14,1309088,45469700,172000,9183714600,0
3_1_1_4,14,2371229,38920900,176200,12421644600,1181
3_1_1_5,12,870705,39225700,192900,16709240100,0
3_1_1_6,10,1272781,39155600,150000,17805000800,3014396
3_1_1_7,12,882076,39270700,176200,16381404500,0
3_1_1_8,10,785142,42311200,246500,16014582400,2
3_1_1_9,14,2417534,38400800,177100,16953984800,0
3_1_3_0,24,1644999,39088100,238500,16414706300,0
3_1_3_1,22,992963,38774800,250900,14860887000,0
3_1_3_2,24,1052477,38873700,293900,11355171900,0
