Query,DS,FQA,PT,TT,RT,NR
0,51,757614,67572200,346800,19378794800,0
1,37,223904,68557200,369900,19472646300,0
2,64,464335,67168200,582400,19115058300,0
3,33,168353,67190800,304800,17993185600,0
4,57,2731548,68463300,461000,20288749100,566
5,38,1115583,63787300,415300,20109257000,0
6,52,1772849,71659300,359600,19405877700,0
7,37,1764607,70578200,475000,19615020300,1978
8,42,661206,71120000,565500,19365760700,0
9,72,555122,69567300,565300,18351677300,0
10,55,1056592,67428500,593700,19136426200,0
11,34,4266571,71609000,486000,20773506600,0
12,32,1806758,70354000,230700,20185354700,0
13,32,1486741,68298400,355600,19236876700,0
14,51,2590872,69477700,387500,18823373700,0
15,35,1947268,45041600,335100,19428776700,0
16,37,8862251,67059800,405700,20815629500,71517
17,103,2004508,68455800,966600,19352920400,0
18,38,701432,71824600,407300,18912122500,0
19,59,2928190,69568100,928800,20198814600,0
20,40,1651171,66587200,412200,19724236500,0
21,45,297186,71497600,407600,18019472800,0
22,39,127631,68674800,372200,19227137000,0
23,57,17117293,69243600,511900,24389894900,17187
24,45,746031,39540800,487300,18256604000,0
25,52,204842,70863200,583600,18620231900,0
26,57,2090180,74510600,543400,20127531100,301
27,40,699618,68404400,362000,18976608200,0
28,37,203968,70682600,279900,18756424600,0
29,30,8200978,65375900,353800,21405675900,9326
30,27,131983,68938600,301800,18471151800,0
31,41,2270928,68574200,425100,19762513200,0
32,28,3286874,70745900,465300,20037371000,45282
33,53,79937,66726900,452600,18584032800,0
34,27,201721,66841400,562100,19065060700,0
35,41,371950,68802600,400400,18767770400,10092
36,49,1253194,66403600,420900,19411672900,0
37,45,1726851,69842500,348300,19670481100,76
38,22,1074614,68767600,312000,19412802000,1
39,32,1122188,68965200,249700,19255820800,0
40,72,3196745,65729500,1383100,20450141000,0
41,74,11819234,54235000,738300,21606014300,0
42,29,1618832,67274400,362200,18903833900,0
43,45,959008,68089600,724300,19789346500,0
44,49,220915,68052500,717900,18944096000,0
45,52,166796,68282300,427000,18151620200,0
46,46,203712,55605800,415100,19257931100,0
47,34,1379219,61730800,295200,19476816600,0
48,66,638436,72233900,539200,18488777300,0
49,50,4338199,68209600,873200,20612236300,71205
