Query,NR,PM,TM
2_1_1_0,6312288,2051624,81836584
2_1_1_1,0,0,43391920
2_1_1_2,360336,0,-12595776
2_1_1_3,0,0,81541000
2_1_1_4,0,3544048,-95759912
2_1_1_5,0,215368,67307464
2_1_1_6,0,0,-92280688
2_1_1_7,0,0,75185656
2_1_1_8,0,0,27692352
2_1_1_9,0,0,-92236056
2_1_3_0,0,56488,83616096
2_1_3_1,0,0,48583736
2_1_3_2,0,0,-149652176
2_1_3_3,0,0,52831528
2_1_3_4,0,0,-91936728
2_1_3_5,0,0,219955176
2_1_3_6,0,0,-124557552
2_1_3_7,0,0,67711912
2_1_3_8,3544112,0,-93825696
2_1_3_9,0,0,200184648
2_1_5_0,0,3544016,-259093696
2_1_5_1,0,15528,251130208
2_1_5_2,0,11056,-190950104
2_1_5_3,0,8296,215296464
2_1_5_4,0,0,-164387168
2_1_5_5,0,0,133793968
2_1_5_6,0,0,-262115424
2_1_5_7,0,0,211357248
2_1_5_8,0,0,-19446528
2_1_5_9,0,0,137522344
2_2_1_0,0,0,-255641176
2_2_1_1,0,0,226293000
2_2_1_2,0,0,-273731304
2_2_1_3,0,0,335883632
2_2_1_4,0,0,-199346264
2_2_1_5,0,0,132130448
2_2_1_6,0,4351168,-302228280
2_2_1_7,0,0,232039120
2_2_1_8,0,0,-59545688
2_2_1_9,0,0,190132880
2_2_3_0,0,0,-338265200
2_2_3_1,0,0,159672576
2_2_3_2,0,0,345935120
2_2_3_3,0,0,-358515248
2_2_3_4,0,0,116425848
2_2_3_5,0,0,222696848
2_2_3_6,0,0,-511129904
2_2_3_7,0,0,179803024
2_2_3_8,0,0,168012104
2_2_3_9,0,0,-147721832
2_2_5_0,0,4257576,-16791512
2_2_5_1,0,3544008,206481304
2_2_5_2,0,0,-228712984
2_2_5_3,0,0,86546976
2_2_5_4,0,0,229510672
2_2_5_5,0,0,-316593224
2_2_5_6,0,0,207219928
2_2_5_7,0,4408224,-14520
2_2_5_8,0,4089632,-191653288
2_2_5_9,0,0,71066040
2_3_1_0,0,0,198373056
2_3_1_1,0,0,-325787144
2_3_1_2,0,0,165542952
2_3_1_3,0,0,120384080
2_3_1_4,0,0,-333921512
2_3_1_5,0,0,180766136
2_3_1_6,0,0,114852432
2_3_1_7,0,0,-248322928
2_3_1_8,0,0,144316648
2_3_1_9,0,0,138802536
2_3_3_0,0,0,150663032
2_3_3_1,0,0,-462594328
2_3_3_2,0,0,104830688
2_3_3_3,0,4739456,260305112
2_3_3_4,0,0,180317560
2_3_3_5,4495984,0,-517433008
2_3_3_6,4624128,0,181802240
2_3_3_7,0,0,140241712
2_3_3_8,0,0,186227456
2_3_3_9,0,0,-467283896
2_3_5_0,0,0,-26473176
2_3_5_1,0,4077192,184140648
2_3_5_2,0,4110624,336355912
2_3_5_3,0,0,-569254832
2_3_5_4,0,0,209449664
2_3_5_5,0,4425024,178865120
2_3_5_6,0,0,167484480
2_3_5_7,0,0,-687085616
2_3_5_8,0,0,171974200
2_3_5_9,0,4215144,167547760
3_1_1_0,0,0,357318936
3_1_1_1,0,0,-525300504
3_1_1_2,0,0,108746104
3_1_1_3,0,0,214208952
3_1_1_4,0,0,186854896
3_1_1_5,0,0,-481814736
3_1_1_6,0,0,-32092440
3_1_1_7,0,0,175906216
3_1_1_8,0,0,354303784
