Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,1047527424,483730680,1047527424,483393536,1047527424,483393536,1560281088,585625568,1560281088
2_1_1_1,1560281088,585625568,1560281088,585099232,1560281088,585099232,1560281088,562554848,1560281088
2_1_1_2,1560281088,562554848,1560281088,562032608,1560281088,562032608,1560281088,368322000,1560281088
2_1_1_3,1560281088,368322000,1560281088,367799760,1560281088,367799760,1560281088,370139088,1560281088
2_1_1_4,1560281088,370139088,1560281088,369616848,1560281088,369616848,1560281088,363323344,1560281088
2_1_1_5,1560281088,363323344,1560281088,362801104,1560281088,362801104,1560281088,394848208,1560281088
2_1_1_6,1560281088,394848208,1560281088,394848208,1560281088,394848208,1560281088,366771664,1560281088
2_1_1_7,1560281088,366771664,1560281088,366771664,1560281088,366771664,1560281088,441599968,1560281088
2_1_1_8,1560281088,441599968,1560281088,441077728,1560281088,441077728,1560281088,397926352,1560281088
2_1_1_9,1560281088,397926352,1560281088,397926352,1560281088,397926352,1560281088,553117664,1560281088
2_1_3_0,1560281088,553117664,1560281088,552595424,1560281088,552595424,1560281088,387440592,1560281088
2_1_3_1,1560281088,387440592,1560281088,386918352,1560281088,386918352,1560281088,530264256,1560281088
2_1_3_2,1560281088,530264256,1560281088,529742016,1560281088,529742016,1560281088,334755880,1560281088
2_1_3_3,1560281088,334755880,1560281088,334233640,1560281088,334233640,1560281088,529270752,1560281088
2_1_3_4,1560281088,529270752,1560281088,529270752,1560281088,529270752,1560281088,541061104,1560281088
2_1_3_5,1560281088,541061104,1560281088,540538864,1560281088,540538864,1560281088,567273440,1560281088
2_1_3_6,1560281088,567273440,1560281088,566751200,1560281088,566751200,1560281088,452976592,1560281088
2_1_3_7,1560281088,452976592,1560281088,452454352,1560281088,452454352,1560281088,415227856,1560281088
2_1_3_8,1560281088,415227856,1560281088,414705616,1560281088,414705616,1560281088,452627408,1560281088
2_1_3_9,1560281088,452627408,1560281088,452105168,1560281088,452105168,1560281088,498883536,1560281088
2_1_5_0,1560281088,498883536,1560281088,498361296,1560281088,498361296,1560281088,607123936,1560281088
2_1_5_1,1560281088,607123936,1560281088,606601696,1560281088,606601696,1560281088,498216400,1560281088
2_1_5_2,1560281088,498216400,1560281088,497694160,1560281088,497694160,1560281088,444063696,1560281088
2_1_5_3,1560281088,444063696,1560281088,443541456,1560281088,443541456,1560281088,409984976,1560281088
2_1_5_4,1560281088,409984976,1560281088,409462736,1560281088,409462736,1560281088,540536816,1560281088
2_1_5_5,1560281088,540536816,1560281088,540014576,1560281088,540014576,1560281088,567890928,1560281088
2_1_5_6,1560281088,567890928,1560281088,567368688,1560281088,567368688,1560281088,605915632,1560281088
2_1_5_7,1560281088,605915632,1560281088,605393392,1560281088,605393392,1560281088,453956048,1560281088
2_1_5_8,1560281088,453956048,1560281088,453433808,1560281088,453433808,1560281088,453800448,1560281088
2_1_5_9,1560281088,453800448,1560281088,453278208,1560281088,453278208,1560281088,353387984,1560281088
2_2_1_0,1560281088,353387984,1560281088,352865744,1560281088,352865744,1560281088,529000416,1560281088
2_2_1_1,1560281088,529000416,1560281088,528478176,1560281088,528478176,1560281088,442360272,1560281088
2_2_1_2,1560281088,442360272,1560281088,441838032,1560281088,441838032,1560281088,422043600,1560281088
2_2_1_3,1560281088,422043600,1560281088,421521360,1560281088,421521360,1560281088,551218656,1560281088
2_2_1_4,1560281088,551218656,1560281088,550696416,1560281088,550696416,1560281088,482355664,1560281088
2_2_1_5,1560281088,482355664,1560281088,481833424,1560281088,481833424,1560281088,546538464,1560281088
2_2_1_6,1560281088,546538464,1560281088,546016224,1560281088,546016224,1560281088,441266736,1560281088
2_2_1_7,1560281088,441266736,1560281088,440744496,1560281088,440744496,1560281088,498144208,1560281088
2_2_1_8,1560281088,498144208,1560281088,497621968,1560281088,497621968,1560281088,578489312,1560281088
2_2_1_9,1560281088,578489312,1560281088,577967072,1560281088,577967072,1560281088,479719408,1560281088
2_2_3_0,1560281088,479719408,1560281088,478670832,1560281088,478670832,1560281088,439168864,1560281088
2_2_3_1,1560281088,439168864,1560281088,438120288,1560281088,438120288,1560281088,388029392,1560281088
2_2_3_2,1560281088,388029392,1560281088,386980816,1560281088,386980816,1560281088,414546480,1560281088
2_2_3_3,1560281088,414546480,1560281088,413497904,1560281088,413497904,1560281088,588822496,1560281088
2_2_3_4,1560281088,588300256,1560281088,587773920,1560281088,587773920,1560281088,425823696,1560281088
2_2_3_5,1560281088,425301456,1560281088,424775120,1560281088,424775120,1560281088,480089912,1560281088
2_2_3_6,1560281088,480089912,1560281088,479041336,1560281088,479041336,1560281088,511758816,1560281088
2_2_3_7,1560281088,511758816,1560281088,510710240,1560281088,510710240,1560281088,596109280,1560281088
2_2_3_8,1560281088,596109280,1560281088,595060704,1560281088,595060704,1560281088,439480112,1560281088
2_2_3_9,1560281088,439480112,1560281088,438431536,1560281088,438431536,1560281088,401178064,1560281088
2_2_5_0,1560281088,401178064,1560281088,399607248,1560281088,399607248,1560281088,510852048,1560281088
2_2_5_1,1560281088,510329808,1560281088,509281232,1560281088,509281232,1560281088,412384208,1560281088
2_2_5_2,1560281088,411861968,1560281088,410813392,1560281088,410813392,1560281088,442545224,1560281088
2_2_5_3,1560281088,442022984,1560281088,440974408,1560281088,440974408,1560281088,517990368,1560281088
2_2_5_4,1560281088,517468128,1560281088,516419552,1560281088,516419552,1560281088,387248512,1560281088
2_2_5_5,1560281088,386726272,1560281088,385677696,1560281088,385677696,1560281088,545310704,1560281088
2_2_5_6,1560281088,544788464,1560281088,543739888,1560281088,543739888,1560281088,427507152,1560281088
