Query,DS,FQA,PT,TT,RT,NR
3_2_1_7,39,10450823,169457,465482,7979910255,62
3_2_1_8,39,10549502,152556,429936,7859258869,0
3_2_1_9,35,12026673,147837,377738,8232360712,366
3_2_3_0,59,11319732,224241,732453,8154624266,0
3_2_3_1,55,12492022,173285,565610,8413373168,0
3_2_3_2,61,12083133,163516,739175,8336411905,0
3_2_3_3,57,10902190,240461,801653,8095265886,183
3_2_3_4,55,11022039,180799,580990,7945135465,6
3_2_3_5,57,10698915,172704,608180,8128699482,0
3_2_3_6,59,10562769,183615,617828,8153579736,0
3_2_3_7,55,10445455,221956,691337,7861079706,0
3_2_3_8,57,13283335,177393,616586,8466790307,0
3_2_3_9,59,11802854,183544,607880,8479095921,0
3_2_5_0,79,15398528,310502,857818,9053841363,0
3_2_5_1,85,10445152,280155,941415,7962779616,0
3_2_5_2,83,10684680,281288,945803,8081733214,0
3_2_5_3,79,10445384,251892,869630,8143407944,0
3_2_5_4,79,10695378,233738,852058,8100075368,0
3_2_5_5,85,10648387,263995,937148,7971795574,0
3_2_5_6,79,11158971,270588,862477,8197384163,0
3_2_5_7,77,10485120,348283,981420,7885951209,0
3_2_5_8,79,10694509,231314,889127,8079754577,0
3_2_5_9,75,10445804,284393,1226029,8095582501,0
3_3_1_0,60,21286370,153418,608531,8957289672,511
3_3_1_1,60,16996550,216335,726893,7649125013,0
3_3_1_2,54,17132663,159149,553147,7568173246,0
3_3_1_3,60,16729308,160631,635321,7897089426,0
3_3_1_4,60,16859049,182332,609333,8024958618,0
3_3_1_5,60,16717768,173426,619582,7497890136,0
3_3_1_6,56,16724079,157205,563217,7509787431,0
3_3_1_7,60,26606886,191439,615494,10332017323,0
3_3_1_8,60,16714694,186169,691557,7670895323,0
3_3_1_9,60,16750128,167084,615424,7453101819,0
3_3_3_0,84,16712192,204243,875541,7128007225,0
3_3_3_1,90,16712306,209944,975218,8197930269,0
3_3_3_2,86,16742871,212449,1048908,8261063368,0
3_3_3_3,90,16713296,230081,944231,8224629215,0
3_3_3_4,88,16714498,295494,1130490,8202616113,0
3_3_3_5,88,17062089,229881,970691,8235729340,0
3_3_3_6,90,17627866,188994,959389,8315867677,0
3_3_3_7,84,17757388,189155,974869,8408646399,836
3_3_3_8,88,17027679,212098,966904,8149005556,0
3_3_3_9,92,17051883,217889,998122,8421821358,0
3_3_5_0,124,16805370,323928,1421967,8265563633,0
3_3_5_1,122,16735252,323958,1385699,8213707911,0
3_3_5_2,124,16950456,308279,1414122,7925871407,0
3_3_5_3,122,17633893,331722,1380980,8335067385,0
3_3_5_4,118,17289448,357210,1563703,8263076466,0
3_3_5_5,124,18054907,256992,1364980,8806080720,0
3_3_5_6,126,16712300,404348,1656577,8325698774,0
3_3_5_7,128,17084063,306235,1541371,8618515834,0
3_3_5_8,120,19364009,252213,1335715,9033377116,0
3_3_5_9,120,16900790,290625,1320026,8374076279,0
