Query,DS,FQA,PT,TT,RT,NR
0,51,521584,50109800,415500,7563296800,0
1,37,154390,50482600,374500,7459817000,0
2,64,322117,48845800,827700,7493018600,0
3,33,116043,51834400,534500,6886979500,0
4,57,1880925,49232000,1016500,8089450900,371
5,38,769233,48747500,362200,7875995300,0
6,52,1220910,49897100,425600,7841275500,0
7,37,1216433,50261700,346000,8354923200,1681
8,42,458965,44150700,403100,7597577900,0
9,72,384182,50539200,553600,7152486800,0
10,55,728017,47088400,575800,7850956400,0
11,34,2944280,49886000,458700,8452180200,0
12,32,1245040,39754000,349400,7576370800,0
13,32,1030795,49323100,371300,7639578000,0
14,51,1786317,47931300,654500,7611351700,0
15,35,1340130,47899400,411900,7513519700,0
16,37,6100360,48364300,681500,8537068800,49275
17,103,1377594,33231400,913100,7892933400,0
18,38,483315,44752900,528300,7315832600,0
19,59,2019747,51056400,505400,8069629000,0
20,40,1138109,49034800,709200,8056681900,0
21,45,204335,49446500,424200,7013217100,0
22,39,93029,48755600,371500,7571826800,0
23,57,11928633,47624500,524400,11048392400,12035
24,45,513990,27868400,329700,7138517100,0
25,52,142255,46964100,502600,6930326700,0
26,57,1441015,49276000,556900,7956521700,215
27,40,480703,27962400,348100,7253926000,0
28,37,140966,48319000,664200,7426784900,0
29,30,5645185,46472300,580300,8574711100,6252
30,27,90752,43430800,292400,6961166200,0
31,41,1577363,49883900,817300,8244974200,0
32,28,2273390,48661400,333100,7919646400,33427
33,53,56647,49884100,504200,6970856500,0
34,27,139435,48502000,254900,7486796000,0
35,41,260026,47418600,457400,7422339600,6921
36,49,863366,49347200,823200,7510330200,0
37,45,1190036,48734800,462600,7968371000,118
38,22,742620,46309400,341500,7850539600,1
39,32,773176,46649100,455900,7540911100,0
40,72,2207605,46974500,587900,8224166600,0
41,74,8158529,34619800,683000,8843114000,0
42,29,1114492,29225200,342500,7834392500,0
43,45,663194,50165600,834900,7824271700,0
44,49,153872,47408800,380100,7469465300,0
45,52,116109,50381300,409400,7206161200,0
46,46,141257,49226900,376100,7285587000,0
47,34,956620,49722800,663500,7669116200,0
48,66,441091,49545200,835600,7198814000,0
49,50,2987651,48751600,422300,8618412000,47845
