Query,NR,PM,TM
2_1_1_0,0,3544224,393386800
2_1_1_1,0,0,-31857720
2_1_1_2,0,0,43644712
2_1_1_3,0,0,-30258056
2_1_1_4,0,0,38752552
2_1_1_5,1680352,0,-40368976
2_1_1_6,0,0,38689232
2_1_1_7,0,0,-38689192
2_1_1_8,0,0,38689536
2_1_1_9,0,1680456,-40371176
2_1_3_0,0,0,38700336
2_1_3_1,0,1680432,-40375824
2_1_3_2,0,0,38691424
2_1_3_3,0,0,-40373456
2_1_3_4,0,0,38692568
2_1_3_5,0,0,-40369968
2_1_3_6,0,0,40368992
2_1_3_7,0,0,-40372072
2_1_3_8,0,0,38690872
2_1_3_9,0,0,-40369280
2_1_5_0,0,0,40376656
2_1_5_1,0,0,-40370848
2_1_5_2,0,1677648,37018304
2_1_5_3,0,0,-40374656
2_1_5_4,0,1678040,37009824
2_1_5_5,0,0,-40370256
2_1_5_6,0,1677688,38696696
2_1_5_7,0,0,-40373168
2_1_5_8,0,1677640,37012576
2_1_5_9,0,0,-40374112
2_2_1_0,0,1677688,38699736
2_2_1_1,0,0,-40372416
2_2_1_2,0,1677680,37008096
2_2_1_3,0,0,-40365840
2_2_1_4,0,1677640,37014064
2_2_1_5,0,0,-40372288
2_2_1_6,0,1677688,37016872
2_2_1_7,0,0,-40378280
2_2_1_8,1677832,0,38698448
2_2_1_9,0,0,-40372560
2_2_3_0,0,1677904,38706432
2_2_3_1,0,0,-40376680
2_2_3_2,0,0,38691248
2_2_3_3,0,0,-40368520
2_2_3_4,0,0,38693568
2_2_3_5,0,0,-40373416
2_2_3_6,1677600,0,38712616
2_2_3_7,0,0,-40389928
2_2_3_8,0,0,38693312
2_2_3_9,0,0,-40372064
2_2_5_0,0,0,38715344
2_2_5_1,0,0,-38701000
2_2_5_2,0,0,38697896
2_2_5_3,0,0,-38695960
2_2_5_4,0,0,38698384
2_2_5_5,0,0,-38700816
2_2_5_6,0,0,38699808
2_2_5_7,0,0,-38699920
2_2_5_8,0,0,38698440
2_2_5_9,0,0,-38699288
2_3_1_0,0,0,38686440
2_3_1_1,0,0,-40374808
2_3_1_2,0,0,38692512
2_3_1_3,0,0,-40370600
2_3_1_4,0,0,38693616
2_3_1_5,0,0,-40371440
2_3_1_6,0,0,38692600
2_3_1_7,0,0,-40373552
2_3_1_8,1677640,0,38695240
2_3_1_9,0,0,-40368336
2_3_3_0,0,0,38713008
2_3_3_1,0,0,-38701832
2_3_3_2,0,0,38699136
2_3_3_3,0,0,-38703264
2_3_3_4,0,0,38703232
2_3_3_5,0,0,-38696328
2_3_3_6,0,0,38695720
2_3_3_7,0,0,-38696904
2_3_3_8,0,0,38695552
2_3_3_9,0,0,-38695600
2_3_5_0,0,0,38717096
2_3_5_1,0,1680416,-40378048
2_3_5_2,0,1677264,53459696
