Query,DS,FQA,PT,TT,RT,NR
0,76,6185684,31512700,588100,6038977500,0
1,61,3785370,32442600,583200,5327596300,0
2,97,6874584,38173000,1330100,5710821500,0
3,54,4314204,34183000,478900,4865559300,0
4,86,8589044,34240300,683600,5900759800,203
5,61,5614781,30132300,398900,5125632200,0
6,76,7657698,35236800,836500,5723898800,0
7,58,3177045,35166000,532200,5295738800,1058
8,65,5473333,37612700,887400,5662278800,0
9,102,6515032,35246600,1157900,5197760400,0
10,87,7761400,38566400,1016700,5731846100,0
11,57,7158850,33549900,568700,5558308400,0
12,52,5658302,33204700,468100,5644640600,0
13,54,4236761,30462700,490900,5276628300,0
14,77,8410936,29044600,517400,5308210400,0
15,57,6561608,34956500,364300,4976037900,0
16,58,18419244,34682600,531400,7626635600,35192
17,135,7540360,22342600,841300,5415308700,0
18,64,5229548,35327600,380200,5530597300,0
19,94,9015309,34338100,1248600,5456090800,0
20,63,5585890,33478000,1096300,5602382400,0
21,66,4258855,34819000,896300,5110917000,0
22,60,4257552,31499300,668000,5525193200,0
23,85,21296370,36648500,1223200,8701714800,8628
24,66,4428562,24706500,478700,5303490800,0
25,75,5046566,24545400,503300,5122646100,0
26,89,8359920,32568900,883000,5809421100,157
27,66,5766270,35341700,861500,5340008400,0
28,61,3787554,34301300,442100,5543489700,0
29,49,13207626,35225900,798200,6744376500,4676
30,47,2523644,20862400,340900,5137081200,0
31,69,6610625,32817300,462600,6307259400,0
32,47,5383053,25991300,526100,5808360000,23835
33,84,5896600,36813600,800900,5041147300,0
34,47,2961876,35802500,484000,5380210700,0
35,62,4659779,35606700,443200,5287972700,5326
36,78,7500020,33259600,848000,5651398300,0
37,71,8023287,20404800,439400,5201722800,64
38,38,3616198,32531700,593700,5466909800,0
39,52,5167638,35351100,461600,4821174700,0
40,106,8679793,33997800,1457900,5763970100,0
41,112,20036934,35052100,807800,6996979100,0
42,47,4493052,20884500,332800,5374247700,0
43,70,4235736,34088200,546700,5210584600,0
44,80,6101740,32201700,1079500,5743970500,0
45,75,5046608,33802000,648400,4901571300,0
46,72,5581100,34478100,607700,5586345200,0
47,53,3766793,33831000,523900,5158662700,0
48,96,6647186,34579800,683500,5646098000,0
49,77,8221970,31709200,659900,5527147300,35683
