Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1473,38598500,133400,40176271100,0
2_1_1_1,7,126354,51017700,132100,39959499500,0
2_1_1_2,7,3008,50369800,145200,41078422300,0
2_1_1_3,7,1702,51448400,130700,41683090100,0
2_1_1_4,7,169,50980400,109600,41087750300,0
2_1_1_5,7,1658,52120000,123600,41400647000,0
2_1_1_6,3,189278,50710500,84100,41225679300,0
2_1_1_7,7,58162,50759100,120100,41472257700,0
2_1_1_8,7,45693,51054500,131200,41019378400,0
2_1_1_9,5,151056,51673700,112600,41081990700,1779
2_1_3_0,15,4892,65252400,179600,40349693600,0
2_1_3_1,13,291679,51614000,236900,41161712700,0
2_1_3_2,13,20615,50864500,142500,40738105900,0
2_1_3_3,11,20443,50749500,191900,40573958200,0
2_1_3_4,13,616430,50958900,202200,41072896600,0
2_1_3_5,15,190743,52160100,178200,40700490100,0
2_1_3_6,15,615765,51642400,186400,41186199300,0
2_1_3_7,11,48850,63795800,169100,40676425900,0
2_1_3_8,11,26814,51677600,161900,40596583600,0
2_1_3_9,13,300040,50626300,177100,40880533100,0
2_1_5_0,21,125232,50883600,234600,40557815400,0
2_1_5_1,21,1040935,51492500,251900,41227848500,0
2_1_5_2,23,335704,51094700,233600,40493776000,0
2_1_5_3,23,236297,51222600,197400,40877117800,0
2_1_5_4,19,27303,49808300,202900,40447646300,0
2_1_5_5,21,22943,50849700,187500,40968669000,0
2_1_5_6,23,68310,50962400,281500,39754467000,0
2_1_5_7,23,25549,51101100,230100,39664631200,0
2_1_5_8,21,60517,51625300,223600,40837118700,0
2_1_5_9,19,707846,51613700,193900,40708142300,0
2_2_1_0,17,156781,53181700,208200,40749431400,0
2_2_1_1,17,911,52488600,148100,41317521200,0
2_2_1_2,9,43718,50615100,133800,41013767600,21859
2_2_1_3,17,5548,52689300,203800,40493718400,0
2_2_1_4,17,4025,51113500,170900,40540103000,0
2_2_1_5,17,663286,51012700,179500,41095242200,0
2_2_1_6,17,122490,50794000,176300,40744813900,0
2_2_1_7,17,2140,50642800,264700,40619838700,0
2_2_1_8,17,54721,51706900,179400,40907808000,0
2_2_1_9,17,47503,51044000,162800,40561871100,0
2_2_3_0,29,95703,51495300,251900,40572082200,0
2_2_3_1,27,162440,50840900,228100,40626024200,0
2_2_3_2,27,765407,51713400,225900,41160523100,0
2_2_3_3,31,263990,51356700,259300,41154311500,0
2_2_3_4,31,130975,50831800,239300,40760408000,0
2_2_3_5,25,92879,50760300,210400,41169355900,0
2_2_3_6,29,813130,52201800,265400,40719680200,0
2_2_3_7,27,134430,50727800,231500,40635110900,0
2_2_3_8,27,53953,52217500,239500,40784319500,0
2_2_3_9,27,178747,50788500,249900,40765347700,0
2_2_5_0,49,176867,55698100,647100,41120671900,0
2_2_5_1,45,988197,52122300,393000,40967183900,0
2_2_5_2,45,875480,51045000,340700,41126371700,0
2_2_5_3,47,32203,51983300,378700,40744740000,0
2_2_5_4,45,802491,51372900,419900,41120562800,0
2_2_5_5,45,670741,51292400,392000,40762661900,0
2_2_5_6,47,142828,50866100,411200,41115133400,0
2_2_5_7,43,525947,51429100,345800,41236345200,0
2_2_5_8,45,626474,51628300,367400,41184337900,0
2_2_5_9,43,62742,51135400,418900,41228558600,0
2_3_1_0,27,185222,52245500,221100,41221931600,0
2_3_1_1,27,4267,50733300,201600,41422615600,0
2_3_1_2,27,121294,52211900,228400,40693688600,0
2_3_1_3,27,129246,61685600,258200,40067740100,0
2_3_1_4,27,61007,53651400,303700,39648774300,0
2_3_1_5,27,88123,51150600,209300,39832506700,0
2_3_1_6,27,9169,50869000,226400,40663215500,0
