Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,22,3715408,7587700,326200,6384511900,0
2_1_1_1,22,3744114,26704100,297800,6077193300,2494
2_1_1_2,22,3717682,26596900,283100,6420889700,194
2_1_1_3,22,3715600,32663700,303600,6341697900,118
2_1_1_4,22,3711566,26500200,263900,6038542100,0
2_1_1_5,22,3714639,30196100,299400,6231001600,3
2_1_1_6,18,4038858,31150900,272300,6293994600,0
2_1_1_7,22,3752082,31808200,260500,6353691100,947
2_1_1_8,22,3757676,26524900,265200,6333264700,190
2_1_1_9,20,4046602,28838300,359100,6540803800,6472
2_1_3_0,30,3716406,25912300,344400,6471949000,0
2_1_3_1,28,3827874,29420400,352300,6543736500,0
2_1_3_2,28,3712844,26569000,327600,6230860200,0
2_1_3_3,26,3711724,27114200,284800,6580174000,0
2_1_3_4,28,5497412,27400100,346900,7395667700,152
2_1_3_5,30,3789538,26533200,310600,6463469000,0
2_1_3_6,30,4327762,26272400,315300,6677800500,0
2_1_3_7,26,3714522,26769600,329900,6145742700,0
2_1_3_8,26,3711684,26319600,279900,6390350000,7
2_1_3_9,28,3883308,25990900,300200,6765040700,0
2_1_5_0,36,3711748,28141800,330300,6518172100,0
2_1_5_1,36,4123546,27274300,373500,6429165500,1528
2_1_5_2,38,3711554,27359900,378700,6117220300,0
2_1_5_3,38,3830996,26393600,371600,6438055700,0
2_1_5_4,34,3736254,25171200,335700,6641526900,0
2_1_5_5,36,3711566,26819800,338800,6478566500,0
2_1_5_6,38,3756366,26510600,361600,6620019000,0
2_1_5_7,38,3712318,26856700,353200,6525679500,0
2_1_5_8,36,3712448,28595900,637700,6160183500,0
2_1_5_9,34,3764692,27001800,345800,6490308500,21
2_2_1_0,41,7989618,26447400,657400,6741074200,18
2_2_1_1,41,7955510,26953800,762100,6420949600,63
2_2_1_2,33,8140602,26932800,317700,6507785100,20558
2_2_1_3,41,7967438,29970200,468900,6585240300,2749
2_2_1_4,41,7963330,26458400,544500,6557893900,706
2_2_1_5,41,10933403,26754000,438000,7497258400,425035
2_2_1_6,41,7956856,26750200,387500,6570155400,0
2_2_1_7,41,7959015,26667000,380900,6458627100,0
2_2_1_8,41,7962086,26611400,372300,6491976800,319
2_2_1_9,41,7953575,30034700,425400,6579186500,0
2_2_3_0,53,7960677,26864300,488200,6783922000,7
2_2_3_1,51,8045138,27028000,476600,6615911200,0
2_2_3_2,51,8810780,26931400,458300,7081130200,556
2_2_3_3,55,8006088,27150900,469800,6542143900,110
2_2_3_4,55,8068955,27025000,474200,6569794400,656
2_2_3_5,49,8114087,28952400,431200,6808232100,0
2_2_3_6,73,15377588,26747900,516400,7154804200,537550
2_2_3_7,51,7953330,26616000,534700,6028557400,0
2_2_3_8,51,8035255,27518500,443200,6506043400,46
2_2_3_9,51,7993676,26554000,440100,6319158000,0
2_2_5_0,73,8230089,26851900,605400,6564259600,360
2_2_5_1,69,8615703,26627300,642500,6750540100,0
2_2_5_2,69,7955258,27039600,695600,6620314700,0
2_2_5_3,71,7964251,26567500,596200,6524874900,1
2_2_5_4,69,7958834,25383000,650700,6639588900,0
2_2_5_5,69,7964304,34523600,603500,6672979800,0
2_2_5_6,71,7953346,28950400,670800,6499442000,0
2_2_5_7,67,8213624,26537400,556100,6437627900,110
2_2_5_8,69,8274548,28398700,555900,6774109400,0
2_2_5_9,67,8095650,26965100,516900,6715299200,0
2_3_1_0,55,10911130,26654300,563400,6707000900,8648
2_3_1_1,55,10607443,28500400,426700,6413882700,22
2_3_1_2,55,10610330,30309000,691500,6173682200,0
2_3_1_3,55,10765755,26753700,501400,6650767500,479
2_3_1_4,55,10645495,26728700,431600,6580706300,112
2_3_1_5,55,10812532,28392800,407000,6230128300,0
2_3_1_6,55,10649343,28489100,423900,6564392900,0
2_3_1_7,49,10613228,26553500,400300,6531636800,2191
2_3_1_8,49,10620782,26333600,392800,6648920400,425
2_3_1_9,55,10604440,26511600,440200,6147457500,0
2_3_3_0,77,10747704,27825300,587800,6718583500,343
2_3_3_1,71,10674116,26757800,523000,6845645100,233
2_3_3_2,73,10628655,31337100,591500,6656170200,2
2_3_3_3,67,10814043,27678400,516700,6821944800,1312
2_3_3_4,73,11780030,26911800,708300,7058214600,48
2_3_3_5,75,10616491,26764000,663400,6687732600,18
2_3_3_6,77,11422588,26565700,712800,7353100800,8649
2_3_3_7,73,10604472,25205300,508200,6561852000,0
2_3_3_8,71,10604478,26381200,526700,6350810900,0
2_3_3_9,73,12286707,26765700,513100,7216438200,0
2_3_5_0,99,10629926,26870100,798200,6691383800,0
2_3_5_1,101,10847928,26630700,731200,6458335800,0
2_3_5_2,99,10621730,28184900,710400,6710346700,0
2_3_5_3,91,10881265,26746500,729900,7047971300,30
2_3_5_4,95,10737916,26538700,768600,6596504200,1
2_3_5_5,97,10634394,26482200,799400,6558933600,0
2_3_5_6,99,10604464,28047300,732600,6385408700,0
2_3_5_7,99,10604518,26900800,715900,6579813100,0
2_3_5_8,93,10608504,26880800,637500,6581649200,0
2_3_5_9,99,10611000,27189000,706300,6652898600,0
3_1_1_0,30,4345726,26269400,449400,6491972600,476
3_1_1_1,28,4262968,26747700,245500,6190410500,0
3_1_1_2,30,4244146,28213300,265600,6409458800,0
3_1_1_3,30,4922120,26949300,306300,6440872600,0
3_1_1_4,30,5729858,27027600,281200,6723295800,825
3_1_1_5,28,4288466,28474500,535700,6533957600,0
3_1_1_6,26,5185167,26433300,297900,7277208400,2022371
3_1_1_7,28,4300873,25398200,253300,6763940200,0
3_1_1_8,26,4243994,26694500,243300,6416843400,0
3_1_1_9,30,6425214,28163200,269200,7045990100,0
3_1_3_0,40,5907907,25999200,354900,6636483500,0
3_1_3_1,38,4426816,28590800,384500,6652673100,0
3_1_3_2,40,4392440,26664400,326600,6568301800,0
3_1_3_3,42,4248364,28306000,388900,6555607200,0
3_1_3_4,42,4243693,26915600,397600,6541416900,0
3_1_3_5,42,4296242,25686000,335600,6491527900,0
3_1_3_6,38,4243718,26359700,339800,6530884400,0
3_1_3_7,36,4296516,28479800,301800,6498287700,1
3_1_3_8,40,4278458,26933200,307700,6544783300,0
3_1_3_9,40,4277206,26888900,337800,6497283800,1
3_1_5_0,54,4395526,25979800,390900,6636627100,0
3_1_5_1,52,4394610,27276200,400100,6690928000,0
3_1_5_2,50,4354280,26869600,450500,6821295500,0
3_1_5_3,48,4274834,26890300,410000,6472019400,0
3_1_5_4,52,4551248,26355000,461100,6804919300,0
3_1_5_5,52,4246110,25778400,384600,6611271900,0
3_1_5_6,52,4241812,26449700,461100,6225004400,0
3_1_5_7,50,4318844,26741000,388700,6543014100,0
3_1_5_8,52,4274712,26232600,494000,6797933600,0
3_1_5_9,52,4241818,25895900,408500,6638116800,0
3_2_1_0,56,9543996,26244200,379400,6203107000,0
3_2_1_1,56,12583611,26338200,393000,7410162400,11820
3_2_1_2,56,9845986,26714600,393100,6636751300,2
3_2_1_3,56,9572396,28789100,778700,6889381800,45
3_2_1_4,50,9639080,27292800,704600,7063524900,448
3_2_1_5,56,9880752,26753900,391500,6774455600,12781
3_2_1_6,56,11218227,27458500,363000,7103985500,52
3_2_1_7,56,9554826,29134400,441300,6610552400,96
3_2_1_8,56,9596126,26911500,373600,6827010100,0
3_2_1_9,52,11928978,28723200,349200,7125845200,557
3_2_3_0,76,9987230,25587400,493300,7154431600,0
3_2_3_1,72,10566960,34351300,506800,6910556800,0
3_2_3_2,78,10366142,27230800,513300,6813049900,0
3_2_3_3,74,9776987,26309400,479400,6614604200,84
3_2_3_4,72,9845009,28175200,477100,7074385200,50
3_2_3_5,74,9672120,27012100,479100,6817145100,15
3_2_3_6,76,9619547,26325800,508000,6858573600,0
3_2_3_7,72,9544470,26644000,465400,6719798700,0
3_2_3_8,74,10962074,26317000,505900,6883232700,0
3_2_3_9,76,10254840,25143600,559600,7430134400,0
3_2_5_0,96,12039628,26440500,630800,7215516600,0
3_2_5_1,102,9544038,31818700,813000,6428679800,0
3_2_5_2,100,9663472,26871400,660900,6683397000,0
3_2_5_3,96,9544326,26855100,658500,6838502200,0
3_2_5_4,96,9676207,26359800,630400,6808679100,0
3_2_5_5,102,9652635,26906900,688200,6535579400,0
3_2_5_6,96,9899868,35116400,637300,6541991600,0
3_2_5_7,94,9564842,26541100,604700,6391001700,0
3_2_5_8,96,9677772,26834200,628100,6678062800,0
3_2_5_9,92,9544562,26570300,601000,6677690700,0
3_3_1_0,77,15564051,29016100,505600,7254470400,19473
3_3_1_1,77,13398488,26598400,465500,6378165500,0
3_3_1_2,91,20891115,26572000,484800,6957955100,0
3_3_1_3,77,13275271,26495800,524300,6224079400,0
3_3_1_4,77,13337000,26478400,459700,6559960000,0
3_3_1_5,77,12730389,26530400,471200,6289593800,0
3_3_1_6,73,13267227,26390200,437800,6203158200,878
3_3_1_7,77,18242707,26189400,480900,8054889300,1
3_3_1_8,77,13258709,26453400,451100,6773604700,6
3_3_1_9,77,13297346,26451300,469400,6514188300,28
3_3_3_0,101,13255674,26574300,627000,6660259900,0
3_3_3_1,107,13255602,26272100,669600,6649132200,0
3_3_3_2,103,13286678,26588400,675100,6779495500,0
3_3_3_3,107,13256394,26355500,721300,6766916700,0
3_3_3_4,105,13257828,26710900,679300,6645390100,0
3_3_3_5,105,13440832,26416800,630800,6743711800,0
3_3_3_6,107,13838859,26313200,683300,6858984800,8
3_3_3_7,101,13817512,26662700,567500,7523271400,1745
3_3_3_8,105,13416436,27237900,929600,6621948500,0
3_3_3_9,109,13425692,26760300,711100,6653686600,0
3_3_5_0,141,13305060,26499200,876900,6650463100,0
3_3_5_1,139,13278292,26556900,860900,6608770400,0
3_3_5_2,141,13376840,26478200,895400,6630913600,0
3_3_5_3,139,13717678,26359700,877000,6758829200,0
3_3_5_4,135,13547839,26745100,849200,6846471600,0
3_3_5_5,141,13930708,26398400,900800,7046341300,0
3_3_5_6,143,13255606,26781400,958800,6350202400,0
3_3_5_7,145,13469203,25300200,928000,6970334400,0
3_3_5_8,137,14603001,26576500,866100,7367510600,0
3_3_5_9,137,13353992,26934000,847900,6866472800,0
