Query,DS,FQA,PT,TT,RT,NR
0,51,142550,1824000,677200,2050829800,0
1,37,42577,3293100,832800,1731356500,0
2,64,89698,2952400,4226600,1957109800,0
3,33,33423,3464300,777600,1655031600,0
4,57,521470,3547800,4819400,2073564000,114
5,38,217309,2319400,1231200,1835827300,0
6,52,337714,8485000,2037000,1982762600,0
7,37,334502,5772100,1227200,1897588800,425
8,42,130460,1885600,807800,1897523600,0
9,72,106429,3415600,1106300,1683386200,0
10,55,203514,5903600,1012800,1990420800,0
11,34,812312,2366300,877500,2023093200,0
12,32,348962,12384000,2315500,1960436000,0
13,32,279918,2870500,617200,1723625800,0
14,51,503406,3160700,2498200,2063732200,0
15,35,374226,1927000,708600,1734243100,0
16,37,1676621,1898000,718500,1963559000,13404
17,103,378759,2493200,3352400,1982136200,0
18,38,132289,8872900,2845800,1644053400,0
19,59,566488,2745500,629800,2073604700,0
20,40,313822,4616600,507800,1844333700,0
21,45,60089,5775500,374900,1594013800,0
22,39,32241,2233100,520000,1885426900,0
23,57,3256656,2894400,530800,2649764000,3167
24,45,140215,1856700,432400,1689121800,0
25,52,42240,3947500,453000,1870622000,0
26,57,400451,1901300,662500,1845776300,49
27,40,131567,2562400,391400,1693239400,0
28,37,39787,5510200,318100,1845876400,0
29,30,1552260,1850000,355100,1986209300,1783
30,27,24791,2996800,233700,1593231600,0
31,41,434260,8462500,682800,2135654100,0
32,28,621647,3580600,344200,1854704300,8578
33,53,19216,3094400,475400,1614441500,0
34,27,40073,1844200,340600,1848050400,0
35,41,69157,2858400,427000,1719466600,2071
36,49,239389,2952800,551400,1795002700,0
37,45,337363,2866000,1297100,1999868500,146
38,22,205564,1449600,258600,1776352600,1
39,32,215874,6978700,251200,1681867700,0
40,72,612096,3681000,831900,2051301700,0
41,74,2255657,2588100,713800,2171435300,0
42,29,308499,2509800,389400,1760581800,0
43,45,192452,1958000,364500,1827438400,0
44,49,45932,1881900,435300,1911751200,0
45,52,35706,1845100,424000,1604032000,0
46,46,40163,1872600,556000,1689130400,0
47,34,261153,5271900,537200,1935088700,0
48,66,120271,1843900,563800,1622592900,0
49,50,830294,1444100,547100,2017500300,13295
