Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1473,34796900,128100,39004983200,0
2_1_1_1,7,126354,46284900,143400,41115761200,0
2_1_1_2,7,3008,54524500,160500,40559446700,0
2_1_1_3,7,1702,46277400,94800,39811479100,0
2_1_1_4,7,169,46229700,98300,41713906700,0
2_1_1_5,7,1658,46938800,132900,40713467900,0
2_1_1_6,3,189278,45894100,62000,41359109100,0
2_1_1_7,7,58162,47681000,111800,41597430500,0
2_1_1_8,7,45693,46696500,103000,40588266700,0
2_1_1_9,5,151056,46125600,104000,40953135100,1779
2_1_3_0,15,4892,48247500,181800,41189200600,0
2_1_3_1,13,291679,46369200,120200,40726171500,0
2_1_3_2,13,20615,46691100,138400,39745880900,0
2_1_3_3,11,20443,46470200,138600,40779101900,0
2_1_3_4,13,616430,46630200,139300,41753650100,0
2_1_3_5,15,190743,46375600,172300,40997040100,0
2_1_3_6,15,615765,46836700,155500,40882034700,0
2_1_3_7,11,48850,46432200,121400,39807468900,0
2_1_3_8,11,26814,47556400,144400,40858717300,0
2_1_3_9,13,300040,46402000,142500,41120214700,0
2_1_5_0,21,125232,201060700,238400,40890053900,0
2_1_5_1,21,1040935,49608300,192000,39857747200,0
2_1_5_2,23,335704,47621900,205400,40958430700,0
2_1_5_3,23,236297,48286800,208800,41227175400,0
2_1_5_4,19,27303,46387100,180400,40881528300,0
2_1_5_5,21,22943,46149700,254300,39754027000,0
2_1_5_6,23,68310,48988700,221200,41124279700,0
2_1_5_7,23,25549,46225200,200500,41236627100,0
2_1_5_8,21,60517,48178800,188100,39896998200,0
2_1_5_9,19,707846,46729200,197200,41369581900,0
2_2_1_0,17,156781,47060600,141800,41477290600,0
2_2_1_1,17,911,51571200,188800,40761670700,0
2_2_1_2,9,43718,47735300,119800,39640210500,21859
2_2_1_3,17,5548,48375500,159600,40951637200,0
2_2_1_4,17,4025,47680800,172500,41394911200,0
2_2_1_5,17,663286,46668800,176300,39918901700,0
2_2_1_6,17,122490,46282800,154900,40846800900,0
2_2_1_7,17,2140,45944300,196900,41392839200,0
2_2_1_8,17,54721,46160800,148500,40962921900,0
2_2_1_9,17,47503,46946700,157600,39658771600,0
2_2_3_0,29,95703,50493000,237500,40797820500,0
2_2_3_1,27,162440,46172300,226300,40784043500,0
2_2_3_2,27,765407,46302000,252400,40057741400,0
2_2_3_3,31,263990,46722100,236500,40878307300,0
2_2_3_4,31,130975,55115300,303000,40987334200,0
2_2_3_5,25,92879,47851300,199000,41739619800,0
2_2_3_6,29,813130,59054200,311000,41085343700,0
2_2_3_7,27,134430,46141500,211800,39562824900,0
2_2_3_8,27,53953,46443000,200400,40997985800,0
2_2_3_9,27,178747,46425000,210300,41525049000,0
2_2_5_0,49,176867,46478300,388100,40929253100,0
2_2_5_1,45,988197,46896500,371700,40129806800,0
2_2_5_2,45,875480,60587500,363800,41248032800,0
2_2_5_3,47,32203,46134400,364500,41482331900,0
2_2_5_4,45,802491,46492700,454000,41662132900,0
2_2_5_5,45,670741,48207500,365700,40769405600,0
2_2_5_6,47,142828,46470200,376000,39783811800,0
2_2_5_7,43,525947,48078600,332500,41538745600,0
2_2_5_8,45,626474,46361900,349900,41492215400,0
2_2_5_9,43,62742,47855500,333100,41557068400,0
2_3_1_0,27,185222,49256500,222000,40789218300,0
2_3_1_1,27,4267,46261500,216800,39719544200,0
2_3_1_2,27,121294,46397800,197600,39593590600,0
2_3_1_3,27,129246,45939000,205300,40965157400,0
2_3_1_4,27,61007,47692600,223200,41504455500,0
2_3_1_5,27,88123,46214100,226200,40746658900,0
2_3_1_6,27,9169,47421800,207100,39962234200,0
2_3_1_7,21,5766,46402200,168800,41122266900,0
2_3_1_8,21,128751,47033600,222400,40963538800,342
