Query,NR,PM,TM
2_1_1_0,0,0,-176539728
2_1_1_1,0,0,108920296
2_1_1_2,0,0,-42123784
2_1_1_3,0,0,-142984592
2_1_1_4,0,0,90429912
2_1_1_5,0,0,-90856320
2_1_1_6,0,0,108598912
2_1_1_7,0,0,12161176
2_1_1_8,0,0,-58747896
2_1_1_9,0,0,-42449704
2_1_3_0,0,0,117363792
2_1_3_1,0,0,-1789216
2_1_3_2,0,0,-75834440
2_1_3_3,0,0,-68088520
2_1_3_4,0,0,109826656
2_1_3_5,0,0,16088952
2_1_3_6,0,0,-21088544
2_1_3_7,0,0,-40157072
2_1_3_8,0,0,30217624
2_1_3_9,0,0,-45467480
2_1_5_0,0,0,-43470064
2_1_5_1,0,0,158529552
2_1_5_2,0,3539344,-49130608
2_1_5_3,0,0,-84106472
2_1_5_4,0,0,-23949792
2_1_5_5,0,0,142775424
2_1_5_6,0,0,-121872856
2_1_5_7,0,0,-15279240
2_1_5_8,0,0,147785904
2_1_5_9,0,0,-72982632
2_2_1_0,0,0,-32905416
2_2_1_1,0,0,-1344672
2_2_1_2,0,0,-62285584
2_2_1_3,0,0,113019280
2_2_1_4,0,0,-49600720
2_2_1_5,0,0,-29782640
2_2_1_6,0,0,123016104
2_2_1_7,0,0,-127921912
2_2_1_8,0,0,118139704
2_2_1_9,0,0,-13995936
2_2_3_0,0,0,-30665720
2_2_3_1,0,0,30678184
2_2_3_2,0,0,-22834528
2_2_3_3,0,0,44131856
2_2_3_4,0,0,-37628016
2_2_3_5,0,0,48263104
2_2_3_6,0,0,-41278920
2_2_3_7,0,0,-9957128
2_2_3_8,0,0,-42452016
2_2_3_9,0,0,-30402304
2_2_5_0,0,0,131187752
2_2_5_1,0,0,-49541456
2_2_5_2,0,0,-44766216
2_2_5_3,0,3606952,37555576
2_2_5_4,0,0,-19824432
2_2_5_5,0,0,30421728
2_2_5_6,0,0,-16377768
2_2_5_7,0,0,-111186648
2_2_5_8,0,0,125374240
2_2_5_9,0,0,-36807880
2_3_1_0,0,3544040,-38054512
2_3_1_1,0,0,-4501616
2_3_1_2,0,0,-49505048
2_3_1_3,0,0,44766728
2_3_1_4,0,3544064,121162400
2_3_1_5,0,0,-142482672
2_3_1_6,0,0,51090616
2_3_1_7,0,0,93505856
