Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1514,26547000,125000,9821210600,0
2_1_1_1,7,94846,38808401,116900,8036296900,0
2_1_1_2,7,2922,50326700,149600,17389735901,0
2_1_1_3,7,1628,39344501,113899,9545884900,0
2_1_1_4,7,185,39149201,143399,10825580000,0
2_1_1_5,7,1705,36232100,135401,8288959600,0
2_1_1_6,3,141436,38562100,86100,10671256700,0
2_1_1_7,7,45124,38707801,139401,8592298999,0
2_1_1_8,7,34218,39064700,123499,11842326399,0
2_1_1_9,5,113777,39212001,110500,10736804701,1350
2_1_3_0,15,4708,39462800,152401,16472026899,0
2_1_3_1,13,219476,37680501,156601,8472805100,0
2_1_3_2,13,15601,38923800,156500,10108512301,0
2_1_3_3,11,15435,38517400,141500,8202866299,0
2_1_3_4,13,461389,39259300,137600,8336933501,0
2_1_3_5,15,142977,39606600,165800,12438743700,0
2_1_3_6,15,460870,38523600,160400,15738334300,0
2_1_3_7,11,36853,38890700,163500,11053716200,0
2_1_3_8,11,20454,39116201,150000,8138932000,0
2_1_3_9,13,225768,38826100,172800,8279662899,0
2_1_5_0,21,95124,39147301,228000,10910780400,0
2_1_5_1,21,780109,39366001,202500,8376741601,0
2_1_5_2,23,251629,51597900,243899,15179014999,0
2_1_5_3,23,178446,39079101,201900,17495103700,0
2_1_5_4,19,21796,39601000,207200,12812383301,0
2_1_5_5,21,17981,39118100,220600,16163617700,0
2_1_5_6,23,52161,38836601,241100,8514999901,0
2_1_5_7,23,19956,38229100,226301,12867313700,0
2_1_5_8,21,47455,39064200,193800,11876603100,0
2_1_5_9,19,529626,38935001,286000,16558898400,0
2_2_1_0,17,117940,38986800,167800,8600208501,0
2_2_1_1,17,928,38863500,193301,13870035300,0
2_2_1_2,9,33022,38828101,145899,11534573799,16511
2_2_1_3,17,5475,38444401,174499,8099545901,0
2_2_1_4,17,4054,41278401,192400,8046279199,0
2_2_1_5,17,495688,38319200,151799,15883257400,0
2_2_1_6,17,92483,38967701,158499,17130295900,0
2_2_1_7,17,2264,39329000,168999,16318503201,0
2_2_1_8,17,41021,39237900,165401,16556524100,0
2_2_1_9,17,35517,38688701,166599,13353568400,0
2_2_3_0,29,73814,39329300,243599,10333956501,0
2_2_3_1,27,122886,40575199,217299,15845449100,0
2_2_3_2,27,573917,40076700,225200,17330677599,0
2_2_3_3,31,198588,38805000,264300,17026183201,0
2_2_3_4,31,98191,39082799,249200,16388131000,0
2_2_3_5,25,70522,38754601,224800,16222159400,0
2_2_3_6,29,609325,38489599,251199,11471849100,0
2_2_3_7,27,101271,39416300,213199,8118566400,0
2_2_3_8,27,41436,39309300,206900,8225692900,0
2_2_3_9,27,136284,39299200,231001,7984002101,0
2_2_5_0,49,132243,39251199,401500,9342436800,0
2_2_5_1,45,739922,38981701,372100,16705169801,0
2_2_5_2,45,655646,38704700,376700,8699570500,0
2_2_5_3,47,25741,39313801,378700,16575189800,0
2_2_5_4,45,602362,42392801,374500,10434922701,0
2_2_5_5,45,503816,38823700,392700,14026383000,0
2_2_5_6,47,108701,42205100,361100,11028982299,0
2_2_5_7,43,394662,38897000,360599,11876634201,0
2_2_5_8,45,469458,39005400,352201,9083782599,0
2_2_5_9,43,48224,38727500,339100,11210158799,0
2_3_1_0,27,138425,39003500,250501,9559176000,0
2_3_1_1,27,4248,39720400,230800,16677556800,0
2_3_1_2,27,91270,39018800,238500,8491761000,0
2_3_1_3,27,97856,49187700,225800,10125955200,0
2_3_1_4,27,45889,38998200,219901,9184459600,0
2_3_1_5,27,65946,41074299,218300,8114753399,0
2_3_1_6,27,9057,39098299,223099,12486781599,0
2_3_1_7,21,5436,39418901,174600,14774725800,0
2_3_1_8,21,97480,38921100,213600,11945258400,371
2_3_1_9,27,2,50873799,249900,9957617400,0
2_3_3_0,49,392676,39599700,360901,9118033300,0
2_3_3_1,43,124266,38843200,321501,8261606901,0
2_3_3_2,45,111642,38804699,360100,16006220501,0
2_3_3_3,39,336035,39437499,282700,16963265100,0
2_3_3_4,45,826242,39748200,310600,15619193201,0
2_3_3_5,47,109851,38755700,349300,16823316500,0
2_3_3_6,49,204101,39349899,375100,12162836300,0
2_3_3_7,45,219045,39589499,329699,16763872701,0
2_3_3_8,43,126149,38872200,333401,9733076600,0
2_3_3_9,45,529231,38827500,346901,8521002700,0
2_3_5_0,71,266055,39111000,551800,8653172500,0
2_3_5_1,73,325210,38881000,666800,9868718600,0
2_3_5_2,71,226921,38818201,602000,8441118701,0
2_3_5_3,63,688983,39552200,549599,10316670501,0
2_3_5_4,67,259452,39221500,520300,11839587000,0
2_3_5_5,69,261987,38780501,581900,10798386900,0
2_3_5_6,71,192080,38794599,556000,8692979100,0
2_3_5_7,71,280222,38611600,543900,12490041600,0
2_3_5_8,65,96047,38907900,517400,11329172999,0
2_3_5_9,71,182567,38820500,569200,16592233000,0
3_1_1_0,10,152607,39612001,129100,8495507600,0
3_1_1_1,8,15371,39521899,112999,13956682199,0
3_1_1_2,10,1115,38415201,141300,11635876600,0
3_1_1_3,10,521844,38803800,111600,8323916600,0
3_1_1_4,10,492939,38798400,154001,8323787100,0
3_1_1_5,8,85808,38751600,124200,12882601900,0
3_1_1_6,6,487161,47018900,116300,17688716100,0
3_1_1_7,8,68624,38657800,171200,11220470400,0
3_1_1_8,6,527,38902200,115600,12770382800,0
3_1_1_9,10,530979,38825500,142900,10997215500,0
3_1_3_0,20,527278,39165600,195900,12158823200,0
3_1_3_1,18,177407,39021100,165500,8446177000,0
3_1_3_2,20,236619,38982800,177100,9009801500,0
3_1_3_3,22,91726,39409000,177700,8442768600,0
3_1_3_4,22,3745,38557700,183600,11440077000,0
3_1_3_5,22,104042,39079500,206000,8406011700,0
3_1_3_6,18,1790,51838800,162700,8371001200,0
3_1_3_7,16,107064,38810700,145700,12543681800,0
3_1_3_8,20,42664,38699300,185200,9455810000,0
3_1_3_9,20,53647,39502800,173900,11204015100,0
3_1_5_0,34,298256,38967100,270900,9596549300,0
3_1_5_1,32,112067,40996800,281800,16521859900,0
3_1_5_2,30,228527,39053800,261200,8523613800,0
3_1_5_3,28,182737,38343400,238800,12955018400,0
3_1_5_4,32,695009,38717700,265900,9448196700,0
3_1_5_5,32,73472,38394100,289200,8098431200,0
3_1_5_6,32,196329,39465100,279200,8237168800,0
3_1_5_7,30,40889,39150800,277200,14103498600,0
3_1_5_8,32,94467,38839900,287100,10455364000,0
3_1_5_9,32,207304,38226500,261900,12694623100,0
3_2_1_0,25,194,37808100,202000,10358128000,0
3_2_1_1,25,495433,38505500,364300,8499349100,0
3_2_1_2,25,104187,38567100,191000,8421475500,0
3_2_1_3,25,4660,39710200,212300,12951109400,0
3_2_1_4,19,92287,39181600,164800,9968769600,0
3_2_1_5,25,35759,38961200,204000,11533902800,0
3_2_1_6,25,582126,38647300,207800,8210823400,0
3_2_1_7,25,3114,39309500,250500,10058377000,0
3_2_1_8,25,205361,39249300,200400,11851192700,0
