Query,NR,PM,TM
2_1_1_0,0,0,444590000
2_1_1_1,0,0,-104746760
2_1_1_2,0,0,-23331120
2_1_1_3,0,0,-11847928
2_1_1_4,0,0,-10042664
2_1_1_5,0,0,-10064376
2_1_1_6,0,0,-1719944
2_1_1_7,0,0,3337064
2_1_1_8,0,0,70678320
2_1_1_9,0,0,-47168320
2_1_3_0,0,1677368,1605928
2_1_3_1,0,0,-1704
2_1_3_2,0,0,1592
2_1_3_3,0,0,-3816
2_1_3_4,0,0,1240
2_1_3_5,0,0,2672
2_1_3_6,0,0,-512
2_1_3_7,0,0,23032496
2_1_3_8,0,0,-32974168
2_1_3_9,0,0,4913984
2_1_5_0,0,0,5036216
2_1_5_1,0,0,-5592
2_1_5_2,0,0,1662880
2_1_5_3,0,0,1665184
2_1_5_4,0,0,-8301000
2_1_5_5,0,1675984,3296896
2_1_5_6,0,0,8168
2_1_5_7,0,0,1660608
2_1_5_8,0,0,-16628976
2_1_5_9,0,1680488,4896496
2_2_1_0,0,0,1712264
2_2_1_1,0,0,-30201096
2_2_1_2,0,0,39224
2_2_1_3,0,0,-1668936
2_2_1_4,0,1676128,3344112
2_2_1_5,0,0,5014664
2_2_1_6,0,0,-8352104
2_2_1_7,0,0,1664008
2_2_1_8,0,0,1677192
2_2_1_9,0,0,4768
2_2_3_0,0,0,-6686360
2_2_3_1,0,0,-5496
2_2_3_2,0,1675872,72269856
2_2_3_3,1680256,0,-20153400
2_2_3_4,0,0,-13632464
2_2_3_5,0,0,-18300992
2_2_3_6,0,0,4902224
2_2_3_7,0,0,6687800
2_2_3_8,0,0,3367840
2_2_3_9,0,0,-14962480
2_2_5_0,0,1680712,4927776
2_2_5_1,1672984,0,6706688
2_2_5_2,1673648,0,-1667112
2_2_5_3,0,1674048,-3330944
2_2_5_4,0,0,1649184
2_2_5_5,0,0,-14512
2_2_5_6,0,1673040,-4977592
2_2_5_7,0,1674784,-33504
2_2_5_8,0,0,-1664608
2_2_5_9,0,1674064,-4986952
2_3_1_0,0,0,3283288
2_3_1_1,0,0,-680
2_3_1_2,0,0,-16633152
2_3_1_3,0,0,32987848
2_3_1_4,0,0,-22971216
2_3_1_5,0,0,6617344
2_3_1_6,0,0,-2336
2_3_1_7,0,0,1645392
2_3_1_8,0,0,-8279808
2_3_1_9,0,0,6635376
2_3_3_0,0,0,3351888
2_3_3_1,0,0,-9962168
2_3_3_2,0,1677032,4953112
2_3_3_3,1673608,0,37656976
2_3_3_4,0,0,-5800616
2_3_3_5,0,1674776,-5078904
2_3_3_6,0,0,-13247544
2_3_3_7,0,1677456,-23515360
2_3_3_8,0,1676440,1610024
2_3_3_9,0,1673688,-14955920
2_3_5_0,0,1680296,-3373040
2_3_5_1,0,1677240,-10026296
2_3_5_2,0,1680480,4939168
2_3_5_3,0,1673432,6673200
2_3_5_4,0,0,8392360
2_3_5_5,0,1673480,-13302824
2_3_5_6,1678632,0,-5034560
2_3_5_7,0,1678360,3281416
2_3_5_8,0,0,-6646896
2_3_5_9,0,0,-6691976
3_1_1_0,0,0,9882272
3_1_1_1,0,0,-6603744
3_1_1_2,0,0,6603968
3_1_1_3,0,0,-6603304
3_1_1_4,0,0,6603208
3_1_1_5,0,0,-4935488
3_1_1_6,0,0,-15082000
3_1_1_7,0,0,-3387752
3_1_1_8,0,0,3328784
3_1_1_9,1673528,0,-8348024
3_1_3_0,0,0,73946232
3_1_3_1,0,0,-5325088
3_1_3_2,0,0,-5035768
3_1_3_3,0,0,-8270144
3_1_3_4,0,0,-30112456
3_1_3_5,0,0,145305608
3_1_3_6,0,0,696535744
3_1_3_7,0,0,-9991848
3_1_3_8,0,0,-8361040
3_1_3_9,0,0,-3421968
3_1_5_0,0,1674368,-13281864
3_1_5_1,0,0,-18420504
3_1_5_2,0,1679648,143432704
3_1_5_3,0,0,-104971304
3_1_5_4,0,1675512,-8350208
3_1_5_5,0,0,-3426760
3_1_5_6,1673784,0,-19935952
3_1_5_7,0,1680144,-11802456
3_1_5_8,0,0,145324536
3_1_5_9,0,0,-103485312
3_2_1_0,0,0,-11685504
3_2_1_1,0,0,-3458224
3_2_1_2,0,0,-3375360
3_2_1_3,0,0,-9959560
3_2_1_4,0,0,-10063920
3_2_1_5,0,1675968,9863216
3_2_1_6,0,0,-3243328
3_2_1_7,0,0,-9945408
3_2_1_8,0,0,6631504
3_2_1_9,0,0,-4408
3_2_3_0,0,0,-14937088
3_2_3_1,0,0,-8426280
3_2_3_2,1678888,0,8301664
3_2_3_3,0,0,-6619736
3_2_3_4,0,0,8284632
3_2_3_5,0,1672880,6712744
3_2_3_6,0,1673680,1648768
3_2_3_7,0,0,-8294680
3_2_3_8,0,1676160,3295608
3_2_3_9,0,1673712,-13293560
3_2_5_0,0,1679152,6600032
3_2_5_1,0,1672504,3378472
3_2_5_2,0,1673472,-14966400
3_2_5_3,0,1679776,4900216
3_2_5_4,0,1673264,5032656
3_2_5_5,0,1673536,-19144
3_2_5_6,0,0,-22416
3_2_5_7,0,1672128,-6645488
3_2_5_8,0,0,-7592
3_2_5_9,0,0,32783192
