Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,17,1593604,6623700,253900,5709209700,0
2_1_1_1,17,1621570,26706500,227300,6168915000,15
2_1_1_2,17,1594962,27044600,289000,6314223000,1
2_1_1_3,17,1593056,33066500,253200,6430320800,61
2_1_1_4,17,1590678,26435700,237600,6092565700,0
2_1_1_5,17,1593908,26629400,233100,6185446300,0
2_1_1_6,13,1779390,26681500,191800,6128565800,0
2_1_1_7,17,1631190,26584200,402400,6368200100,0
2_1_1_8,17,1636408,26971500,276200,6181744700,95
2_1_1_9,15,1741344,26628500,220600,6358387100,969
2_1_3_0,25,1595518,26596500,294500,6416949800,0
2_1_3_1,23,1706570,26451100,315400,6421678100,0
2_1_3_2,23,1591956,26438700,339200,6118770900,0
2_1_3_3,21,1590836,26445700,305900,6461991100,0
2_1_3_4,23,3088340,26418500,292900,6520158500,0
2_1_3_5,25,1668006,26450600,290100,6470249100,0
2_1_3_6,25,2206722,26667900,288400,6735279100,0
2_1_3_7,21,1593634,26810000,322700,6162739300,0
2_1_3_8,21,1590796,26533500,243600,6412167600,0
2_1_3_9,23,1762420,26493200,268200,6348261900,0
2_1_5_0,31,1590860,26436000,329800,6395469200,0
2_1_5_1,31,2002658,31563100,371700,6490473900,0
2_1_5_2,33,1590666,26467100,343400,6089461300,0
2_1_5_3,33,1710108,28381100,455400,6443598800,0
2_1_5_4,29,1615366,26894000,287800,6446511500,0
2_1_5_5,31,1590678,26778800,336800,6496052500,0
2_1_5_6,33,1635462,26354000,307000,6484034600,0
2_1_5_7,33,1591430,26771100,338700,6358701700,0
2_1_5_8,31,1591560,26580600,343100,6106022600,0
2_1_5_9,29,1643452,26625200,320600,6561564000,0
2_2_1_0,31,3747797,25846800,295000,6377743500,1
2_2_1_1,31,3713374,26362900,324900,6018736100,7
2_2_1_2,23,3788666,26444000,273400,6215295100,11016
2_2_1_3,31,3725104,26689800,330000,6514282300,3
2_2_1_4,31,3719592,26550200,309400,6443834800,272
2_2_1_5,31,6685578,26354100,311200,6853154500,4192
2_2_1_6,31,3714927,26597000,297900,6152986100,0
2_2_1_7,31,3715169,31704800,661700,6932941500,0
2_2_1_8,31,3720310,30082700,459500,6449468100,0
2_2_1_9,31,3711790,27039700,359200,6405175800,0
2_2_3_0,43,3718901,26330600,465500,6466916900,0
2_2_3_1,41,3803241,26450200,381500,6514587000,0
2_2_3_2,41,4547865,27995000,432800,6607173300,16
2_2_3_3,45,3764312,25133100,468100,6405307400,0
2_2_3_4,45,3825631,25460400,449500,6371304000,4
2_2_3_5,39,3871663,35337200,402000,6550589000,0
2_2_3_6,43,4067054,27777500,406000,6673297400,7328
2_2_3_7,41,3711554,32494400,408600,6059525700,0
2_2_3_8,41,3793029,26662000,403400,6372107700,1
2_2_3_9,41,3751900,26495700,373300,6499424400,0
2_2_5_0,63,3980600,27144500,557300,6500581800,182
2_2_5_1,59,4373684,26760400,547200,6605235300,0
2_2_5_2,59,3713473,26649500,600400,6593902400,0
2_2_5_3,61,3722457,26373500,516000,6502097200,0
2_2_5_4,59,3717058,26864400,503100,6521801900,0
2_2_5_5,59,3722267,26623900,585100,6512175600,0
2_2_5_6,61,3711570,26357800,583100,6319737900,0
2_2_5_7,57,3971848,26552300,568200,6827639700,0
2_2_5_8,59,4032007,27207700,729400,7033447800,0
2_2_5_9,57,3853469,26380000,478600,6400485200,0
2_3_1_0,45,6111296,26179300,391800,6410351000,5093
2_3_1_1,45,5835445,26319500,376600,6101936000,0
2_3_1_2,45,5838332,26551800,369700,6074431200,0
2_3_1_3,45,5956432,26560800,402200,6457734000,25
2_3_1_4,45,5869639,26598000,394400,6105941900,3
2_3_1_5,45,6040534,26548000,381600,6078294500,0
2_3_1_6,45,5857171,27126800,374300,6389111300,0
2_3_1_7,39,5841219,26671000,359800,6335599500,0
2_3_1_8,39,5842114,26552000,349000,6464112000,322
2_3_1_9,45,5832442,25371000,364000,5972832200,0
2_3_3_0,67,5975706,26476900,525000,6381083100,0
2_3_3_1,61,5895457,26057200,548800,6452647900,21
2_3_3_2,63,5856657,26696700,728800,6455957500,0
2_3_3_3,57,6030425,26709800,436500,6592888500,253
2_3_3_4,63,7000570,26904400,498000,6713588900,1
2_3_3_5,65,5844482,27195500,583400,6629728200,0
2_3_3_6,67,6526189,26538700,1095200,6688447100,1914
2_3_3_7,63,5832474,26674600,522100,6342715700,0
2_3_3_8,61,5832480,26500100,478300,6452280200,0
2_3_3_9,63,7504556,35038500,538000,6795133200,0
2_3_5_0,89,5857906,26534100,646200,6527923000,0
2_3_5_1,91,6075930,26641500,656500,6611298700,0
2_3_5_2,89,5849732,29814100,652400,6461589800,0
2_3_5_3,81,6102059,27032600,568500,6640880100,0
2_3_5_4,85,5965918,26786500,834300,6583452600,0
2_3_5_5,87,5862396,26699000,670600,6544837700,0
2_3_5_6,89,5832466,26857000,663300,6324517600,0
2_3_5_7,89,5832520,27133900,699500,6359706400,0
2_3_5_8,83,5836506,26569000,669000,6302324300,0
2_3_5_9,89,5839002,26616000,654500,6622122300,0
3_1_1_0,25,2224106,26531800,272200,6582620900,0
3_1_1_1,23,2142080,26317300,218700,6087490900,0
3_1_1_2,25,2122990,26445100,252900,6478280000,0
3_1_1_3,25,2797476,26645800,253800,6344991600,0
3_1_1_4,25,3608610,26270100,243200,6635893700,8
3_1_1_5,23,2165798,26335400,230400,6470789600,0
3_1_1_6,21,3062387,26466200,238500,6508293500,0
3_1_1_7,23,2187914,26320400,206300,6491901200,0
3_1_1_8,21,2122422,26535300,233900,6297950900,0
3_1_1_9,25,4282526,26256100,266400,6736713000,0
3_1_3_0,35,3782552,26368700,305500,6516025100,0
3_1_3_1,33,2305800,26606000,313200,6423132200,0
3_1_3_2,35,2271552,26626500,332100,6556839600,0
3_1_3_3,37,2127476,26583200,322300,6519809800,0
3_1_3_4,37,2122812,26490700,329400,6355954400,0
3_1_3_5,37,2175354,26780000,318000,6473930000,0
3_1_3_6,33,2122830,26386600,278600,6521825800,0
3_1_3_7,31,2175248,26376800,275800,6416042100,0
3_1_3_8,35,2157562,26510000,299300,6462554200,0
3_1_3_9,35,2156318,26376800,338300,6517735400,0
3_1_5_0,49,2274634,25173600,405200,6619215100,0
3_1_5_1,47,2273658,26415500,417200,6605048600,0
3_1_5_2,45,2233322,26498400,389100,6447445800,0
3_1_5_3,43,2153946,26540000,398400,6372416300,0
3_1_5_4,47,2430356,26494900,452500,6770852100,0
3_1_5_5,47,2125222,26351000,544100,6566891800,0
3_1_5_6,47,2120924,26402100,373500,6146118600,0
3_1_5_7,45,2197956,26504600,389000,6373692200,0
3_1_5_8,47,2153824,26417500,360200,6476935700,0
3_1_5_9,47,2120930,26821100,549200,6490628400,0
3_2_1_0,46,5302220,26518800,367200,6141872400,0
3_2_1_1,46,8340980,26633000,391500,6981110800,19
3_2_1_2,46,5604192,26351200,397700,6524936700,0
3_2_1_3,46,5323891,26527700,377600,6447384700,6
3_2_1_4,40,5377320,26555800,329700,6507857400,20
3_2_1_5,46,5638967,26524900,346400,6261181800,0
3_2_1_6,46,6921047,26307400,342300,6968206700,7
3_2_1_7,46,5307965,26512800,378500,6493810000,48
3_2_1_8,46,5354251,27112000,356100,6505589200,0
3_2_1_9,42,6093941,26469000,313500,6570391800,203
3_2_3_0,66,5738782,26500000,460500,6599371900,0
3_2_3_1,62,6324896,34394500,486400,6710226200,0
3_2_3_2,68,6124366,25833900,475500,6862021200,0
3_2_3_3,64,5531233,26590000,442700,6573458300,84
3_2_3_4,62,5590687,26382100,472400,6615783700,5
3_2_3_5,64,5429408,31099200,646100,6772558600,0
3_2_3_6,66,5376124,26493300,476800,6560593000,0
3_2_3_7,62,5302694,27274100,457100,6599657300,0
3_2_3_8,64,6720271,26293200,430500,6865198600,0
3_2_3_9,66,5985649,26685700,579000,6713608200,0
3_2_5_0,86,7797852,26427000,597700,6989729700,0
3_2_5_1,92,5302262,26880600,657000,6469655600,0
3_2_5_2,90,5421696,26686800,650100,6678126900,0
3_2_5_3,86,5302550,26551300,619200,6691220800,0
3_2_5_4,86,5434395,26550700,614600,6553341700,0
3_2_5_5,92,5410859,26666700,660900,6678380200,0
3_2_5_6,86,5658092,26692700,616800,6652368500,0
3_2_5_7,84,5323066,26627500,618900,6298884400,0
3_2_5_8,86,5435226,26797300,594400,6872751100,0
3_2_5_9,82,5302786,26558100,629300,6661556800,0
3_3_1_0,67,10773031,26519100,441600,6900926300,534
3_3_1_1,67,8626490,26485900,449400,6163265100,0
3_3_1_2,61,8692957,26516900,416700,6346408900,0
3_3_1_3,67,8500134,30047400,466300,6359063400,0
3_3_1_4,67,8559878,26348900,401200,6583551900,0
3_3_1_5,67,8488687,25497000,467200,6239379300,0
3_3_1_6,63,8495229,26715300,419400,6264672800,0
3_3_1_7,67,13426795,26760100,448100,7674370400,1
3_3_1_8,67,8486675,27455400,432400,6254655500,0
3_3_1_9,67,8520254,26869400,456400,6468580800,0
3_3_3_0,91,8483676,25432900,581300,6631550100,0
3_3_3_1,97,8483604,26393500,642100,6476224700,0
3_3_3_2,93,8514510,26526400,641700,6832532200,0
3_3_3_3,97,8484396,26687900,729000,6769521000,0
3_3_3_4,95,8485830,26707000,638100,6524408400,0
3_3_3_5,95,8668322,26736700,632900,6898191200,0
3_3_3_6,97,8948685,26445600,660200,6680463400,0
3_3_3_7,91,9010277,26506500,605400,6611616600,430
3_3_3_8,95,8643963,26624100,624800,6755799100,0
3_3_3_9,99,8653694,26709800,657900,6783364400,0
3_3_5_0,131,8533062,32312100,876400,6500425700,0
3_3_5_1,129,8506294,26913500,871300,6599915600,0
3_3_5_2,131,8604842,26839400,932400,6406525600,0
3_3_5_3,129,8945559,34147100,1122700,6818559800,0
3_3_5_4,125,8775786,26902800,1131100,6679189600,0
3_3_5_5,131,9158710,26591700,864100,6921424900,0
3_3_5_6,133,8483608,26640000,878600,6365895300,0
3_3_5_7,135,8676794,27357400,927000,6868555900,0
3_3_5_8,127,9826700,26534100,829000,6926534300,0
3_3_5_9,127,8581994,27166600,1132000,6582977600,0
