Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,17,2355034,26013600,254300,10089903200,0
2_1_1_1,17,2387464,39062400,213700,8750886500,0
2_1_1_2,17,2355238,45312700,282500,11617918200,0
2_1_1_3,17,2353886,38449900,239000,9048538800,0
2_1_1_4,17,2352404,38971900,235600,9822810700,0
2_1_1_5,17,2355426,38944600,241300,9057405600,0
2_1_1_6,13,2635274,38630900,167100,9371288200,0
2_1_1_7,17,2412338,39162300,235200,9128056000,0
2_1_1_8,17,2420838,37041500,215300,14610993600,0
2_1_1_9,15,2579956,38982400,241200,9360524300,1350
2_1_3_0,25,2357124,49421000,285700,11272354400,0
2_1_3_1,23,2492016,39580600,238100,9740714000,0
2_1_3_2,23,2353698,39176300,225300,12872341500,0
2_1_3_3,21,2352614,39403900,296900,10927134500,0
2_1_3_4,23,3270060,38885800,467200,13977761400,0
2_1_3_5,25,2423588,39271300,304400,8918494500,0
2_1_3_6,25,3269776,39031100,262200,11318869600,0
2_1_3_7,21,2354954,38581900,273500,9027762500,0
2_1_3_8,21,2352502,39197800,215200,9421251600,0
2_1_3_9,23,2534404,39195000,271700,9059989800,0
2_1_5_0,31,2352614,39052500,302900,9628903600,0
2_1_5_1,31,2685716,38974900,303200,9096232900,0
2_1_5_2,33,2352402,43151200,447600,14414817400,0
2_1_5_3,33,2531804,39222700,363200,8962241100,0
2_1_5_4,29,2387546,49238700,386500,11808659200,0
2_1_5_5,31,2352410,38898400,449600,8722808100,0
2_1_5_6,33,2387442,39219800,311600,8696377100,0
2_1_5_7,33,2353026,38683300,308200,8878086900,0
2_1_5_8,31,2353052,38411800,260200,8592335900,0
2_1_5_9,29,2423588,38989200,298700,8882757500,0
2_2_1_0,31,5543194,51834500,274800,9357362400,0
2_2_1_1,31,5490422,47053800,293800,9009475100,0
2_2_1_2,23,5604515,39071500,255700,8620616800,16511
2_2_1_3,31,5493906,38710600,277200,8928332700,0
2_2_1_4,31,5494928,47442900,265600,10080093900,0
2_2_1_5,31,7400578,38930600,263100,10407151800,0
2_2_1_6,31,5492294,38907400,277200,12887288700,0
2_2_1_7,31,5491582,38646700,263100,11932657300,0
2_2_1_8,31,5500298,40254700,246800,16236120700,0
2_2_1_9,31,5489138,38931800,260500,8726336300,0
2_2_3_0,43,5492668,38119100,329600,16740526600,0
2_2_3_1,41,5624710,37827400,335300,11406320900,0
2_2_3_2,41,6591298,38772600,327000,16850754800,0
2_2_3_3,45,5588338,38889400,559700,11896817200,0
2_2_3_4,45,5581314,39186300,341300,16614370800,0
2_2_3_5,39,5728496,39155100,304900,10939382800,0
2_2_3_6,43,5908498,38668200,322400,11731017800,0
2_2_3_7,41,5488938,39199300,351700,8922740400,0
2_2_3_8,41,5609106,39467700,345900,16839574600,0
2_2_3_9,41,5549584,39183800,339800,12175758300,0
2_2_5_0,63,5622944,39672200,476000,16827588700,0
2_2_5_1,59,6463560,39646700,421200,12562339200,0
