Query,DS,FQA,PT,TT,RT,NR
0,51,47224,24175100,94313500,1719312900,0
1,37,14546,4619400,29474300,599332800,0
2,64,33293,197709500,69407800,614644400,0
3,33,12936,1337200,10627600,598790300,0
4,57,180511,113558600,24284700,733792300,20
5,38,79548,2412400,10153500,627836000,0
6,52,115576,1298800,3217900,667936400,0
7,37,116055,1606500,5611400,677207700,167
8,42,48875,1321200,3365900,638508700,0
9,72,37545,1191300,3790100,633938100,0
10,55,72109,3148100,4125300,615396600,0
11,34,275718,1499100,1837200,666105600,0
12,32,124114,1276300,2430900,629981800,0
13,32,93225,1305500,1206900,623357500,0
14,51,181532,1897200,3747000,616959300,0
15,35,131439,1097900,2003100,617626500,0
16,37,546229,1175500,1649200,721984900,4307
17,103,127731,2180000,4542100,633107700,0
18,38,43698,1133100,1635400,563480600,0
19,59,203183,1176100,5655800,710558300,0
20,40,108833,989100,3714100,711751000,0
21,45,24072,1147100,1526300,616766000,0
22,39,17813,1100700,1364100,581295300,0
23,57,1050181,1233400,2327600,873246800,1116
24,45,46335,1064100,2116100,554819000,0
25,52,17565,1111500,1352900,597570900,0
26,57,140030,15476600,2229100,677164400,16
27,40,43767,850800,817800,638904200,0
28,37,14872,1079000,955900,650830300,0
29,30,506951,1191100,1529400,690742600,598
30,27,8727,1090000,529600,542023200,0
31,41,154457,1111100,1429800,633417200,0
32,28,204031,1062500,634300,649223900,3388
33,53,10185,1058800,1653300,655107700,0
34,27,15057,1129900,471700,640960200,0
35,41,23850,1228700,2606800,662847200,618
36,49,83578,1107500,823900,708468000,0
37,45,123274,1717900,1979000,639171800,98
38,22,72530,1477300,1009800,596373600,0
39,32,76249,1078200,543600,616557000,0
40,72,214312,1549700,1670000,725017300,0
41,74,742586,1171500,2397600,741838800,0
42,29,105901,1159100,893200,585282500,0
43,45,75087,2513000,1369500,631213100,0
44,49,19707,1224400,1179900,643870000,0
45,52,15777,1131600,694000,551551300,0
46,46,15149,2292200,1289700,585007300,0
47,34,87336,1164400,523500,579172700,0
48,66,39871,1100000,1765800,600524900,0
49,50,288319,1102300,916800,687448200,5033
