Query,NR,PM,TM
2_1_1_0,0,0,-199777040
2_1_1_1,0,0,106200832
2_1_1_2,0,0,15913912
2_1_1_3,0,0,-35673632
2_1_1_4,0,0,-139736208
2_1_1_5,0,0,28500864
2_1_1_6,0,0,24659008
2_1_1_7,0,0,97240568
2_1_1_8,0,0,-93691336
2_1_1_9,0,0,54261912
2_1_3_0,0,0,-4599488
2_1_3_1,0,0,-116313760
2_1_3_2,0,0,25971088
2_1_3_3,0,0,72616136
2_1_3_4,0,3544272,-94909072
2_1_3_5,0,0,91327624
2_1_3_6,0,0,80063904
2_1_3_7,0,0,-161579728
2_1_3_8,0,0,26711392
2_1_3_9,0,0,15841768
2_1_5_0,0,0,74909640
2_1_5_1,0,0,-96158832
2_1_5_2,0,0,85422384
2_1_5_3,0,0,45719456
2_1_5_4,0,0,-98171848
2_1_5_5,0,0,52086312
2_1_5_6,0,0,-96553928
2_1_5_7,0,0,64633240
2_1_5_8,0,0,80838664
2_1_5_9,0,0,-144610296
2_2_1_0,0,0,35367688
2_2_1_1,0,0,28426040
2_2_1_2,0,0,-91909352
2_2_1_3,0,0,91875512
2_2_1_4,0,0,53702936
2_2_1_5,0,0,-4088504
2_2_1_6,0,0,-112349408
2_2_1_7,0,0,37925832
2_2_1_8,0,0,79327400
2_2_1_9,0,0,-97048768
2_2_3_0,0,3544096,54324912
2_2_3_1,0,0,13022008
2_2_3_2,0,0,-78491960
2_2_3_3,0,0,71404768
2_2_3_4,0,0,-93995304
2_2_3_5,0,0,79812104
2_2_3_6,0,3544080,-102288432
2_2_3_7,0,0,52713040
2_2_3_8,0,0,71430960
2_2_3_9,0,0,-99826896
2_2_5_0,0,0,84966800
2_2_5_1,0,0,42692648
2_2_5_2,0,0,-96065512
2_2_5_3,0,0,49992864
2_2_5_4,0,3544048,75820768
2_2_5_5,0,0,-125484880
2_2_5_6,0,0,50720880
2_2_5_7,0,4089320,-19329768
2_2_5_8,0,0,70879872
2_2_5_9,0,0,-105055120
2_3_1_0,0,0,41199240
2_3_1_1,3560432,0,-94696440
2_3_1_2,0,0,87474624
2_3_1_3,0,0,84389504
2_3_1_4,0,-183032928,52570768
2_3_1_5,0,0,71141768
2_3_1_6,0,0,-99464080
2_3_1_7,0,0,84861680
2_3_1_8,0,0,39190696
2_3_1_9,0,0,-100599640
2_3_3_0,0,0,54525328
2_3_3_1,0,0,78428472
2_3_3_2,0,0,-120942064
2_3_3_3,0,0,54184544
2_3_3_4,0,0,-15229512
2_3_3_5,0,0,70897288
2_3_3_6,0,0,-79831584
2_3_3_7,0,0,76284224
2_3_3_8,0,0,-121159272
2_3_3_9,0,0,29000752
2_3_5_0,0,3544344,80188240
2_3_5_1,0,0,-147459344
2_3_5_2,0,3543936,33244392
2_3_5_3,0,0,26966896
2_3_5_4,0,0,99450808
2_3_5_5,0,0,-81651320
2_3_5_6,0,3545288,50067864
2_3_5_7,4036848,0,-8095152
2_3_5_8,3544024,0,-111317080
2_3_5_9,0,0,33376696
3_1_1_0,0,0,80423584
3_1_1_1,0,0,-105341744
3_1_1_2,0,0,51068296
3_1_1_3,0,0,-1379152
3_1_1_4,0,0,-88641784
3_1_1_5,0,0,30813960
3_1_1_6,0,0,29428072
3_1_1_7,0,0,78545464
3_1_1_8,0,0,-89204368
3_1_1_9,0,0,55485880
3_1_3_0,0,0,4814552
3_1_3_1,0,0,-108796120
3_1_3_2,0,0,37878720
3_1_3_3,0,0,34681112
3_1_3_4,0,0,25564624
3_1_3_5,0,0,77940192
3_1_3_6,0,0,-109838232
3_1_3_7,0,0,55094992
3_1_3_8,0,0,-12522048
