Query,TTMB,TFMB,TTMA,TFMA,RTMB,RFMB,RTMA,RFMA,Max
2_1_1_0,1384120320,584581120,1384120320,584581120,1384120320,584581120,1560281088,456799904,1560281088
2_1_1_1,1560281088,456799904,1560281088,456799904,1560281088,456799904,1560281088,526905328,1560281088
2_1_1_2,1560281088,526905328,1560281088,526383088,1560281088,526383088,1560281088,604206560,1560281088
2_1_1_3,1560281088,604206560,1560281088,603684320,1560281088,603684320,1560281088,572516320,1560281088
2_1_1_4,1560281088,572516320,1560281088,571994080,1560281088,571994080,1560281088,505935872,1560281088
2_1_1_5,1560281088,505935872,1560281088,505413632,1560281088,505413632,1560281088,570652128,1560281088
2_1_1_6,1560281088,570652128,1560281088,570652128,1560281088,570652128,1560281088,534920144,1560281088
2_1_1_7,1560281088,534920144,1560281088,534920144,1560281088,534920144,1560281088,439869392,1560281088
2_1_1_8,1560281088,439869392,1560281088,439347152,1560281088,439347152,1560281088,478670832,1560281088
2_1_1_9,1560281088,478670832,1560281088,478670832,1560281088,478670832,1560281088,381534160,1560281088
2_1_3_0,1560281088,381534160,1560281088,381011920,1560281088,381011920,1560281088,578958832,1560281088
2_1_3_1,1560281088,578958832,1560281088,578436592,1560281088,578436592,1560281088,539182576,1560281088
2_1_3_2,1560281088,539182576,1560281088,538660336,1560281088,538660336,1560281088,524073968,1560281088
2_1_3_3,1560281088,524073968,1560281088,523551728,1560281088,523551728,1560281088,496914912,1560281088
2_1_3_4,1560281088,496914912,1560281088,496392672,1560281088,496392672,1560281088,519057888,1560281088
2_1_3_5,1560281088,519057888,1560281088,518535648,1560281088,518535648,1560281088,589022192,1560281088
2_1_3_6,1560281088,589022192,1560281088,588499952,1560281088,588499952,1560281088,575592928,1560281088
2_1_3_7,1560281088,575592928,1560281088,575070688,1560281088,575070688,1560281088,458097616,1560281088
2_1_3_8,1560281088,458097616,1560281088,457575376,1560281088,457575376,1560281088,410203600,1560281088
2_1_3_9,1560281088,410203600,1560281088,409681360,1560281088,409681360,1560281088,548194784,1560281088
2_1_5_0,1560281088,548194784,1560281088,547672544,1560281088,547672544,1560281088,459587568,1560281088
2_1_5_1,1560281088,459587568,1560281088,459065328,1560281088,459065328,1560281088,374230600,1560281088
2_1_5_2,1560281088,374230600,1560281088,373708360,1560281088,373708360,1560281088,551022576,1560281088
2_1_5_3,1560281088,551022576,1560281088,550500336,1560281088,550500336,1560281088,564962784,1560281088
2_1_5_4,1560281088,564962784,1560281088,564440544,1560281088,564440544,1560281088,467642784,1560281088
2_1_5_5,1560281088,467642784,1560281088,467120544,1560281088,467120544,1560281088,385874080,1560281088
2_1_5_6,1560281088,385874080,1560281088,385351840,1560281088,385351840,1560281088,544995496,1560281088
2_1_5_7,1560281088,544995496,1560281088,544473256,1560281088,544473256,1560281088,526121000,1560281088
2_1_5_8,1560281088,526121000,1560281088,525598760,1560281088,525598760,1560281088,533985400,1560281088
2_1_5_9,1560281088,533985400,1560281088,533463160,1560281088,533463160,1560281088,545257696,1560281088
2_2_1_0,1560281088,545257696,1560281088,544735456,1560281088,544735456,1560281088,506722424,1560281088
2_2_1_1,1560281088,506722424,1560281088,506200184,1560281088,506200184,1560281088,526121032,1560281088
2_2_1_2,1560281088,526121032,1560281088,525598792,1560281088,525598792,1560281088,548665488,1560281088
