Query,DS,FQA,PT,TT,RT,NR
0,76,8484432,30232200,561200,8647651900,0
1,61,5191734,49584699,511500,8267475100,0
2,97,9429973,34499900,774101,8377129100,0
3,54,5916000,48385300,441400,7770482401,0
4,86,11783213,46304601,755400,8422740900,371
5,61,7701701,45171600,534600,8257877901,0
6,76,10506540,44131800,553299,8128834901,0
7,58,4368872,47434299,768600,8617198701,1681
8,65,7510080,51966300,949601,8591206000,0
9,102,8937764,39641000,612100,8214538500,0
10,87,10644760,35829200,631200,8337209600,0
11,57,9828087,48908400,824300,8877645900,0
12,52,7760338,47138100,456201,7712462600,0
13,54,5818723,48311300,399801,8332788900,0
14,77,11536080,29843200,484500,7426175100,0
15,57,8999640,38156900,492199,7878583199,0
16,58,25293168,35712599,532900,11272102899,49275
17,135,10343612,28136800,809300,8511840601,0
18,64,7174916,49857600,590400,8333721200,0
19,94,12363472,45468500,704700,8666489200,0
20,63,7669882,50032800,540801,8384457900,0
21,66,5837634,48411100,567800,7785049800,0
22,60,5838679,49477601,476100,8411288100,0
23,85,29356659,51042200,651799,12955351900,12035
24,66,6071966,32425199,412700,7889783000,0
25,75,6921648,37338200,589400,7540876500,0
26,89,11460982,49334399,800700,8536461600,215
27,66,7910800,41733499,502300,8470079400,0
28,61,5193998,48372401,493600,8232328700,0
29,49,18118169,40196601,329600,10335008800,6252
30,47,3461220,28001000,332599,7766878500,0
31,69,9156736,45317101,1229199,9726268900,0
32,47,7396488,44434299,316000,8661359200,33427
33,84,8084020,42491301,619400,7924952900,0
34,47,4062046,27565700,359800,8200927601,0
35,62,6401590,47732100,513600,8463991401,6921
36,78,10289454,48411600,574001,8058663400,0
37,71,11003322,47780700,572100,8268809900,118
38,38,4964846,28715301,462600,8074169501,1
39,52,7089778,28467500,439501,7886376700,0
40,106,11909429,39080200,640400,8757615100,0
41,112,27502402,41604499,784000,10499788899,0
42,47,6162716,29364500,327499,7942714999,0
43,70,5805062,34477301,571299,8164082900,0
44,80,8371459,28626099,492099,8523931100,0
45,75,6921718,31513600,676000,8844172900,0
46,72,7654690,32837701,771800,8786173000,0
47,53,5174358,75284301,458500,8477484000,0
48,96,9124090,66796100,579499,9050903300,0
49,77,11279074,34395300,465600,9223116399,47845
