Query,DS,FQA,PT,TT,RT,NR
2_1_1_0,7,1473,38569600,125500,24439193100,0
2_1_1_1,7,126354,52542400,121700,39577291800,0
2_1_1_2,7,3008,55094200,168000,40833253300,0
2_1_1_3,7,1702,51414300,137600,40892266600,0
2_1_1_4,7,169,52152500,115200,41800299400,0
2_1_1_5,7,1658,51041200,106000,40813300700,0
2_1_1_6,3,189278,51089400,89800,40827798700,0
2_1_1_7,7,58162,52160500,127500,40867938700,0
2_1_1_8,7,45693,51147600,123800,40774020300,0
2_1_1_9,5,151056,50813600,114500,41313174000,1779
2_1_3_0,15,4892,53645200,170800,40361970800,0
2_1_3_1,13,291679,51433800,127100,40709337100,0
2_1_3_2,13,20615,53041600,129800,40813284700,0
2_1_3_3,11,20443,51193200,177300,40685270400,0
2_1_3_4,13,616430,51854900,198500,39988060500,0
2_1_3_5,15,190743,52477700,182400,40556632500,0
2_1_3_6,15,615765,51820700,178500,41524049400,0
2_1_3_7,11,48850,52663000,137400,41108691300,0
2_1_3_8,11,26814,52725300,230800,40669152000,0
2_1_3_9,13,300040,52854800,169800,40636299900,0
2_1_5_0,21,125232,50760300,218000,40810768200,0
2_1_5_1,21,1040935,62930200,229000,41505054300,0
2_1_5_2,23,335704,51417700,208800,40557427600,0
2_1_5_3,23,236297,52393800,212700,39881893200,0
2_1_5_4,19,27303,52009400,199900,40515181100,0
2_1_5_5,21,22943,51651200,337000,41031836500,0
2_1_5_6,23,68310,53179200,214100,41190239700,0
2_1_5_7,23,25549,52777000,292100,40502657700,0
2_1_5_8,21,60517,51893900,197000,40642017900,0
2_1_5_9,19,707846,51478700,211100,41259349200,0
2_2_1_0,17,156781,53417600,239900,41096874400,0
2_2_1_1,17,911,51976500,187500,40642167400,0
2_2_1_2,9,43718,53348700,164200,39792747200,21859
2_2_1_3,17,5548,52464300,170200,40571235800,0
2_2_1_4,17,4025,51299300,199000,41430789400,0
2_2_1_5,17,663286,52783300,151700,41061720200,0
2_2_1_6,17,122490,52440800,178100,39710689400,0
2_2_1_7,17,2140,53173300,176900,40603295100,0
2_2_1_8,17,54721,50999400,194300,41025917600,0
2_2_1_9,17,47503,52789400,164800,40911822600,0
2_2_3_0,29,95703,55348500,230500,41290466800,0
2_2_3_1,27,162440,53359700,223200,40563627000,0
2_2_3_2,27,765407,52615300,229000,40377635700,0
2_2_3_3,31,263990,53452500,257700,39889740500,0
2_2_3_4,31,130975,52586700,272600,41001272000,0
2_2_3_5,25,92879,51668100,237000,40771126100,0
2_2_3_6,29,813130,51461700,250300,40854772200,0
2_2_3_7,27,134430,52549600,235300,39729985200,0
2_2_3_8,27,53953,52301100,207000,40611612800,0
2_2_3_9,27,178747,50861100,239000,41033064300,0
2_2_5_0,49,176867,52119300,402000,41444990800,0
2_2_5_1,45,988197,51052900,373400,40971876700,0
2_2_5_2,45,875480,52787700,367700,39920396700,0
2_2_5_3,47,32203,51176000,402800,40571082300,0
2_2_5_4,45,802491,51975600,367000,40990906500,0
2_2_5_5,45,670741,53260600,376000,40672488000,0
2_2_5_6,47,142828,53841500,376300,40315703700,0
2_2_5_7,43,525947,65001200,339400,39917104200,0
2_2_5_8,45,626474,52528200,352000,39986201600,0
2_2_5_9,43,62742,50519100,356300,40836434600,0
2_3_1_0,27,185222,53058700,269300,40829282500,0
2_3_1_1,27,4267,50902900,210500,39762019900,0
2_3_1_2,27,121294,50226400,211000,39811214700,0
2_3_1_3,27,129246,54251000,294800,41077478300,0
2_3_1_4,27,61007,52628900,196400,40803826000,0
2_3_1_5,27,88123,52219900,211000,39854019500,0
2_3_1_6,27,9169,52379700,191700,39644927500,0
2_3_1_7,21,5766,51560500,204300,40825685100,0
2_3_1_8,21,128751,51123900,178400,40964833700,342
2_3_1_9,27,4,67360400,235600,41545565500,0
2_3_3_0,49,522556,51316700,428300,40900518100,0
2_3_3_1,43,164347,66640100,345800,40047489800,0
2_3_3_2,45,147138,52232300,370400,39656963300,0
2_3_3_3,39,446540,52904300,318900,40728947500,0
2_3_3_4,45,1097449,51245100,342900,41447925100,0
2_3_3_5,47,143336,51694600,404400,40902684700,0
2_3_3_6,49,272093,51264000,371400,40170987100,0
2_3_3_7,45,289976,51499700,361600,39972631400,0
2_3_3_8,43,167870,51482800,354900,40688418500,0
2_3_3_9,45,706847,51268900,327600,41700546800,0
2_3_5_0,71,351794,52318400,572100,40651142500,0
2_3_5_1,73,430893,51370500,1435100,41298367800,0
2_3_5_2,71,299052,52503300,622100,41625303800,0
2_3_5_3,63,918533,52840800,465600,40635549200,0
2_3_5_4,67,343464,51768200,502300,39984816500,0
2_3_5_5,69,344548,51746400,595000,40774032800,0
2_3_5_6,71,253666,52442500,585100,42000875600,0
2_3_5_7,71,372631,52810600,555400,41607031400,0
2_3_5_8,65,124925,51096500,492300,41391238700,0
2_3_5_9,71,240867,57013600,577900,41288489000,0
3_1_1_0,10,202956,52273000,143400,41565197400,0
3_1_1_1,8,20372,52074600,117500,40461241700,0
3_1_1_2,10,1058,51680000,143100,40658495100,0
3_1_1_3,10,695369,51164400,126700,41405467000,0
3_1_1_4,10,659529,50485500,143600,41530953600,0
3_1_1_5,8,114077,51107000,127000,40623091900,0
3_1_1_6,6,651608,52347800,179800,39895538500,0
